S_acc,S_loss,C1_acc,C1_loss,C2_acc,C2_loss,C3_acc,C3_loss,C4_acc,C4_loss,C5_acc,C5_loss,C6_acc,C6_loss,C7_acc,C7_loss,C8_acc,C8_loss,C9_acc,C9_loss,C10_acc,C10_loss
12.0994,2.8932,10.773,2.7812,10.3618,2.8978,12.0888,2.886,11.5954,2.8501,10.6086,2.9061,9.7862,2.9134,11.8421,2.86,10.773,2.9148,13.0757,2.8756,11.9243,2.8641
13.8121,2.2755,14.3914,2.2753,14.0625,2.2776,14.0625,2.2684,14.9671,2.2622,11.9243,2.2872,13.2401,2.2783,12.9112,2.2773,12.9934,2.2759,14.3092,2.2669,13.5691,2.264
16.8069,2.2091,15.7072,2.2218,17.1053,2.2069,17.1875,2.204,17.6809,2.1997,15.9539,2.2152,16.1184,2.2211,16.5296,2.2174,16.6941,2.2091,14.9671,2.2045,16.5296,2.2004
19.2508,2.1574,18.4211,2.1667,19.4079,2.1523,18.75,2.1555,21.5461,2.1459,19.5724,2.1602,18.0099,2.1737,19.3257,2.1613,19.2434,2.1626,18.4211,2.1506,19.9836,2.1488
20.5829,2.1157,20.3125,2.1334,20.9704,2.1114,20.477,2.1166,21.6283,2.1012,19.4901,2.1269,19.1612,2.1368,20.2303,2.1304,20.7237,2.128,19.6546,2.1058,21.3816,2.1016
21.6647,2.0838,21.1349,2.1029,23.1086,2.0743,23.1908,2.0806,21.875,2.0716,22.3684,2.0855,19.9836,2.1057,21.4638,2.1004,20.3125,2.0961,21.1349,2.0767,24.5066,2.0682
22.6262,2.0585,22.4507,2.0754,22.8618,2.0591,24.7533,2.0547,24.0132,2.0444,23.1908,2.0598,21.5461,2.0781,23.1908,2.0728,22.5329,2.0797,22.7796,2.0491,24.4243,2.0344
23.6979,2.0379,24.1776,2.0635,24.5888,2.0304,26.398,2.0274,25.4112,2.0228,24.5066,2.0379,23.9309,2.0537,23.1086,2.0518,22.9441,2.0599,25.0822,2.0248,25.9046,2.0139
25.2204,2.0155,24.5888,2.0397,26.2336,2.0067,26.0691,2.0222,27.4671,2.0018,26.0691,2.0146,24.5066,2.0326,25.4112,2.0281,23.1908,2.0464,25.4112,2.0028,27.0559,1.9907
25.9115,2.0005,26.5625,2.0207,27.1382,1.9969,26.727,2.0043,28.3717,1.9817,25.5757,1.999,25.5757,2.0189,25.9046,2.0159,24.9178,2.0312,26.6447,1.9911,27.7138,1.9764
26.6927,1.9876,25.9046,2.0099,28.6184,1.984,28.7829,1.9878,28.8651,1.9682,26.3158,1.9884,26.3158,2.0002,26.9737,1.9955,25.4112,2.017,27.3026,1.9718,28.2072,1.9631
27.0433,1.9775,26.5625,1.9993,28.2895,1.9696,28.6184,1.9797,28.2072,1.9633,27.4671,1.98,25.9046,1.9911,27.3849,1.9906,26.2336,2.0056,27.7138,1.9548,29.6875,1.9497
27.6943,1.9686,27.2204,1.9821,29.6053,1.9606,29.523,1.9705,28.9474,1.9556,29.1118,1.976,25.9868,1.9931,28.3717,1.9789,27.3849,1.9914,27.9605,1.9531,29.3586,1.9325
28.0549,1.9564,27.1382,1.9798,30.1809,1.9507,31.0855,1.9518,29.523,1.9366,28.125,1.9543,27.1382,1.9757,28.4539,1.9648,28.6184,1.9848,28.6184,1.9329,30.7566,1.9225
29.0365,1.949,27.7138,1.9743,30.6743,1.9463,31.1678,1.9478,30.2632,1.9318,28.125,1.9555,27.8783,1.9656,29.523,1.9654,28.2895,1.9756,29.6053,1.9271,31.4967,1.916
29.0064,1.939,28.2895,1.9622,30.5099,1.929,30.8388,1.9394,30.2632,1.9234,28.6184,1.9438,27.2204,1.9564,29.4408,1.9487,29.0296,1.9669,29.9342,1.9172,31.0033,1.9086
30.1182,1.9311,29.2763,1.9568,30.5921,1.9324,30.9211,1.9321,31.9079,1.916,29.852,1.9354,28.2072,1.9444,29.9342,1.9426,28.7829,1.9658,29.523,1.9053,31.9901,1.9028
30.5789,1.9202,28.2072,1.9471,32.5658,1.9063,31.9901,1.933,31.8257,1.9062,30.0164,1.9297,27.7138,1.9349,30.5099,1.9339,30.2632,1.9524,31.4145,1.892,32.4013,1.8904
30.4487,1.9134,30.0164,1.9331,31.7434,1.9161,31.8257,1.9131,32.4836,1.8888,30.7566,1.9215,28.7007,1.9348,30.8388,1.9193,29.9342,1.9456,30.9211,1.8873,32.7303,1.877
31.3702,1.9064,28.7829,1.9282,32.1546,1.8965,33.2237,1.9146,33.2237,1.8926,31.5789,1.9101,28.8651,1.9255,31.3322,1.9184,31.25,1.9341,31.6612,1.8695,32.977,1.8768
31.6306,1.8994,29.4408,1.9221,32.4836,1.8893,33.0592,1.9072,32.5658,1.8817,31.3322,1.8987,30.1809,1.9194,31.4967,1.9119,30.5099,1.9288,31.4967,1.8705,33.4704,1.8627
31.7608,1.8932,31.3322,1.9185,33.2237,1.8841,31.8257,1.9033,35.4441,1.8689,31.4145,1.8989,31.1678,1.8984,30.8388,1.9001,31.0855,1.928,32.648,1.8623,33.9638,1.8563
32.3918,1.8836,31.4967,1.8987,32.977,1.8828,32.7303,1.8947,34.8684,1.8663,31.4145,1.8892,30.5921,1.8983,32.0724,1.8863,31.9901,1.9167,33.1414,1.8502,34.0461,1.8542
32.482,1.878,31.25,1.9004,33.8816,1.8685,32.977,1.889,34.4572,1.8569,32.3191,1.8797,30.0164,1.8937,33.0592,1.8857,31.9901,1.9034,31.9079,1.8499,34.2105,1.8488
32.7224,1.8727,32.0724,1.8934,33.6349,1.8653,33.5526,1.8808,34.375,1.8488,32.5658,1.8811,30.5921,1.8915,31.9079,1.8805,31.5789,1.9042,32.3191,1.8417,34.9507,1.836
32.8325,1.8658,31.5789,1.8845,33.3882,1.861,33.6349,1.8634,34.6217,1.8426,31.5789,1.8743,31.6612,1.8796,33.0592,1.873,32.4013,1.8902,33.9638,1.8264,34.5395,1.8342
33.6338,1.8563,31.9079,1.8784,34.2105,1.8511,33.2237,1.867,35.8553,1.8344,32.8947,1.8604,31.7434,1.87,33.3059,1.8683,32.8125,1.886,34.0461,1.82,35.1974,1.8267
33.7841,1.8518,33.2237,1.8737,34.375,1.8485,33.4704,1.8618,36.2664,1.8248,32.7303,1.8586,32.0724,1.8681,33.4704,1.8564,32.1546,1.8775,33.7993,1.8136,35.8553,1.8176
34.0545,1.8468,32.4836,1.8584,33.3059,1.8443,33.6349,1.849,36.4309,1.8252,33.3059,1.8543,32.2368,1.8622,34.1283,1.8513,32.8947,1.8758,34.0461,1.8107,35.6086,1.8118
34.2648,1.8433,33.4704,1.8589,33.6349,1.8463,34.0461,1.847,36.9243,1.8208,32.8125,1.8568,32.4013,1.86,34.5395,1.8554,32.648,1.8758,34.7039,1.8035,35.773,1.8078
