Namespace(seed=42, output_dir='./logs', demo=False, pretrained=False, train_lr=0.01, root='/home/lgd/Desktop/SNNFL/datasets', dataset='MNIST', num_workers=2, batch_size=64, num_sen=64, defense='dcs', attack='gs', percent_num=70, layer_num=6, noise_name='Gaussian', loc=0.0, scale=0.01, per_adv=1, dcs_iter=1000, dcs_lr=0.1, lambda_xsim=0.01, lambda_zsim=0.01, epsilon=0.01, early_stop=True, xsim_thr=150.0, lambda_y=0.7, project=True, startpoint='none', mixup=True, precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', method='iid', TotalDevNum=10, DevNum=4, n_data=200, Pro_dev=5, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
Device  4 	 Train loss 6.1980 	 LR 0.0099 	 Train images 200 	 Round   1
Device  4 	 Train loss 3.9432 	 LR 0.0098 	 Train images 200 	 Round   2
Device  4 	 Train loss 3.3967 	 LR 0.0097 	 Train images 200 	 Round   3
Device  4 	 Train loss 3.5960 	 LR 0.0096 	 Train images 200 	 Round   4
Device  4 	 Train loss 2.5460 	 LR 0.0095 	 Train images 200 	 Round   5
Device  4 	 Train loss 2.5736 	 LR 0.0094 	 Train images 200 	 Round   6
Device  4 	 Train loss 2.5133 	 LR 0.0093 	 Train images 200 	 Round   7
Device  4 	 Train loss 2.1592 	 LR 0.0092 	 Train images 200 	 Round   8
Device  4 	 Train loss 2.0986 	 LR 0.0091 	 Train images 200 	 Round   9
Device  4 	 Train loss 2.0183 	 LR 0.0090 	 Train images 200 	 Round  10
Device  4 	 Train loss 1.8506 	 LR 0.0090 	 Train images 200 	 Round  11
Device  4 	 Train loss 1.8323 	 LR 0.0089 	 Train images 200 	 Round  12
Device  4 	 Train loss 1.7412 	 LR 0.0088 	 Train images 200 	 Round  13
Device  4 	 Train loss 1.6579 	 LR 0.0087 	 Train images 200 	 Round  14
Device  4 	 Train loss 1.6062 	 LR 0.0086 	 Train images 200 	 Round  15
Device  4 	 Train loss 1.5380 	 LR 0.0085 	 Train images 200 	 Round  16
Device  4 	 Train loss 1.5211 	 LR 0.0084 	 Train images 200 	 Round  17
Device  4 	 Train loss 1.4153 	 LR 0.0083 	 Train images 200 	 Round  18
Device  4 	 Train loss 1.4055 	 LR 0.0083 	 Train images 200 	 Round  19
Device  4 	 Train loss 1.3754 	 LR 0.0082 	 Train images 200 	 Round  20
Device  4 	 Train loss 1.3298 	 LR 0.0081 	 Train images 200 	 Round  21
Device  4 	 Train loss 1.2768 	 LR 0.0080 	 Train images 200 	 Round  22
Device  4 	 Train loss 1.2270 	 LR 0.0079 	 Train images 200 	 Round  23
Device  4 	 Train loss 1.2170 	 LR 0.0079 	 Train images 200 	 Round  24
Device  4 	 Train loss 1.1654 	 LR 0.0078 	 Train images 200 	 Round  25
Device  4 	 Train loss 1.1259 	 LR 0.0077 	 Train images 200 	 Round  26
Device  4 	 Train loss 1.1148 	 LR 0.0076 	 Train images 200 	 Round  27
Device  4 	 Train loss 1.0869 	 LR 0.0075 	 Train images 200 	 Round  28
Device  4 	 Train loss 1.0575 	 LR 0.0075 	 Train images 200 	 Round  29
Device  4 	 Train loss 1.0265 	 LR 0.0074 	 Train images 200 	 Round  30
Device  4 	 Train loss 0.9613 	 LR 0.0073 	 Train images 200 	 Round  31
