Namespace(seed=42, output_dir='./logs', demo=False, pretrained=False, train_lr=0.01, root='/home/lgd/Desktop/SNNFL/datasets', dataset='MNIST', num_workers=2, batch_size=64, num_sen=64, defense='dcs', attack='gs', percent_num=70, layer_num=6, noise_name='Gaussian', loc=0.0, scale=0.01, per_adv=1, dcs_iter=1000, dcs_lr=0.1, lambda_xsim=0.01, lambda_zsim=0.01, epsilon=0.01, early_stop=True, xsim_thr=150.0, lambda_y=0.7, project=True, startpoint='none', mixup=True, precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', method='iid', TotalDevNum=10, DevNum=9, n_data=200, Pro_dev=5, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
Device  9 	 Train loss 0.6365 	 LR 0.0051 	 Train images 200 	 Round  67
Device  9 	 Train loss 0.6298 	 LR 0.0050 	 Train images 200 	 Round  68
Device  9 	 Train loss 0.6207 	 LR 0.0050 	 Train images 200 	 Round  69
Device  9 	 Train loss 0.6347 	 LR 0.0049 	 Train images 200 	 Round  70
Device  9 	 Train loss 0.6193 	 LR 0.0049 	 Train images 200 	 Round  71
Device  9 	 Train loss 0.5806 	 LR 0.0048 	 Train images 200 	 Round  72
Device  9 	 Train loss 0.6268 	 LR 0.0048 	 Train images 200 	 Round  73
Device  9 	 Train loss 0.6084 	 LR 0.0048 	 Train images 200 	 Round  74
Device  9 	 Train loss 0.6251 	 LR 0.0047 	 Train images 200 	 Round  75
Device  9 	 Train loss 0.6035 	 LR 0.0047 	 Train images 200 	 Round  76
Device  9 	 Train loss 0.5890 	 LR 0.0046 	 Train images 200 	 Round  77
Device  9 	 Train loss 0.6013 	 LR 0.0046 	 Train images 200 	 Round  78
Device  9 	 Train loss 0.6078 	 LR 0.0045 	 Train images 200 	 Round  79
Device  9 	 Train loss 0.6043 	 LR 0.0045 	 Train images 200 	 Round  80
Device  9 	 Train loss 0.5974 	 LR 0.0044 	 Train images 200 	 Round  81
Device  9 	 Train loss 0.6051 	 LR 0.0044 	 Train images 200 	 Round  82
Device  9 	 Train loss 0.5754 	 LR 0.0043 	 Train images 200 	 Round  83
Device  9 	 Train loss 0.5868 	 LR 0.0043 	 Train images 200 	 Round  84
Device  9 	 Train loss 0.5733 	 LR 0.0043 	 Train images 200 	 Round  85
Device  9 	 Train loss 0.5881 	 LR 0.0042 	 Train images 200 	 Round  86
Device  9 	 Train loss 0.5824 	 LR 0.0042 	 Train images 200 	 Round  87
Device  9 	 Train loss 0.5718 	 LR 0.0041 	 Train images 200 	 Round  88
Device  9 	 Train loss 0.5625 	 LR 0.0041 	 Train images 200 	 Round  89
Device  9 	 Train loss 0.5520 	 LR 0.0040 	 Train images 200 	 Round  90
Device  9 	 Train loss 0.5512 	 LR 0.0040 	 Train images 200 	 Round  91
Device  9 	 Train loss 0.5531 	 LR 0.0040 	 Train images 200 	 Round  92
Device  9 	 Train loss 0.5543 	 LR 0.0039 	 Train images 200 	 Round  93
Device  9 	 Train loss 0.5388 	 LR 0.0039 	 Train images 200 	 Round  94
Device  9 	 Train loss 0.5514 	 LR 0.0038 	 Train images 200 	 Round  95
Device  9 	 Train loss 0.5492 	 LR 0.0038 	 Train images 200 	 Round  96
Device  9 	 Train loss 0.5582 	 LR 0.0038 	 Train images 200 	 Round  97
Device  9 	 Train loss 0.5512 	 LR 0.0037 	 Train images 200 	 Round  98
Device  9 	 Train loss 0.5474 	 LR 0.0037 	 Train images 200 	 Round  99
Device  9 	 Train loss 0.5533 	 LR 0.0037 	 Train images 200 	 Round 100
Defense dcs on Dataset MNIST.
Finished computations with time: 0:06:42.179009

Namespace(seed=42, output_dir='./logs', demo=False, pretrained=False, train_lr=0.01, root='/home/lgd/Desktop/SNNFL/datasets', dataset='MNIST', num_workers=2, batch_size=64, num_sen=64, defense='dcs', attack='gs', percent_num=70, layer_num=6, noise_name='Gaussian', loc=0.0, scale=0.01, per_adv=1, dcs_iter=1000, dcs_lr=0.1, lambda_xsim=0.01, lambda_zsim=0.01, epsilon=0.01, early_stop=True, xsim_thr=150.0, lambda_y=0.7, project=True, startpoint='none', mixup=True, precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', method='iid', TotalDevNum=10, DevNum=9, n_data=200, Pro_dev=5, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
