Namespace(seed=42, output_dir='./logs', cnt=1, method='iid', TotalDevNum=10, pretrained=False, dataset='CIFAR100', resume=False, ckp_path='./weights/model_round_100.pth', defense='dp', precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', minfit=10, mineval=10, minavl=10, num_rounds=50, save_rnd=100, train_lr=0.01, local_epochs=1, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
cuda
Round 001 	 FL_loss 4.6140 	 FL_acc 0.9415 	 Test images 10000
Round 002 	 FL_loss 4.5707 	 FL_acc 1.7929 	 Test images 10000
Round 003 	 FL_loss 4.3293 	 FL_acc 4.4671 	 Test images 10000
Round 004 	 FL_loss 4.0646 	 FL_acc 8.0228 	 Test images 10000
Round 005 	 FL_loss 3.8839 	 FL_acc 10.8173 	 Test images 10000
Round 006 	 FL_loss 3.7343 	 FL_acc 13.4816 	 Test images 10000
Round 007 	 FL_loss 3.6127 	 FL_acc 15.8554 	 Test images 10000
Round 008 	 FL_loss 3.5369 	 FL_acc 17.3177 	 Test images 10000
Round 009 	 FL_loss 3.4859 	 FL_acc 18.0990 	 Test images 10000
Round 010 	 FL_loss 3.4582 	 FL_acc 18.8001 	 Test images 10000
Round 011 	 FL_loss 3.4200 	 FL_acc 19.7516 	 Test images 10000
Round 012 	 FL_loss 3.4185 	 FL_acc 20.2925 	 Test images 10000
Round 013 	 FL_loss 3.3900 	 FL_acc 20.7232 	 Test images 10000
Round 014 	 FL_loss 3.4001 	 FL_acc 21.1338 	 Test images 10000
Round 015 	 FL_loss 3.4010 	 FL_acc 21.5845 	 Test images 10000
Round 016 	 FL_loss 3.4185 	 FL_acc 21.9050 	 Test images 10000
Round 017 	 FL_loss 3.4379 	 FL_acc 22.1655 	 Test images 10000
Round 018 	 FL_loss 3.4538 	 FL_acc 22.2656 	 Test images 10000
Round 019 	 FL_loss 3.4966 	 FL_acc 22.0252 	 Test images 10000
Round 020 	 FL_loss 3.5177 	 FL_acc 22.1354 	 Test images 10000
Round 021 	 FL_loss 3.5436 	 FL_acc 22.1254 	 Test images 10000
Round 022 	 FL_loss 3.5845 	 FL_acc 22.5861 	 Test images 10000
Round 023 	 FL_loss 3.6292 	 FL_acc 21.9852 	 Test images 10000
Round 024 	 FL_loss 3.6351 	 FL_acc 22.5260 	 Test images 10000
Round 025 	 FL_loss 3.6868 	 FL_acc 22.2256 	 Test images 10000
Round 026 	 FL_loss 3.6826 	 FL_acc 22.8065 	 Test images 10000
Round 027 	 FL_loss 3.7186 	 FL_acc 22.4559 	 Test images 10000
Round 028 	 FL_loss 3.7535 	 FL_acc 22.5160 	 Test images 10000
Round 029 	 FL_loss 3.7707 	 FL_acc 22.3458 	 Test images 10000
Round 030 	 FL_loss 3.7989 	 FL_acc 22.4860 	 Test images 10000
Round 031 	 FL_loss 3.8045 	 FL_acc 22.4058 	 Test images 10000
Round 032 	 FL_loss 3.8078 	 FL_acc 22.4960 	 Test images 10000
Round 033 	 FL_loss 3.8109 	 FL_acc 22.4159 	 Test images 10000
Round 034 	 FL_loss 3.8135 	 FL_acc 22.4159 	 Test images 10000
Round 035 	 FL_loss 3.8136 	 FL_acc 22.2456 	 Test images 10000
Round 036 	 FL_loss 3.8155 	 FL_acc 22.2656 	 Test images 10000
Round 037 	 FL_loss 3.8202 	 FL_acc 22.3458 	 Test images 10000
Round 038 	 FL_loss 3.8246 	 FL_acc 22.2356 	 Test images 10000
Round 039 	 FL_loss 3.8269 	 FL_acc 22.2055 	 Test images 10000
Round 040 	 FL_loss 3.8288 	 FL_acc 22.2556 	 Test images 10000
