S_acc,S_loss,C1_acc,C1_loss,C2_acc,C2_loss,C3_acc,C3_loss,C4_acc,C4_loss,C5_acc,C5_loss,C6_acc,C6_loss,C7_acc,C7_loss,C8_acc,C8_loss,C9_acc,C9_loss,C10_acc,C10_loss
1.2119,8.4668,25.1512,3.3123,24.5968,3.3044,26.0081,3.264,26.1593,3.3284,25.756,3.3005,25.7056,3.2729,21.7742,3.4109,24.9496,3.3234,26.4113,3.2371,24.496,3.3154
0.6611,9.3222,27.3185,3.1824,27.6714,3.1808,26.4113,3.1402,27.621,3.1893,26.8145,3.1836,27.3185,3.1538,24.6976,3.2797,26.7641,3.1787,29.3851,3.0902,25.756,3.1831
0.7011,8.9221,28.125,3.1165,28.881,3.107,28.377,3.0778,28.0242,3.15,28.0242,3.1302,27.7218,3.1067,24.6472,3.2305,26.5625,3.1361,29.3851,3.0368,28.1754,3.1278
1.1719,8.6158,29.5867,3.0518,30.1411,3.0464,29.3347,3.0066,30.3931,3.0589,29.2339,3.0564,30.0907,3.0108,26.7641,3.1471,29.1835,3.0499,31.25,2.951,28.7802,3.0458
0.651,9.5709,30.1411,3.0366,29.8891,3.0261,29.9899,3.0078,29.7379,3.0715,30.2419,3.0411,30.3931,3.0135,26.7641,3.1273,30.0907,3.0345,32.0564,2.9467,28.629,3.02
0.9615,9.3598,29.7379,3.0558,30.0907,3.0318,29.7883,3.0003,29.4355,3.0627,29.9395,3.0531,29.5363,3.0252,26.6633,3.1774,29.4355,3.0638,31.9556,2.9431,28.9314,3.05
0.4006,10.5591,30.7964,2.9808,31.754,2.9706,31.6028,2.9318,31.6532,2.9801,30.998,2.9768,32.0564,2.9452,28.377,3.0996,30.5948,2.9935,32.3085,2.8992,30.8468,2.9967
1.1018,8.756,31.7036,2.9248,32.0564,2.929,31.754,2.893,32.1069,2.9555,31.8548,2.9342,31.5524,2.9151,28.4778,3.0549,31.4516,2.9222,33.4677,2.8505,30.4939,2.9481
0.651,9.6527,30.746,2.9507,32.9637,2.9177,31.5524,2.8933,31.9556,2.9684,31.5524,2.9466,31.3508,2.9369,28.9314,3.0645,32.5101,2.9405,31.9556,2.867,31.1492,2.9435
0.5909,10.5214,33.2157,2.8128,35.3831,2.7821,34.5262,2.7355,34.2238,2.8101,35.2823,2.7858,34.123,2.7916,30.6956,2.9119,34.2742,2.7986,36.7944,2.6866,32.8125,2.7884
0.4708,10.3393,33.6694,2.8435,34.8286,2.8148,34.9798,2.7689,34.7278,2.8602,34.5262,2.84,34.3246,2.7934,30.3931,2.9606,34.0726,2.8137,35.7359,2.7431,32.8629,2.8315
0.6711,9.8782,33.7198,2.7885,35.2319,2.7805,34.4254,2.7361,35.4335,2.764,34.9294,2.7745,35.131,2.7492,32.006,2.8667,34.8286,2.776,35.4839,2.6983,34.4254,2.8027
1.3421,9.2063,37.0464,2.6335,37.5,2.6279,38.1048,2.5754,37.248,2.6428,38.2056,2.6344,37.2984,2.6246,33.6189,2.744,37.0464,2.6144,39.4153,2.547,36.8448,2.6292
0.9515,10.4647,32.2077,2.9669,32.7621,2.9152,33.4173,2.8873,32.2581,2.9676,32.5605,2.9398,32.0564,2.9429,28.0242,3.1287,32.8125,2.9721,33.2157,2.8623,31.5524,2.978
0.631,9.7386,37.5,2.6192,39.9194,2.5769,38.7601,2.5563,39.1129,2.6072,38.9113,2.6146,37.8528,2.5887,35.4839,2.7213,37.9032,2.6042,41.2298,2.5184,38.0544,2.6153
0.8213,10.9319,38.6089,2.5922,39.0625,2.5622,39.6673,2.5072,39.5161,2.5582,39.1633,2.5798,39.5161,2.5503,35.0302,2.6951,38.8609,2.5713,41.0786,2.4805,39.6673,2.5808
0.8213,10.1607,38.7601,2.5428,39.1129,2.5128,40.2218,2.4838,39.0121,2.5471,40.5746,2.5448,38.1552,2.5234,35.7863,2.6455,38.7097,2.5312,42.4395,2.4426,40.6754,2.5197
1.222,9.4631,39.7681,2.4695,40.6754,2.4417,41.2298,2.4142,42.0363,2.4566,41.3306,2.462,40.6754,2.4166,37.0968,2.5978,41.4314,2.4555,43.4476,2.3458,41.4314,2.4645
0.5809,10.7464,38.3569,2.4695,40.373,2.4587,41.5827,2.4201,40.5746,2.467,40.3226,2.473,40.625,2.4434,37.6512,2.5871,39.3649,2.4716,43.0948,2.3961,40.877,2.4727
1.1118,9.7763,43.1452,2.3153,44.7581,2.317,44.3548,2.2866,43.1452,2.3381,44.4052,2.3309,43.5484,2.3047,39.9698,2.4416,42.9939,2.3016,45.2117,2.2441,43.6996,2.3375
0.8013,10.5568,43.3972,2.2783,45.2117,2.2635,45.4637,2.2268,43.6996,2.2767,45.0605,2.2859,44.6573,2.2593,40.9778,2.3921,44.5564,2.2517,47.1774,2.1862,44.506,2.2719
1.252,9.3679,45.4133,2.2155,47.3286,2.1994,48.1855,2.1628,47.2782,2.1913,45.8669,2.2347,46.0685,2.2144,41.0282,2.3304,47.0766,2.2038,48.3367,2.1262,46.5726,2.2316
