Namespace(seed=42, output_dir='./logs', cnt=1, method='iid', TotalDevNum=10, pretrained=False, dataset='CIFAR10', resume=False, ckp_path='./weights/model_round_100.pth', defense='dcs', precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', minfit=10, mineval=10, minavl=10, num_rounds=30, save_rnd=100, train_lr=0.01, local_epochs=1, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
cuda
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
cuda
Round 001 	 FL_loss 2.3826 	 FL_acc 10.0060 	 Test images 10000
Round 002 	 FL_loss 2.3307 	 FL_acc 10.4367 	 Test images 10000
Round 003 	 FL_loss 2.0452 	 FL_acc 25.6911 	 Test images 10000
Round 004 	 FL_loss 2.0170 	 FL_acc 22.3558 	 Test images 10000
Round 005 	 FL_loss 1.8228 	 FL_acc 36.9692 	 Test images 10000
Round 006 	 FL_loss 1.7798 	 FL_acc 38.0709 	 Test images 10000
Round 007 	 FL_loss 1.7803 	 FL_acc 42.1474 	 Test images 10000
Round 008 	 FL_loss 1.6629 	 FL_acc 42.3377 	 Test images 10000
Round 009 	 FL_loss 2.0676 	 FL_acc 25.1703 	 Test images 10000
Round 010 	 FL_loss 1.5623 	 FL_acc 46.1438 	 Test images 10000
Round 011 	 FL_loss 1.5640 	 FL_acc 43.4696 	 Test images 10000
Round 012 	 FL_loss 1.5957 	 FL_acc 45.3626 	 Test images 10000
Round 013 	 FL_loss 1.8320 	 FL_acc 36.8690 	 Test images 10000
Round 014 	 FL_loss 1.4281 	 FL_acc 49.1687 	 Test images 10000
Round 015 	 FL_loss 2.0911 	 FL_acc 25.3706 	 Test images 10000
Round 016 	 FL_loss 1.4715 	 FL_acc 47.9567 	 Test images 10000
Round 017 	 FL_loss 2.0387 	 FL_acc 32.3317 	 Test images 10000
Round 018 	 FL_loss 1.3764 	 FL_acc 51.1919 	 Test images 10000
Round 019 	 FL_loss 1.6940 	 FL_acc 48.2272 	 Test images 10000
Round 020 	 FL_loss 1.5796 	 FL_acc 46.5445 	 Test images 10000
Round 021 	 FL_loss 2.0536 	 FL_acc 28.3454 	 Test images 10000
Round 022 	 FL_loss 1.3177 	 FL_acc 52.7444 	 Test images 10000
Round 023 	 FL_loss 2.0271 	 FL_acc 35.2865 	 Test images 10000
Round 024 	 FL_loss 1.3760 	 FL_acc 52.7744 	 Test images 10000
Round 025 	 FL_loss 1.6046 	 FL_acc 47.1955 	 Test images 10000
Round 026 	 FL_loss 2.1345 	 FL_acc 28.6158 	 Test images 10000
Round 027 	 FL_loss 1.5129 	 FL_acc 49.1286 	 Test images 10000
Round 028 	 FL_loss 1.5141 	 FL_acc 48.6979 	 Test images 10000
Round 029 	 FL_loss 1.4121 	 FL_acc 50.5609 	 Test images 10000
Round 030 	 FL_loss 1.2633 	 FL_acc 57.3417 	 Test images 10000
Round 031 	 FL_loss 1.2806 	 FL_acc 57.1815 	 Test images 10000
Round 032 	 FL_loss 1.2876 	 FL_acc 57.2115 	 Test images 10000
Round 033 	 FL_loss 1.2866 	 FL_acc 57.2216 	 Test images 10000
Round 034 	 FL_loss 1.3064 	 FL_acc 56.8610 	 Test images 10000
Round 035 	 FL_loss 1.3115 	 FL_acc 57.0813 	  12, keTest images 10000
Round 044 	 FL_loss 1.3394 	 FL_acc 56.1298 	 Test images 10000
Round 045 	 FL_loss 1.3692 	 FL_acc 56.6907 	 Test images 10000
Round 046 	 FL_loss 1.3859 	 FL_acc 57.0513 	 Test images 10000
Round 047 	 FL_loss 1.3826 	 FL_acc 57.1014 	 Test images 10000
Round 048 	 FL_loss 1.3788 	 FL_acc 56.7007 	 Test images 10000
Round 049 	 FL_loss 1.4077 	 FL_acc 56.6707 	 Test images 10000
Round 050 	 FL_loss 1.3645 	 FL_acc 56.0497 	 Test images 10000
Best FL accuracy: 57.34174728393555 on round 30
Defense Method:  dcs
Finished computations with time: 5:22:00.647266

