Namespace(seed=42, output_dir='./logs', cnt=1, method='iid', TotalDevNum=10, pretrained=False, dataset='MNIST', resume=False, ckp_path='./weights/model_round_100.pth', defense='soteria', precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', minfit=10, mineval=10, minavl=10, num_rounds=200, save_rnd=100, train_lr=0.01, local_epochs=2, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
Round 075 	 FL_loss 0.4453 	 FL_acc 87.8405 	 Test images 10000
Round 076 	 FL_loss 0.4436 	 FL_acc 87.9207 	 Test images 10000
Round 077 	 FL_loss 0.4419 	 FL_acc 87.9307 	 Test images 10000
Round 078 	 FL_loss 0.4404 	 FL_acc 87.9507 	 Test images 10000
Round 079 	 FL_loss 0.4387 	 FL_acc 87.9708 	 Test images 10000
Round 080 	 FL_loss 0.4370 	 FL_acc 88.0609 	 Test images 10000
Round 081 	 FL_loss 0.4355 	 FL_acc 88.0509 	 Test images 10000
Round 082 	 FL_loss 0.4340 	 FL_acc 88.1510 	 Test images 10000
Round 083 	 FL_loss 0.4325 	 FL_acc 88.1911 	 Test images 10000
Round 084 	 FL_loss 0.4312 	 FL_acc 88.1811 	 Test images 10000
Round 085 	 FL_loss 0.4297 	 FL_acc 88.2111 	 Test images 10000
Round 086 	 FL_loss 0.4283 	 FL_acc 88.1911 	 Test images 10000
Round 087 	 FL_loss 0.4271 	 FL_acc 88.2011 	 Test images 10000
Round 088 	 FL_loss 0.4258 	 FL_acc 88.2712 	 Test images 10000
Round 089 	 FL_loss 0.4246 	 FL_acc 88.3013 	 Test images 10000
Round 090 	 FL_loss 0.4231 	 FL_acc 88.3213 	 Test images 10000
Round 091 	 FL_loss 0.4221 	 FL_acc 88.3413 	 Test images 10000
Round 092 	 FL_loss 0.4210 	 FL_acc 88.3914 	 Test images 10000
Round 093 	 FL_loss 0.4200 	 FL_acc 88.3814 	 Test images 10000
Round 094 	 FL_loss 0.4188 	 FL_acc 88.3814 	 Test images 10000
Round 095 	 FL_loss 0.4177 	 FL_acc 88.4215 	 Test images 10000
Round 096 	 FL_loss 0.4165 	 FL_acc 88.4515 	 Test images 10000
Round 097 	 FL_loss 0.4154 	 FL_acc 88.4716 	 Test images 10000
Round 098 	 FL_loss 0.4145 	 FL_acc 88.5717 	 Test images 10000
Round 099 	 FL_loss 0.4133 	 FL_acc 88.5517 	 Test images 10000
Saving round 100 aggregated_parameters...
Round 100 	 FL_loss 0.4122 	 FL_acc 88.5918 	 Test images 10000
Round 101 	 FL_loss 0.4115 	 FL_acc 88.6018 	 Test images 10000
Round 102 	 FL_loss 0.4105 	 FL_acc 88.6418 	 Test images 10000
Round 103 	 FL_loss 0.4095 	 FL_acc 88.6719 	 Test images 10000
Round 104 	 FL_loss 0.4086 	 FL_acc 88.7320 	 Test images 10000
Round 105 	 FL_loss 0.4076 	 FL_acc 88.7119 	 Test images 10000
Round 106 	 FL_loss 0.4069 	 FL_acc 88.7019 	 Test images 10000
Round 107 	 FL_loss 0.4061 	 FL_acc 88.7720 	 Test images 10000
Round 108 	 FL_loss 0.4052 	 FL_acc 88.7520 	 Test images 10000
Round 109 	 FL_loss 0.4043 	 FL_acc 88.8021 	 Test images 10000
Round 110 	 FL_loss 0.4035 	 FL_acc 88.8021 	 Test images 10000
Round 111 	 FL_loss 0.4028 	 FL_acc 88.7921 	 Test images 10000
Round 112 	 FL_loss 0.4019 	 FL_acc 88.8622 	 Test images 10000
Round 113 	 FL_loss 0.4012 	 FL_acc 88.8622 	 Test images 10000
Round 114 	 FL_loss 0.4004 	 FL_acc 88.8622 	 Test images 10000
Round 115 	 FL_loss 0.3996 	 FL_acc 88.8722 	 Test images 10000
Round 116 	 FL_loss 0.3988 	 FL_acc 88.9123 	 Test images 10000
Round 117 	 FL_loss 0.3982 	 FL_acc 88.9223 	 Test images 10000
Round 118 	 FL_loss 0.3975 	 FL_acc 88.9323 	 Test images 10000
Round 119 	 FL_loss 0.3970 	 FL_acc 88.9623 	 Test images 10000
Round 120 	 FL_loss 0.3961 	 FL_acc 88.9623 	 Test images 10000
