Namespace(seed=40, output_dir='./logs', cnt=1, method='non-iid', TotalDevNum=10, pretrained=False, dataset='MNIST', resume=False, ckp_path='./weights/model_round_100.pth', defense='dcs', precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', minfit=10, mineval=10, minavl=10, num_rounds=200, save_rnd=100, train_lr=0.01, local_epochs=1, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
Round 075 	 FL_loss 2.0344 	 FL_acc 66.2660 	 Test images 10000
Round 076 	 FL_loss 2.0354 	 FL_acc 66.4663 	 Test images 10000
Round 077 	 FL_loss 2.0296 	 FL_acc 66.6266 	 Test images 10000
Round 078 	 FL_loss 2.0296 	 FL_acc 66.6567 	 Test images 10000
Round 079 	 FL_loss 2.0259 	 FL_acc 66.7368 	 Test images 10000
Round 080 	 FL_loss 2.0309 	 FL_acc 66.7468 	 Test images 10000
Round 081 	 FL_loss 2.0310 	 FL_acc 66.6967 	 Test images 10000
Round 082 	 FL_loss 2.0331 	 FL_acc 66.6066 	 Test images 10000
Round 083 	 FL_loss 2.0346 	 FL_acc 66.7368 	 Test images 10000
Round 084 	 FL_loss 2.0317 	 FL_acc 66.9071 	 Test images 10000
Round 085 	 FL_loss 2.0304 	 FL_acc 66.9271 	 Test images 10000
Round 086 	 FL_loss 2.0212 	 FL_acc 67.1875 	 Test images 10000
Round 087 	 FL_loss 2.0158 	 FL_acc 67.2276 	 Test images 10000
Round 088 	 FL_loss 2.0118 	 FL_acc 67.3978 	 Test images 10000
Round 089 	 FL_loss 2.0051 	 FL_acc 67.4079 	 Test images 10000
Round 090 	 FL_loss 1.9986 	 FL_acc 67.6482 	 Test images 10000
Round 091 	 FL_loss 1.9974 	 FL_acc 67.6583 	 Test images 10000
Round 092 	 FL_loss 2.0020 	 FL_acc 67.3678 	 Test images 10000
Round 093 	 FL_loss 1.9992 	 FL_acc 67.3978 	 Test images 10000
Round 094 	 FL_loss 1.9932 	 FL_acc 67.6182 	 Test images 10000
Round 095 	 FL_loss 1.9892 	 FL_acc 67.6783 	 Test images 10000
Round 096 	 FL_loss 1.9895 	 FL_acc 67.7384 	 Test images 10000
Round 097 	 FL_loss 1.9926 	 FL_acc 67.7083 	 Test images 10000
Round 098 	 FL_loss 1.9933 	 FL_acc 67.9187 	 Test images 10000
Round 099 	 FL_loss 1.9909 	 FL_acc 68.0288 	 Test images 10000
Saving round 100 aggregated_parameters...
Round 100 	 FL_loss 1.9905 	 FL_acc 68.0389 	 Test images 10000
Round 101 	 FL_loss 1.9913 	 FL_acc 67.9688 	 Test images 10000
Round 102 	 FL_loss 1.9925 	 FL_acc 67.9788 	 Test images 10000
Round 103 	 FL_loss 1.9880 	 FL_acc 68.1290 	 Test images 10000
Round 104 	 FL_loss 1.9890 	 FL_acc 68.1891 	 Test images 10000
Round 105 	 FL_loss 1.9927 	 FL_acc 68.1290 	 Test images 10000
Round 106 	 FL_loss 1.9899 	 FL_acc 68.2392 	 Test images 10000
Round 107 	 FL_loss 1.9883 	 FL_acc 68.3794 	 Test images 10000
Round 108 	 FL_loss 1.9857 	 FL_acc 68.3393 	 Test images 10000
Round 109 	 FL_loss 1.9837 	 FL_acc 68.4696 	 Test images 10000
Round 110 	 FL_loss 1.9851 	 FL_acc 68.4896 	 Test images 10000
Round 111 	 FL_loss 1.9828 	 FL_acc 68.5497 	 Test images 10000
Round 112 	 FL_loss 1.9813 	 FL_acc 68.7099 	 Test images 10000
Round 113 	 FL_loss 1.9805 	 FL_acc 68.7300 	 Test images 10000
Round 114 	 FL_loss 1.9795 	 FL_acc 68.6999 	 Test images 10000
Round 115 	 FL_loss 1.9812 	 FL_acc 68.7200 	 Test images 10000
Round 116 	 FL_loss 1.9795 	 FL_acc 68.7600 	 Test images 10000
Round 117 	 FL_loss 1.9809 	 FL_acc 68.8401 	 Test images 10000
