Namespace(seed=42, output_dir='./logs', cnt=1, method='iid', TotalDevNum=10, pretrained=False, dataset='CIFAR10', resume=False, ckp_path='./weights/model_round_100.pth', defense='dp', precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', minfit=10, mineval=10, minavl=10, num_rounds=50, save_rnd=100, train_lr=0.01, local_epochs=1, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
cuda
Round 017 	 FL_loss 1.5213 	 FL_acc 53.2853 	 Test images 10000
Round 018 	 FL_loss 1.5370 	 FL_acc 53.9463 	 Test images 10000
Round 019 	 FL_loss 1.5724 	 FL_acc 53.6358 	 Test images 10000
Round 020 	 FL_loss 1.6127 	 FL_acc 53.8261 	 Test images 10000
Round 021 	 FL_loss 1.6398 	 FL_acc 53.9163 	 Test images 10000
Round 022 	 FL_loss 1.6462 	 FL_acc 54.1867 	 Test images 10000
Round 023 	 FL_loss 1.6787 	 FL_acc 54.3470 	 Test images 10000
Round 024 	 FL_loss 1.7073 	 FL_acc 54.3570 	 Test images 10000
Round 025 	 FL_loss 1.7389 	 FL_acc 54.9980 	 Test images 10000
Round 026 	 FL_loss 1.7978 	 FL_acc 54.3970 	 Test images 10000
Round 027 	 FL_loss 1.8049 	 FL_acc 54.5673 	 Test images 10000
Round 028 	 FL_loss 1.8344 	 FL_acc 54.8778 	 Test images 10000
Round 029 	 FL_loss 1.8629 	 FL_acc 54.7576 	 Test images 10000
Round 030 	 FL_loss 1.8650 	 FL_acc 55.1783 	 Test images 10000
Round 031 	 FL_loss 1.8642 	 FL_acc 55.1783 	 Test images 10000
Round 032 	 FL_loss 1.8692 	 FL_acc 54.9179 	 Test images 10000
Round 033 	 FL_loss 1.8738 	 FL_acc 54.9780 	 Test images 10000
Round 034 	 FL_loss 1.8764 	 FL_acc 55.0280 	 Test images 10000
Round 035 	 FL_loss 1.8809 	 FL_acc 55.2083 	 Test images 10000
Round 036 	 FL_loss 1.8869 	 FL_acc 55.0982 	 Test images 10000
Round 037 	 FL_loss 1.8891 	 FL_acc 55.1182 	 Test images 10000
Round 038 	 FL_loss 1.8945 	 FL_acc 55.0080 	 Test images 10000
Round 039 	 FL_loss 1.9005 	 FL_acc 54.9880 	 Test images 10000
Round 040 	 FL_loss 1.9049 	 FL_acc 55.0080 	 Test images 10000
Round 041 	 FL_loss 1.9106 	 FL_acc 55.0180 	 Test images 10000
Round 042 	 FL_loss 1.9144 	 FL_acc 55.0481 	 Test images 10000
Round 043 	 FL_loss 1.9195 	 FL_acc 54.9880 	 Test images 10000
Round 044 	 FL_loss 1.9228 	 FL_acc 54.9579 	 Test images 10000
Round 045 	 FL_loss 1.9256 	 FL_acc 54.9880 	 Test images 10000
Round 046 	 FL_loss 1.9296 	 FL_acc 55.0681 	 Test images 10000
Round 047 	 FL_loss 1.9324 	 FL_acc 55.0381 	 Test images 10000
Round 048 	 FL_loss 1.9371 	 FL_acc 55.0982 	 Test images 10000
Round 049 	 FL_loss 1.9403 	 FL_acc 55.1182 	 Test images 10000
