S_acc,S_loss,C1_acc,C1_loss,C2_acc,C2_loss,C3_acc,C3_loss,C4_acc,C4_loss,C5_acc,C5_loss,C6_acc,C6_loss,C7_acc,C7_loss,C8_acc,C8_loss,C9_acc,C9_loss,C10_acc,C10_loss
72.2356,0.8452,95.5592,0.1922,95.6414,0.2042,96.4638,0.1876,96.1349,0.1916,96.7928,0.1867,95.0658,0.2052,96.1349,0.1885,96.875,0.1774,95.7237,0.1936,95.7237,0.2086
72.8466,0.8271,97.9441,0.145,97.1217,0.1589,97.8618,0.1462,97.5329,0.1538,98.0263,0.1441,96.5461,0.1628,97.9441,0.1473,98.1086,0.1412,96.9572,0.1582,97.3684,0.1558
72.9668,0.8236,98.4375,0.1342,97.4507,0.1437,98.273,0.1354,98.4375,0.1368,98.8487,0.1296,96.7928,0.1502,98.273,0.1357,98.1086,0.1301,97.6974,0.1413,98.1086,0.1416
72.8365,0.8245,98.602,0.1278,98.0263,0.1324,98.602,0.1261,98.7664,0.1282,98.9309,0.1224,97.4507,0.1423,98.602,0.1274,98.3553,0.1204,98.4375,0.1309,98.6842,0.1281
72.8966,0.8253,98.9309,0.1168,98.6842,0.1235,98.8487,0.1183,99.0954,0.121,99.2599,0.1153,97.6974,0.1342,98.9309,0.1191,98.7664,0.115,98.6842,0.1217,98.602,0.1246
73.0569,0.8257,98.9309,0.113,98.7664,0.1201,98.9309,0.1122,99.3421,0.1145,99.2599,0.1096,98.0263,0.1275,99.0954,0.1117,98.8487,0.1068,98.7664,0.1164,98.6842,0.1159
72.8966,0.8263,98.9309,0.1077,99.0132,0.111,99.0132,0.109,99.6711,0.1088,99.2599,0.104,98.4375,0.1196,99.2599,0.1071,99.0954,0.1009,99.0954,0.1083,98.9309,0.1112
72.9067,0.8278,99.2599,0.1007,99.1776,0.1074,99.0132,0.1031,99.7533,0.1028,99.4243,0.0979,98.5197,0.114,99.4243,0.1002,99.2599,0.0975,99.0954,0.1049,99.0132,0.1051
73.0068,0.8285,99.4243,0.0966,99.0954,0.1014,99.4243,0.0944,99.9178,0.0978,99.3421,0.0946,98.6842,0.1102,99.4243,0.0976,99.6711,0.0916,99.4243,0.1004,99.1776,0.1011
72.9467,0.83,99.5888,0.095,99.4243,0.0988,99.4243,0.0918,99.9178,0.0951,99.5066,0.0902,98.9309,0.103,99.5066,0.0954,99.5066,0.091,99.5066,0.0973,99.1776,0.0962
72.9768,0.8308,99.5066,0.089,99.4243,0.0944,99.5888,0.0904,99.9178,0.0907,99.5066,0.0874,98.9309,0.1009,99.5888,0.0897,99.5888,0.0868,99.5066,0.0929,99.3421,0.094
73.0669,0.8324,99.6711,0.0855,99.5066,0.0912,99.6711,0.0875,100.0,0.0866,99.6711,0.0826,99.0954,0.0963,99.6711,0.0875,99.7533,0.0824,99.7533,0.0898,99.6711,0.0873
72.9367,0.8335,99.7533,0.0825,99.6711,0.0872,99.6711,0.0825,100.0,0.0829,99.6711,0.0808,99.1776,0.0932,99.7533,0.0837,99.7533,0.0793,99.7533,0.0845,99.6711,0.0838
73.0569,0.8346,99.6711,0.0812,99.5888,0.0837,99.7533,0.0784,100.0,0.08,99.6711,0.0779,99.4243,0.0885,99.8355,0.0814,99.7533,0.0758,99.7533,0.0805,99.8355,0.0817
73.0168,0.8343,99.6711,0.0785,99.7533,0.081,99.7533,0.0776,100.0,0.0779,99.8355,0.0747,99.4243,0.0853,99.8355,0.0781,99.7533,0.0742,99.7533,0.0786,99.7533,0.0774
72.8766,0.8357,99.8355,0.0747,99.7533,0.0782,99.7533,0.0741,100.0,0.0738,99.8355,0.073,99.4243,0.0823,99.9178,0.0758,99.8355,0.0712,99.9178,0.0761,100.0,0.0757
72.8766,0.837,99.8355,0.0725,99.7533,0.0755,99.7533,0.0733,100.0,0.0721,99.9178,0.0699,99.4243,0.079,99.9178,0.0725,100.0,0.0678,99.9178,0.0732,100.0,0.0746
72.8265,0.837,99.9178,0.0702,99.7533,0.0732,99.7533,0.0699,100.0,0.0697,99.9178,0.0683,99.5066,0.0767,99.9178,0.0702,100.0,0.067,99.9178,0.0715,99.9178,0.0702
72.9167,0.8377,99.9178,0.0678,99.7533,0.0706,99.7533,0.0676,100.0,0.0667,100.0,0.0658,99.5066,0.0737,99.8355,0.069,100.0,0.0647,99.9178,0.0685,100.0,0.0687
72.8766,0.8391,99.9178,0.0652,99.8355,0.0681,99.7533,0.0652,100.0,0.0654,100.0,0.0634,99.7533,0.0719,99.9178,0.0668,100.0,0.0626,99.9178,0.0673,100.0,0.0654
72.9067,0.8393,99.9178,0.0637,99.8355,0.067,99.7533,0.0632,100.0,0.0634,100.0,0.0615,99.7533,0.0696,99.9178,0.0633,100.0,0.0611,99.9178,0.0648,100.0,0.0637
72.9267,0.84,99.9178,0.0629,99.8355,0.0656,99.7533,0.0623,100.0,0.0624,100.0,0.0599,99.9178,0.0667,99.9178,0.0632,100.0,0.0592,99.9178,0.0633,100.0,0.0627
