S_acc,S_loss,C1_acc,C1_loss,C2_acc,C2_loss,C3_acc,C3_loss,C4_acc,C4_loss,C5_acc,C5_loss,C6_acc,C6_loss,C7_acc,C7_loss,C8_acc,C8_loss,C9_acc,C9_loss,C10_acc,C10_loss
60.2364,2.3085,93.75,0.2925,72.9167,0.7942,92.1875,0.2967,84.6354,0.6007,72.6562,0.9592,67.1875,0.8673,72.9167,0.8684,80.7292,0.6494,85.4167,0.5579,94.5312,0.2622
60.6971,2.3003,94.7917,0.2605,75.0,0.7533,92.4479,0.2897,84.375,0.6044,74.4792,0.9523,65.3646,0.8912,75.2604,0.8279,80.9896,0.6316,84.1146,0.5954,94.2708,0.253
61.0978,2.3011,94.5312,0.2645,75.2604,0.7482,92.9688,0.2731,85.1562,0.5791,75.0,0.9211,65.3646,0.9051,74.7396,0.8193,83.3333,0.5975,84.8958,0.5699,94.5312,0.2434
62.0092,2.293,94.0104,0.2749,75.0,0.7404,92.4479,0.283,85.4167,0.5504,77.8646,0.8803,68.75,0.8533,76.8229,0.7966,85.1562,0.5753,85.6771,0.5454,94.5312,0.2501
62.5801,2.2874,94.2708,0.2598,76.8229,0.7072,92.9688,0.2765,85.1562,0.5878,77.6042,0.8693,68.4896,0.8343,77.0833,0.7782,84.8958,0.5509,84.8958,0.5756,95.0521,0.2346
62.7003,2.2883,94.2708,0.2521,76.0417,0.7192,92.7083,0.2704,84.6354,0.5831,77.0833,0.8751,68.75,0.8389,76.3021,0.7756,85.6771,0.5535,85.6771,0.5552,95.3125,0.2278
63.1711,2.2853,93.75,0.2612,77.6042,0.6856,92.4479,0.2736,85.4167,0.5628,78.6458,0.8353,67.9688,0.8365,77.3438,0.7559,86.1979,0.5389,86.4583,0.5354,95.3125,0.2265
63.5917,2.2902,94.2708,0.2519,77.0833,0.7053,93.4896,0.2473,85.1562,0.5507,78.125,0.8383,71.0938,0.812,76.0417,0.788,86.9792,0.5306,85.9375,0.5157,95.0521,0.2287
64.0625,2.2783,94.2708,0.2391,77.3438,0.6808,94.0104,0.2489,85.1562,0.561,78.6458,0.8308,71.3542,0.7908,77.3438,0.7551,87.5,0.5182,86.1979,0.5404,94.7917,0.2246
64.1827,2.2859,94.0104,0.2433,78.3854,0.6588,93.2292,0.2469,86.4583,0.5286,79.9479,0.8221,71.6146,0.7995,79.4271,0.7113,86.9792,0.5132,86.4583,0.5219,94.7917,0.2219
64.2027,2.2896,94.5312,0.2305,79.9479,0.6197,93.2292,0.2521,85.6771,0.5483,79.9479,0.813,71.0938,0.7952,79.1667,0.6896,86.9792,0.5188,85.6771,0.5259,95.3125,0.2097
64.8438,2.2811,93.75,0.2418,79.4271,0.6287,92.9688,0.2531,86.1979,0.5283,81.25,0.7777,71.0938,0.7762,80.2083,0.6675,88.0208,0.4934,86.1979,0.5184,94.7917,0.2191
64.974,2.2859,94.5312,0.2362,80.2083,0.6336,94.0104,0.2507,85.9375,0.5296,82.0312,0.7652,73.1771,0.7515,79.6875,0.6825,88.0208,0.4903,87.2396,0.4898,94.7917,0.2114
65.5048,2.2774,94.7917,0.2321,80.2083,0.6134,94.0104,0.2423,86.1979,0.5291,81.5104,0.7689,73.9583,0.7405,79.6875,0.6726,89.5833,0.458,86.1979,0.5102,94.7917,0.2061
65.645,2.2813,94.7917,0.216,80.2083,0.6034,94.2708,0.2253,86.4583,0.5167,82.5521,0.7541,71.6146,0.7647,81.25,0.63,89.5833,0.4525,86.4583,0.5062,94.5312,0.2103
65.8654,2.2778,94.0104,0.238,79.9479,0.5974,94.5312,0.237,86.1979,0.5228,81.7708,0.7533,73.4375,0.7491,80.7292,0.6327,90.8854,0.4316,86.1979,0.5039,94.5312,0.2073
65.9355,2.286,94.5312,0.2305,79.9479,0.5996,94.0104,0.2374,86.9792,0.4841,83.0729,0.7174,74.4792,0.7308,80.4688,0.6475,90.3646,0.4411,87.2396,0.4618,94.5312,0.2128
65.9655,2.2916,94.2708,0.2291,80.9896,0.575,94.2708,0.2359,86.4583,0.5034,83.0729,0.7192,74.4792,0.7358,80.9896,0.6191,89.8438,0.4542,87.2396,0.4721,95.0521,0.1985
66.1659,2.2929,94.5312,0.2166,82.0312,0.5552,94.2708,0.2285,86.4583,0.4838,82.0312,0.735,72.9167,0.7499,81.25,0.5974,90.1042,0.4461,87.7604,0.4711,94.7917,0.1986
66.4563,2.2925,94.5312,0.2158,80.4688,0.5934,94.5312,0.2137,86.9792,0.4804,82.5521,0.7118,75.7812,0.6951,81.5104,0.621,90.8854,0.4359,88.0208,0.4561,94.7917,0.2009
66.9671,2.2862,94.5312,0.2228,80.9896,0.5678,94.0104,0.2349,86.9792,0.4747,83.8542,0.685,77.6042,0.6777,81.25,0.6137,91.1458,0.4235,89.3229,0.4307,94.5312,0.2034
66.897,2.29,94.2708,0.2274,82.0312,0.5387,94.2708,0.2304,87.5,0.4698,82.8125,0.6976,76.8229,0.6898,80.9896,0.5839,90.8854,0.4164,87.7604,0.4624,94.5312,0.2001
67.0172,2.2924,94.2708,0.2225,81.7708,0.5418,94.2708,0.2206,86.9792,0.4548,83.3333,0.6856,76.8229,0.6726,81.5104,0.5836,91.4062,0.4129,88.5417,0.4528,95.0521,0.1858
67.1775,2.2916,95.0521,0.2083,81.5104,0.5517,94.2708,0.2227,87.2396,0.4693,82.8125,0.7034,77.6042,0.6761,81.7708,0.5839,91.6667,0.3992,88.8021,0.446,94.7917,0.1902
67.478,2.2852,94.5312,0.2175,83.0729,0.5205,94.5312,0.2245,87.2396,0.4762,83.8542,0.6709,79.1667,0.657,81.7708,0.5703,91.6667,0.3977,88.0208,0.4554,95.8333,0.1926
67.6182,2.2835,94.5312,0.2163,83.0729,0.5203,94.0104,0.2245,87.2396,0.4665,83.5938,0.6839,79.1667,0.6439,81.7708,0.5704,91.9271,0.3934,88.8021,0.4495,95.0521,0.1906
67.518,2.2903,94.5312,0.2129,82.5521,0.5274,94.2708,0.2209,87.5,0.4435,84.1146,0.6731,78.3854,0.6729,83.3333,0.5465,92.4479,0.3906,88.8021,0.4357,95.5729,0.1864
67.8886,2.2875,95.0521,0.2071,83.0729,0.514,94.5312,0.217,87.7604,0.4185,84.6354,0.6407,78.125,0.6646,83.8542,0.5388,91.6667,0.3887,89.3229,0.4231,95.3125,0.1929
68.0088,2.2874,94.7917,0.2106,85.1562,0.4911,95.3125,0.2198,87.7604,0.4469,85.9375,0.6298,78.6458,0.6314,83.8542,0.5428,91.9271,0.3947,89.8438,0.4052,95.3125,0.1882
68.1591,2.2874,95.0521,0.2102,83.8542,0.5106,95.0521,0.2077,87.7604,0.4233,84.375,0.6422,79.1667,0.6293,83.5938,0.5444,91.9271,0.3894,89.3229,0.4235,95.8333,0.1838
68.2993,2.2854,95.0521,0.2048,83.5938,0.5099,95.0521,0.2081,87.7604,0.4393,84.6354,0.6247,79.1667,0.6392,84.6354,0.5444,92.7083,0.371,89.8438,0.4031,95.8333,0.1828
68.1991,2.2906,95.0521,0.2058,84.375,0.4955,94.7917,0.2128,87.2396,0.443,85.9375,0.6179,78.3854,0.6519,84.375,0.5293,92.7083,0.3691,89.3229,0.4028,96.0938,0.1772
68.4195,2.2887,95.0521,0.2061,85.4167,0.4763,94.7917,0.2108,87.7604,0.4278,85.4167,0.6192,79.1667,0.6337,84.6354,0.5254,92.7083,0.3689,89.5833,0.4022,95.3125,0.1835
