Namespace(seed=40, output_dir='./logs', demo=False, pretrained=False, train_lr=0.01, root='/home/lgd/Desktop/SNNFL/datasets', dataset='MNIST', num_workers=2, batch_size=64, num_sen=64, defense='dcs', attack='gs', percent_num=70, layer_num=6, noise_name='Gaussian', loc=0.0, scale=0.01, per_adv=1, dcs_iter=1000, dcs_lr=0.1, lambda_xsim=0.01, lambda_zsim=0.01, epsilon=0.01, early_stop=True, xsim_thr=300.0, lambda_y=0.7, project=True, startpoint='none', mixup=False, precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', method='non-iid', TotalDevNum=10, DevNum=8, n_data=200, Pro_dev=5, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
<class 'torchvision.datasets.mnist.MNIST'>
Device  8 	 Train loss 3.1966 	 LR 0.0099 	 Train images 400 	 Round   1
Device  8 	 Train loss 0.6526 	 LR 0.0098 	 Train images 400 	 Round   2
Device  8 	 Train loss 0.8794 	 LR 0.0097 	 Train images 400 	 Round   3
Device  8 	 Train loss 1.1536 	 LR 0.0096 	 Train images 400 	 Round   4
Device  8 	 Train loss 0.9976 	 LR 0.0095 	 Train images 400 	 Round   5
Device  8 	 Train loss 0.4771 	 LR 0.0094 	 Train images 400 	 Round   6
Device  8 	 Train loss 0.4389 	 LR 0.0093 	 Train images 400 	 Round   7
Device  8 	 Train loss 0.5002 	 LR 0.0092 	 Train images 400 	 Round   8
Device  8 	 Train loss 0.4850 	 LR 0.0091 	 Train images 400 	 Round   9
Device  8 	 Train loss 0.3908 	 LR 0.0090 	 Train images 400 	 Round  10
Device  8 	 Train loss 0.3200 	 LR 0.0090 	 Train images 400 	 Round  11
Device  8 	 Train loss 0.3328 	 LR 0.0089 	 Train images 400 	 Round  12
Device  8 	 Train loss 0.2932 	 LR 0.0088 	 Train images 400 	 Round  13
Device  8 	 Train loss 0.2748 	 LR 0.0087 	 Train images 400 	 Round  14
Device  8 	 Train loss 0.2619 	 LR 0.0086 	 Train images 400 	 Round  15
Device  8 	 Train loss 0.2472 	 LR 0.0085 	 Train images 400 	 Round  16
Device  8 	 Train loss 0.2727 	 LR 0.0084 	 Train images 400 	 Round  17
Device  8 	 Train loss 0.2256 	 LR 0.0083 	 Train images 400 	 Round  18
Device  8 	 Train loss 0.2076 	 LR 0.0083 	 Train images 400 	 Round  19
Device  8 	 Train loss 0.2091 	 LR 0.0082 	 Train images 400 	 Round  20
Device  8 	 Train loss 0.1926 	 LR 0.0081 	 Train images 400 	 Round  21
Device  8 	 Train loss 0.1913 	 LR 0.0080 	 Train images 400 	 Round  22
Device  8 	 Train loss 0.1871 	 LR 0.0079 	 Train images 400 	 Round  23
Device  8 	 Train loss 0.2031 	 LR 0.0079 	 Train images 400 	 Round  24
Device  8 	 Train loss 0.2042 	 LR 0.0078 	 Train images 400 	 Round  25
Device  8 	 Train loss 0.1875 	 LR 0.0077 	 Train images 400 	 Round  26
Device  8 	 Train loss 0.1580 	 LR 0.0076 	 Train images 400 	 Round  27
Device  8 	 Train loss 0.1880 	 LR 0.0075 	 Train images 400 	 Round  28
Device  8 	 Train loss 0.1710 	 LR 0.0075 	 Train images 400 	 Round  29
Device  8 	 Train loss 0.1515 	 LR 0.0074 	 Train images 400 	 Round  30
Device  8 	 Train loss 0.1594 	 LR 0.0073 	 Train images 400 	 Round  31
Device  8 	 Train loss 0.1485 	 LR 0.0072 	 Train images 400 	 Round  32
Device  8 	 Train loss 0.1613 	 LR 0.0072 	 Train images 400 	 Round  33
Device  8 	 Train loss 0.1353 	 LR 0.0071 	 Train images 400 	 Round  34
Device  8 	 Train loss 0.1596 	 LR 0.0070 	 Train images 400 	 Round  35
Device  8 	 Train loss 0.1361 	 LR 0.0070 	 Train images 400 	 Round  36
Device  8 	 Train loss 0.1715 	 LR 0.0069 	 Train images 400 	 Round  37
Device  8 	 Train loss 0.1233 	 LR 0.0068 	 Train images 400 	 Round  38
Device  8 	 Train loss 0.1460 	 LR 0.0068 	 Train images 400 	 Round  39
Device  8 	 Train loss 0.1335 	 LR 0.0067 	 Train images 400 	 Round  40
Device  8 	 Train loss 0.1348 	 LR 0.0066 	 Train images 400 	 Round  41
Device  8 	 Train loss 0.1334 	 LR 0.0066 	 Train images 400 	 Round  42
Device  8 	 Train loss 0.1278 	 LR 0.0065 	 Train images 400 	 Round  43
Device  8 	 Train loss 0.1139 	 LR 0.0064 	 Train images 400 	 Round  44
Device  8 	 Train loss 0.1118 	 LR 0.0064 	 Train images 400 	 Round  45
Device  8 	 Train loss 0.1266 	 LR 0.0063 	 Train images 400 	 Round  46
Device  8 	 Train loss 0.1292 	 LR 0.0062 	 Train images 400 	 Round  47
Device  8 	 Train loss 0.1273 	 LR 0.0062 	 Train images 400 	 Round  48
Device  8 	 Train loss 0.1159 	 LR 0.0061 	 Train images 400 	 Round  49
Device  8 	 Train loss 0.1105 	 LR 0.0061 	 Train images 400 	 Round  50
Device  8 	 Train loss 0.1265 	 LR 0.0060 	 Train images 400 	 Round  51
Device  8 	 Train loss 0.1136 	 LR 0.0059 	 Train images 400 	 Round  52
Device  8 	 Train loss 0.1149 	 LR 0.0059 	 Train images 400 	 Round  53
Device  8 	 Train loss 0.1182 	 LR 0.0058 	 Train images 400 	 Round  54
Device  8 	 Train loss 0.1251 	 LR 0.0058 	 Train images 400 	 Round  55
Device  8 	 Train loss 0.1041 	 LR 0.0057 	 Train images 400 	 Round  56
Device  8 	 Train loss 0.1046 	 LR 0.0056 	 Train images 400 	 Round  57
Device  8 	 Train loss 0.1261 	 LR 0.0056 	 Train images 400 	 Round  58
Device  8 	 Train loss 0.1102 	 LR 0.0055 	 Train images 400 	 Round  59
Device  8 	 Train loss 0.0988 	 LR 0.0055 	 Train images 400 	 Round  60
Device  8 	 Train loss 0.1068 	 LR 0.0054 	 Train images 400 	 Round  61
Device  8 	 Train loss 0.1061 	 LR 0.0054 	 Train images 400 	 Round  62
Device  8 	 Train loss 0.1132 	 LR 0.0053 	 Train images 400 	 Round  63
Device  8 	 Train loss 0.1132 	 LR 0.0053 	 Train images 400 	 Round  64
Device  8 	 Train loss 0.1121 	 LR 0.0052 	 Train images 400 	 Round  65
Device  8 	 Train loss 0.0999 	 LR 0.0052 	 Train images 400 	 Round  66
Device  8 	 Train loss 0.1088 	 LR 0.0051 	 Train images 400 	 Round  67
Device  8 	 Train loss 0.1060 	 LR 0.0050 	 Train images 400 	 Round  68
