Namespace(seed=42, output_dir='./logs', cnt=1, method='iid', TotalDevNum=10, pretrained=False, dataset='CIFAR10', resume=False, ckp_path='./weights/model_round_100.pth', defense='none', precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', minfit=10, mineval=10, minavl=10, num_rounds=50, save_rnd=100, train_lr=0.01, local_epochs=1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
Round 001 	 FL_loss 2.3836 	 FL_acc 11.7788 	 Test images 10000
Round 002 	 FL_loss 2.1833 	 FL_acc 22.8566 	 Test images 10000
Round 003 	 FL_loss 1.6154 	 FL_acc 41.1959 	 Test images 10000
Round 004 	 FL_loss 1.4421 	 FL_acc 46.2941 	 Test images 10000
Round 005 	 FL_loss 1.3932 	 FL_acc 48.5377 	 Test images 10000
Round 006 	 FL_loss 1.3431 	 FL_acc 51.6226 	 Test images 10000
Round 007 	 FL_loss 1.2680 	 FL_acc 54.1066 	 Test images 10000
Round 008 	 FL_loss 1.2008 	 FL_acc 57.1114 	 Test images 10000
Round 009 	 FL_loss 1.1457 	 FL_acc 59.0845 	 Test images 10000
Round 010 	 FL_loss 1.1510 	 FL_acc 59.3149 	 Test images 10000
Round 011 	 FL_loss 1.0562 	 FL_acc 62.7604 	 Test images 10000
Round 012 	 FL_loss 1.0305 	 FL_acc 64.2528 	 Test images 10000
Round 013 	 FL_loss 1.0317 	 FL_acc 63.9423 	 Test images 10000
Round 014 	 FL_loss 0.9716 	 FL_acc 65.8253 	 Test images 10000
Round 015 	 FL_loss 0.9542 	 FL_acc 66.8369 	 Test images 10000
Round 016 	 FL_loss 0.9356 	 FL_acc 67.6883 	 Test images 10000
Round 017 	 FL_loss 0.8953 	 FL_acc 68.8301 	 Test images 10000
Round 018 	 FL_loss 0.8910 	 FL_acc 68.9403 	 Test images 10000
Round 019 	 FL_loss 0.8759 	 FL_acc 69.1907 	 Test images 10000
Round 020 	 FL_loss 0.8918 	 FL_acc 69.8718 	 Test images 10000
Round 021 	 FL_loss 0.9035 	 FL_acc 68.9603 	 Test images 10000
Round 022 	 FL_loss 0.8710 	 FL_acc 70.3726 	 Test images 10000
Round 023 	 FL_loss 0.8552 	 FL_acc 71.2540 	 Test images 10000
Round 024 	 FL_loss 0.8628 	 FL_acc 71.4643 	 Test images 10000
Round 025 	 FL_loss 0.8723 	 FL_acc 71.0737 	 Test images 10000
Round 026 	 FL_loss 0.8325 	 FL_acc 71.7448 	 Test images 10000
Round 027 	 FL_loss 0.8660 	 FL_acc 71.3341 	 Test images 10000
