Namespace(seed=42, output_dir='./logs', cnt=2, method='non-iid', TotalDevNum=10, pretrained=False, dataset='CIFAR10', resume=False, ckp_path='./weights/model_round_100.pth', defense='none', precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', minfit=10, mineval=10, minavl=10, num_rounds=50, save_rnd=100, train_lr=0.01, local_epochs=1, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
cuda
Round 017 	 FL_loss 3.0780 	 FL_acc 21.0938 	 Test images 10000
Round 018 	 FL_loss 3.0053 	 FL_acc 12.9307 	 Test images 10000
Round 019 	 FL_loss 2.8656 	 FL_acc 23.4976 	 Test images 10000
Round 020 	 FL_loss 2.9648 	 FL_acc 16.4463 	 Test images 10000
Round 021 	 FL_loss 3.0392 	 FL_acc 25.1202 	 Test images 10000
Round 022 	 FL_loss 2.8948 	 FL_acc 14.9940 	 Test images 10000
Round 023 	 FL_loss 2.9149 	 FL_acc 25.9816 	 Test images 10000
Round 024 	 FL_loss 2.8605 	 FL_acc 20.6330 	 Test images 10000
Round 025 	 FL_loss 2.8183 	 FL_acc 29.5072 	 Test images 10000
Round 026 	 FL_loss 2.8375 	 FL_acc 21.2941 	 Test images 10000
Round 027 	 FL_loss 2.7576 	 FL_acc 29.8878 	 Test images 10000
Round 028 	 FL_loss 2.9078 	 FL_acc 21.9151 	 Test images 10000
Round 029 	 FL_loss 2.7879 	 FL_acc 32.4720 	 Test images 10000
Round 030 	 FL_loss 2.3099 	 FL_acc 40.5349 	 Test images 10000
Round 031 	 FL_loss 2.4361 	 FL_acc 40.5749 	 Test images 10000
Round 032 	 FL_loss 2.4669 	 FL_acc 41.2660 	 Test images 10000
Round 033 	 FL_loss 2.5031 	 FL_acc 41.4864 	 Test images 10000
Round 034 	 FL_loss 2.5147 	 FL_acc 41.9872 	 Test images 10000
Round 035 	 FL_loss 2.5374 	 FL_acc 42.0873 	 Test images 10000
Round 036 	 FL_loss 2.5369 	 FL_acc 42.3277 	 Test images 10000
Round 037 	 FL_loss 2.5635 	 FL_acc 42.9287 	 Test images 10000
Round 038 	 FL_loss 2.5889 	 FL_acc 42.9587 	 Test images 10000
Round 039 	 FL_loss 2.5950 	 FL_acc 43.1691 	 Test images 10000
Round 040 	 FL_loss 2.6243 	 FL_acc 43.2492 	 Test images 10000
Round 041 	 FL_loss 2.6347 	 FL_acc 43.4395 	 Test images 10000
Round 042 	 FL_loss 2.6595 	 FL_acc 43.7901 	 Test images 10000
Round 043 	 FL_loss 2.6623 	 FL_acc 43.8301 	 Test images 10000
Round 044 	 FL_loss 2.7093 	 FL_acc 43.6198 	 Test images 10000
Round 045 	 FL_loss 2.7082 	 FL_acc 43.8902 	 Test images 10000
Round 046 	 FL_loss 2.7157 	 FL_acc 44.0405 	 Test images 10000
Round 047 	 FL_loss 2.7563 	 FL_acc 43.8602 	 Test images 10000
Round 048 	 FL_loss 2.7490 	 FL_acc 44.0905 	 Test images 10000
Round 049 	 FL_loss 2.7659 	 FL_acc 44.4111 	 Test images 10000
Round 050 	 FL_loss 2.7694 	 FL_acc 44.3810 	 Test images 10000
Best FL accuracy: 44.41105651855469 on round 49
Defense Method:  none
Finished computations with time: 0:13:35.360161

