Namespace(seed=40, output_dir='./logs', demo=False, pretrained=False, train_lr=0.01, root='/home/lgd/Desktop/SNNFL/datasets', dataset='MNIST', num_workers=2, batch_size=64, num_sen=64, defense='none', attack='gs', percent_num=70, layer_num=6, noise_name='Gaussian', loc=0.0, scale=0.01, per_adv=1, dcs_iter=1000, dcs_lr=0.1, lambda_xsim=0.01, lambda_zsim=0.01, epsilon=0.01, early_stop=True, xsim_thr=150.0, lambda_y=0.7, project=True, startpoint='none', mixup=True, precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', method='non-iid', TotalDevNum=10, DevNum=1, n_data=200, Pro_dev=5, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
<class 'torchvision.datasets.mnist.MNIST'>
Device  1 	 Train loss 0.1755 	 LR 0.0051 	 Train images 400 	 Round  67
Device  1 	 Train loss 0.1679 	 LR 0.0050 	 Train images 400 	 Round  68
Device  1 	 Train loss 0.1838 	 LR 0.0050 	 Train images 400 	 Round  69
Device  1 	 Train loss 0.1800 	 LR 0.0049 	 Train images 400 	 Round  70
Device  1 	 Train loss 0.1702 	 LR 0.0049 	 Train images 400 	 Round  71
Device  1 	 Train loss 0.1806 	 LR 0.0048 	 Train images 400 	 Round  72
Device  1 	 Train loss 0.1760 	 LR 0.0048 	 Train images 400 	 Round  73
Device  1 	 Train loss 0.1669 	 LR 0.0048 	 Train images 400 	 Round  74
Device  1 	 Train loss 0.1763 	 LR 0.0047 	 Train images 400 	 Round  75
Device  1 	 Train loss 0.1815 	 LR 0.0047 	 Train images 400 	 Round  76
Device  1 	 Train loss 0.1730 	 LR 0.0046 	 Train images 400 	 Round  77
Device  1 	 Train loss 0.1653 	 LR 0.0046 	 Train images 400 	 Round  78
Device  1 	 Train loss 0.1674 	 LR 0.0045 	 Train images 400 	 Round  79
Device  1 	 Train loss 0.1734 	 LR 0.0045 	 Train images 400 	 Round  80
Device  1 	 Train loss 0.1730 	 LR 0.0044 	 Train images 400 	 Round  81
Device  1 	 Train loss 0.1737 	 LR 0.0044 	 Train images 400 	 Round  82
Device  1 	 Train loss 0.1742 	 LR 0.0043 	 Train images 400 	 Round  83
Device  1 	 Train loss 0.1793 	 LR 0.0043 	 Train images 400 	 Round  84
Device  1 	 Train loss 0.1628 	 LR 0.0043 	 Train images 400 	 Round  85
Device  1 	 Train loss 0.1714 	 LR 0.0042 	 Train images 400 	 Round  86
Device  1 	 Train loss 0.1807 	 LR 0.0042 	 Train images 400 	 Round  87
Device  1 	 Train loss 0.1660 	 LR 0.0041 	 Train images 400 	 Round  88
Device  1 	 Train loss 0.1729 	 LR 0.0041 	 Train images 400 	 Round  89
Device  1 	 Train loss 0.1616 	 LR 0.0040 	 Train images 400 	 Round  90
Device  1 	 Train loss 0.1631 	 LR 0.0040 	 Train images 400 	 Round  91
Device  1 	 Train loss 0.1583 	 LR 0.0040 	 Train images 400 	 Round  92
Device  1 	 Train loss 0.1670 	 LR 0.0039 	 Train images 400 	 Round  93
Device  1 	 Train loss 0.1735 	 LR 0.0039 	 Train images 400 	 Round  94
Device  1 	 Train loss 0.1714 	 LR 0.0038 	 Train images 400 	 Round  95
Device  1 	 Train loss 0.1647 	 LR 0.0038 	 Train images 400 	 Round  96
Device  1 	 Train loss 0.1739 	 LR 0.0038 	 Train images 400 	 Round  97
Device  1 	 Train loss 0.1809 	 LR 0.0037 	 Train images 400 	 Round  98
Device  1 	 Train loss 0.1567 	 LR 0.0037 	 Train images 400 	 Round  99
Device  1 	 Train loss 0.1586 	 LR 0.0037 	 Train images 400 	 Round 100
Device  1 	 Train loss 0.1629 	 LR 0.0036 	 Train images 400 	 Round 101
Device  1 	 Train loss 0.1639 	 LR 0.0036 	 Train images 400 	 Round 102
Device  1 	 Train loss 0.1755 	 LR 0.0036 	 Train images 400 	 Round 103
Device  1 	 Train loss 0.1715 	 LR 0.0035 	 Train images 400 	 Round 104
Device  1 	 Train loss 0.1721 	 LR 0.0035 	 Train images 400 	 Round 105
Device  1 	 Train loss 0.1744 	 LR 0.0034 	 Train images 400 	 Round 106
Device  1 	 Train loss 0.1633 	 LR 0.0034 	 Train images 400 	 Round 107
Device  1 	 Train loss 0.1652 	 LR 0.0034 	 Train images 400 	 Round 108
Device  1 	 Train loss 0.1720 	 LR 0.0033 	 Train images 400 	 Round 109
Device  1 	 Train loss 0.1701 	 LR 0.0033 	 Train images 400 	 Round 110
Device  1 	 Train loss 0.1699 	 LR 0.0033 	 Train images 400 	 Round 111
Device  1 	 Train loss 0.1696 	 LR 0.0032 	 Train images 400 	 Round 112
Device  1 	 Train loss 0.1697 	 LR 0.0032 	 Train images 400 	 Round 113
Device  1 	 Train loss 0.1657 	 LR 0.0032 	 Train images 400 	 Round 114
Device  1 	 Train loss 0.1732 	 LR 0.0031 	 Train images 400 	 Round 115
Device  1 	 Train loss 0.1702 	 LR 0.0031 	 Train images 400 	 Round 116
Device  1 	 Train loss 0.1751 	 LR 0.0031 	 Train images 400 	 Round 117
Device  1 	 Train loss 0.1672 	 LR 0.0031 	 Train images 400 	 Round 118
Device  1 	 Train loss 0.1636 	 LR 0.0030 	 Train images 400 	 Round 119
Device  1 	 Train loss 0.1698 	 LR 0.0030 	 Train images 400 	 Round 120
Device  1 	 Train loss 0.1669 	 LR 0.0030 	 Train images 400 	 Round 121
Device  1 	 Train loss 0.1762 	 LR 0.0029 	 Train images 400 	 Round 122
Device  1 	 Train loss 0.1720 	 LR 0.0029 	 Train images 400 	 Round 123
Device  1 	 Train loss 0.1752 	 LR 0.0029 	 Train images 400 	 Round 124
Device  1 	 Train loss 0.1796 	 LR 0.0028 	 Train images 400 	 Round 125
Device  1 	 Train loss 0.1655 	 LR 0.0028 	 Train images 400 	 Round 126
Device  1 	 Train loss 0.1728 	 LR 0.0028 	 Train images 400 	 Round 127
Device  1 	 Train loss 0.1710 	 LR 0.0028 	 Train images 400 	 Round 128
Device  1 	 Train loss 0.1777 	 LR 0.0027 	 Train images 400 	 Round 129
Device  1 	 Train loss 0.1750 	 LR 0.0027 	 Train images 400 	 Round 130
Device  1 	 Train loss 0.1672 	 LR 0.0027 	 Train images 400 	 Round 131
Device  1 	 Train loss 0.1747 	 LR 0.0027 	 Train images 400 	 Round 132
Device  1 	 Train loss 0.1780 	 LR 0.0026 	 Train images 400 	 Round 133
Device  1 	 Train loss 0.1706 	 LR 0.0026 	 Train images 400 	 Round 134
Device  1 	 Train loss 0.1765 	 LR 0.0026 	 Train images 400 	 Round 135
Device  1 	 Train loss 0.1736 	 LR 0.0025 	 Train images 400 	 Round 136
Device  1 	 Train loss 0.1623 	 LR 0.0025 	 Train images 400 	 Round 137
Device  1 	 Train loss 0.1694 	 LR 0.0025 	 Train images 400 	 Round 138
Device  1 	 Train loss 0.1616 	 LR 0.0025 	 Train images 400 	 Round 139
Device  1 	 Train loss 0.1764 	 LR 0.0024 	 Train images 400 	 Round 140
Device  1 	 Train loss 0.1723 	 LR 0.0024 	 Train images 400 	 Round 141
Device  1 	 Train loss 0.1704 	 LR 0.0024 	 Train images 400 	 Round 142
Device  1 	 Train loss 0.1634 	 LR 0.0024 	 Train images 400 	 Round 143
Device  1 	 Train loss 0.1751 	 LR 0.0024 	 Train images 400 	 Round 144
Device  1 	 Train loss 0.1724 	 LR 0.0023 	 Train images 400 	 Round 145
Device  1 	 Train loss 0.1748 	 LR 0.0023 	 Train images 400 	 Round 146
Device  1 	 Train loss 0.1661 	 LR 0.0023 	 Train images 400 	 Round 147
Device  1 	 Train loss 0.1682 	 LR 0.0023 	 Train images 400 	 Round 148
Device  1 	 Train loss 0.1829 	 LR 0.0022 	 Train images 400 	 Round 149
Device  1 	 Train loss 0.1714 	 LR 0.0022 	 Train images 400 	 Round 150
Device  1 	 Train loss 0.1641 	 LR 0.0022 	 Train images 400 	 Round 151
Device  1 	 Train loss 0.1682 	 LR 0.0022 	 Train images 400 	 Round 152
Device  1 	 Train loss 0.1750 	 LR 0.0021 	 Train images 400 	 Round 153
Device  1 	 Train loss 0.1762 	 LR 0.0021 	 Train images 400 	 Round 154
Device  1 	 Train loss 0.1726 	 LR 0.0021 	 Train images 400 	 Round 155
Device  1 	 Train loss 0.1737 	 LR 0.0021 	 Train images 400 	 Round 156
Device  1 	 Train loss 0.1706 	 LR 0.0021 	 Train images 400 	 Round 157
Device  1 	 Train loss 0.1711 	 LR 0.0020 	 Train images 400 	 Round 158
Device  1 	 Train loss 0.1801 	 LR 0.0020 	 Train images 400 	 Round 159
Device  1 	 Train loss 0.1777 	 LR 0.0020 	 Train images 400 	 Round 160
Device  1 	 Train loss 0.1684 	 LR 0.0020 	 Train images 400 	 Round 161
Device  1 	 Train loss 0.1699 	 LR 0.0020 	 Train images 400 	 Round 162
Device  1 	 Train loss 0.1793 	 LR 0.0019 	 Train images 400 	 Round 163
Device  1 	 Train loss 0.1759 	 LR 0.0019 	 Train images 400 	 Round 164
Device  1 	 Train loss 0.1701 	 LR 0.0019 	 Train images 400 	 Round 165
Device  1 	 Train loss 0.1692 	 LR 0.0019 	 Train images 400 	 Round 166
Device  1 	 Train loss 0.1710 	 LR 0.0019 	 Train images 400 	 Round 167
Device  1 	 Train loss 0.1806 	 LR 0.0018 	 Train images 400 	 Round 168
Device  1 	 Train loss 0.1733 	 LR 0.0018 	 Train images 400 	 Round 169
Device  1 	 Train loss 0.1760 	 LR 0.0018 	 Train images 400 	 Round 170
Device  1 	 Train loss 0.1773 	 LR 0.0018 	 Train images 400 	 Round 171
Device  1 	 Train loss 0.1806 	 LR 0.0018 	 Train images 400 	 Round 172
