S_acc,S_loss,C1_acc,C1_loss,C2_acc,C2_loss,C3_acc,C3_loss,C4_acc,C4_loss,C5_acc,C5_loss,C6_acc,C6_loss,C7_acc,C7_loss,C8_acc,C8_loss,C9_acc,C9_loss,C10_acc,C10_loss
22.6162,4.5899,100.0,0.0026,100.0,0.0028,100.0,0.0026,100.0,0.0025,23.1086,4.6482,99.9178,0.004,99.9178,0.0039,100.0,0.0027,100.0,0.0027,100.0,0.0025
22.5761,4.6134,100.0,0.0024,100.0,0.0026,100.0,0.0024,100.0,0.0022,23.3553,4.6556,99.9178,0.0033,99.9178,0.0035,100.0,0.0025,100.0,0.0024,100.0,0.0023
22.6062,4.6135,100.0,0.0023,100.0,0.0024,100.0,0.0023,100.0,0.0021,23.6842,4.645,100.0,0.0029,99.9178,0.0035,100.0,0.0024,100.0,0.0023,100.0,0.0022
22.5861,4.6126,100.0,0.0022,100.0,0.0024,100.0,0.0023,100.0,0.0021,24.0954,4.6421,100.0,0.0026,99.9178,0.0034,100.0,0.0024,100.0,0.0023,100.0,0.0022
22.516,4.612,100.0,0.0022,100.0,0.0023,100.0,0.0022,100.0,0.0021,24.0954,4.6315,100.0,0.0025,99.9178,0.0034,100.0,0.0023,100.0,0.0022,100.0,0.0022
22.6562,4.6115,100.0,0.0022,100.0,0.0023,100.0,0.0022,100.0,0.002,24.3421,4.627,100.0,0.0024,99.9178,0.0034,100.0,0.0022,100.0,0.0022,100.0,0.0021
22.6162,4.6102,100.0,0.0021,100.0,0.0022,100.0,0.0021,100.0,0.002,23.6842,4.6419,100.0,0.0024,99.9178,0.0033,100.0,0.0022,100.0,0.0022,100.0,0.0021
22.516,4.6109,100.0,0.0021,100.0,0.0022,100.0,0.0021,100.0,0.0019,23.8487,4.6523,100.0,0.0023,99.9178,0.0028,100.0,0.0021,100.0,0.0021,100.0,0.002
22.5661,4.6081,100.0,0.002,100.0,0.0021,100.0,0.0021,100.0,0.0019,23.6842,4.649,100.0,0.0022,99.9178,0.0032,100.0,0.0021,100.0,0.0021,100.0,0.002
22.5861,4.6066,100.0,0.002,100.0,0.0021,100.0,0.0021,100.0,0.0019,23.8487,4.6545,100.0,0.0022,99.9178,0.0031,100.0,0.0021,100.0,0.002,100.0,0.002
22.5661,4.6061,100.0,0.0019,100.0,0.0021,100.0,0.002,100.0,0.0019,23.8487,4.6414,100.0,0.0022,99.9178,0.0031,100.0,0.002,100.0,0.002,100.0,0.0019
22.5661,4.6042,100.0,0.0019,100.0,0.002,100.0,0.002,100.0,0.0018,23.6842,4.6467,100.0,0.0021,99.9178,0.0031,100.0,0.002,100.0,0.002,100.0,0.0019
22.506,4.6044,100.0,0.0019,100.0,0.002,100.0,0.0019,100.0,0.0018,24.4243,4.6129,100.0,0.0021,99.9178,0.0031,100.0,0.002,100.0,0.0019,100.0,0.0019
22.506,4.6013,100.0,0.0019,100.0,0.002,100.0,0.0019,100.0,0.0018,23.8487,4.6261,100.0,0.0021,99.9178,0.003,100.0,0.002,100.0,0.0019,100.0,0.0018
22.6062,4.6005,100.0,0.0019,100.0,0.002,100.0,0.0019,100.0,0.0018,24.0132,4.6063,100.0,0.002,99.9178,0.003,100.0,0.0019,100.0,0.0019,100.0,0.0018
22.5661,4.5998,100.0,0.0018,100.0,0.0019,100.0,0.0019,100.0,0.0017,23.6842,4.6353,100.0,0.002,99.9178,0.003,100.0,0.0019,100.0,0.0019,100.0,0.0018
22.5461,4.5982,100.0,0.0018,100.0,0.0019,100.0,0.0018,100.0,0.0017,23.8487,4.6379,100.0,0.002,99.9178,0.0029,100.0,0.0019,100.0,0.0018,100.0,0.0018
22.516,4.598,100.0,0.0018,100.0,0.0019,100.0,0.0018,100.0,0.0017,23.8487,4.6264,100.0,0.0019,99.9178,0.0029,100.0,0.0018,100.0,0.0018,100.0,0.0018
22.496,4.5945,100.0,0.0017,100.0,0.0019,100.0,0.0019,100.0,0.0017,23.9309,4.6043,100.0,0.0019,99.9178,0.0029,100.0,0.0019,100.0,0.0018,100.0,0.0017
22.5561,4.5947,100.0,0.0017,100.0,0.0018,100.0,0.0018,100.0,0.0017,23.602,4.6218,100.0,0.0019,99.9178,0.0029,100.0,0.0018,100.0,0.0017,100.0,0.0017
22.486,4.5952,100.0,0.0017,100.0,0.0018,100.0,0.0018,100.0,0.0016,24.0132,4.599,100.0,0.0018,99.9178,0.0029,100.0,0.0018,100.0,0.0017,100.0,0.0017
22.4359,4.5917,100.0,0.0017,100.0,0.0018,100.0,0.0018,100.0,0.0016,23.6842,4.6065,100.0,0.0018,99.9178,0.0029,100.0,0.0018,100.0,0.0017,100.0,0.0017
