Namespace(seed=42, output_dir='./logs', cnt=1, method='iid', TotalDevNum=10, pretrained=False, dataset='MNIST', resume=False, ckp_path='./weights/model_round_100.pth', defense='dp', precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', minfit=10, mineval=10, minavl=10, num_rounds=200, save_rnd=100, train_lr=0.01, local_epochs=1, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
Round 075 	 FL_loss 0.6421 	 FL_acc 82.5321 	 Test images 10000
Round 076 	 FL_loss 0.6383 	 FL_acc 82.6623 	 Test images 10000
Round 077 	 FL_loss 0.6348 	 FL_acc 82.7524 	 Test images 10000
Round 078 	 FL_loss 0.6312 	 FL_acc 82.9627 	 Test images 10000
Round 079 	 FL_loss 0.6279 	 FL_acc 82.9427 	 Test images 10000
Round 080 	 FL_loss 0.6249 	 FL_acc 82.9928 	 Test images 10000
Round 081 	 FL_loss 0.6222 	 FL_acc 83.0329 	 Test images 10000
Round 082 	 FL_loss 0.6193 	 FL_acc 83.1731 	 Test images 10000
Round 083 	 FL_loss 0.6161 	 FL_acc 83.3033 	 Test images 10000
Round 084 	 FL_loss 0.6131 	 FL_acc 83.3734 	 Test images 10000
Round 085 	 FL_loss 0.6106 	 FL_acc 83.4635 	 Test images 10000
Round 086 	 FL_loss 0.6081 	 FL_acc 83.5036 	 Test images 10000
Round 087 	 FL_loss 0.6055 	 FL_acc 83.5036 	 Test images 10000
Round 088 	 FL_loss 0.6029 	 FL_acc 83.6138 	 Test images 10000
Round 089 	 FL_loss 0.6005 	 FL_acc 83.6438 	 Test images 10000
Round 090 	 FL_loss 0.5981 	 FL_acc 83.8141 	 Test images 10000
Round 091 	 FL_loss 0.5957 	 FL_acc 83.8041 	 Test images 10000
Round 092 	 FL_loss 0.5934 	 FL_acc 83.8742 	 Test images 10000
Round 093 	 FL_loss 0.5911 	 FL_acc 83.9243 	 Test images 10000
Round 094 	 FL_loss 0.5887 	 FL_acc 84.0345 	 Test images 10000
Round 095 	 FL_loss 0.5863 	 FL_acc 84.0845 	 Test images 10000
Round 096 	 FL_loss 0.5842 	 FL_acc 84.1446 	 Test images 10000
Round 097 	 FL_loss 0.5821 	 FL_acc 84.1046 	 Test images 10000
Round 098 	 FL_loss 0.5800 	 FL_acc 84.1246 	 Test images 10000
Round 099 	 FL_loss 0.5783 	 FL_acc 84.2147 	 Test images 10000
Saving round 100 aggregated_parameters...
Round 100 	 FL_loss 0.5766 	 FL_acc 84.2348 	 Test images 10000
Round 101 	 FL_loss 0.5746 	 FL_acc 84.2648 	 Test images 10000
Round 102 	 FL_loss 0.5727 	 FL_acc 84.2849 	 Test images 10000
Round 103 	 FL_loss 0.5708 	 FL_acc 84.3450 	 Test images 10000
Round 104 	 FL_loss 0.5691 	 FL_acc 84.4051 	 Test images 10000
Round 105 	 FL_loss 0.5675 	 FL_acc 84.5152 	 Test images 10000
Round 106 	 FL_loss 0.5659 	 FL_acc 84.5453 	 Test images 10000
Round 107 	 FL_loss 0.5642 	 FL_acc 84.5753 	 Test images 10000
