Namespace(seed=42, output_dir='./logs', cnt=1, method='iid', TotalDevNum=10, pretrained=False, dataset='MNIST', resume=False, ckp_path='./weights/model_round_100.pth', defense='dcs', precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', minfit=10, mineval=10, minavl=10, num_rounds=100, save_rnd=100, train_lr=0.01, local_epochs=1, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
Round 075 	 FL_loss 0.6291 	 FL_acc 82.8125 	 Test images 10000
Round 076 	 FL_loss 0.6253 	 FL_acc 82.9127 	 Test images 10000
Round 077 	 FL_loss 0.6220 	 FL_acc 83.0829 	 Test images 10000
Round 078 	 FL_loss 0.6185 	 FL_acc 83.1731 	 Test images 10000
Round 079 	 FL_loss 0.6153 	 FL_acc 83.2232 	 Test images 10000
Round 080 	 FL_loss 0.6124 	 FL_acc 83.2833 	 Test images 10000
Round 081 	 FL_loss 0.6102 	 FL_acc 83.3634 	 Test images 10000
Round 082 	 FL_loss 0.6073 	 FL_acc 83.4736 	 Test images 10000
Round 083 	 FL_loss 0.6040 	 FL_acc 83.4836 	 Test images 10000
Round 084 	 FL_loss 0.6011 	 FL_acc 83.5837 	 Test images 10000
Round 085 	 FL_loss 0.5987 	 FL_acc 83.7340 	 Test images 10000
Round 086 	 FL_loss 0.5965 	 FL_acc 83.7740 	 Test images 10000
Round 087 	 FL_loss 0.5942 	 FL_acc 83.8041 	 Test images 10000
Round 088 	 FL_loss 0.5914 	 FL_acc 83.9143 	 Test images 10000
Round 089 	 FL_loss 0.5889 	 FL_acc 83.8642 	 Test images 10000
Round 090 	 FL_loss 0.5866 	 FL_acc 84.0845 	 Test images 10000
Round 091 	 FL_loss 0.5844 	 FL_acc 84.1046 	 Test images 10000
Round 092 	 FL_loss 0.5825 	 FL_acc 84.2348 	 Test images 10000
Round 093 	 FL_loss 0.5802 	 FL_acc 84.2648 	 Test images 10000
Round 094 	 FL_loss 0.5777 	 FL_acc 84.4251 	 Test images 10000
Round 095 	 FL_loss 0.5752 	 FL_acc 84.4151 	 Test images 10000
Round 096 	 FL_loss 0.5731 	 FL_acc 84.4351 	 Test images 10000
Round 097 	 FL_loss 0.5712 	 FL_acc 84.5252 	 Test images 10000
Round 098 	 FL_loss 0.5693 	 FL_acc 84.5954 	 Test images 10000
Round 099 	 FL_loss 0.5678 	 FL_acc 84.6154 	 Test images 10000
Saving round 100 aggregated_parameters...
Round 100 	 FL_loss 0.5660 	 FL_acc 84.6254 	 Test images 10000
Best FL accuracy: 84.62540435791016 on round 100
Defense Method:  dcs
Finished computations with time: 0:07:27.468997

