Namespace(seed=42, output_dir='./logs', cnt=1, method='iid', TotalDevNum=10, pretrained=False, dataset='MNIST', resume=False, ckp_path='./weights/model_round_100.pth', defense='none', precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', minfit=10, mineval=10, minavl=10, num_rounds=200, save_rnd=100, train_lr=0.01, local_epochs=1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
Round 075 	 FL_loss 0.6104 	 FL_acc 83.1731 	 Test images 10000
Round 076 	 FL_loss 0.6068 	 FL_acc 83.2732 	 Test images 10000
Round 077 	 FL_loss 0.6036 	 FL_acc 83.4035 	 Test images 10000
Round 078 	 FL_loss 0.6003 	 FL_acc 83.5337 	 Test images 10000
Round 079 	 FL_loss 0.5971 	 FL_acc 83.5837 	 Test images 10000
Round 080 	 FL_loss 0.5944 	 FL_acc 83.6839 	 Test images 10000
Round 081 	 FL_loss 0.5921 	 FL_acc 83.7240 	 Test images 10000
Round 082 	 FL_loss 0.5895 	 FL_acc 83.7941 	 Test images 10000
Round 083 	 FL_loss 0.5864 	 FL_acc 83.8241 	 Test images 10000
Round 084 	 FL_loss 0.5836 	 FL_acc 83.9043 	 Test images 10000
Round 085 	 FL_loss 0.5813 	 FL_acc 83.9543 	 Test images 10000
Round 086 	 FL_loss 0.5790 	 FL_acc 84.0244 	 Test images 10000
Round 087 	 FL_loss 0.5767 	 FL_acc 84.1046 	 Test images 10000
Round 088 	 FL_loss 0.5743 	 FL_acc 84.1747 	 Test images 10000
Round 089 	 FL_loss 0.5719 	 FL_acc 84.1847 	 Test images 10000
Round 090 	 FL_loss 0.5697 	 FL_acc 84.2548 	 Test images 10000
Round 091 	 FL_loss 0.5676 	 FL_acc 84.2648 	 Test images 10000
Round 092 	 FL_loss 0.5657 	 FL_acc 84.4551 	 Test images 10000
Round 093 	 FL_loss 0.5635 	 FL_acc 84.4451 	 Test images 10000
Round 094 	 FL_loss 0.5612 	 FL_acc 84.6354 	 Test images 10000
Round 095 	 FL_loss 0.5589 	 FL_acc 84.6955 	 Test images 10000
Round 096 	 FL_loss 0.5568 	 FL_acc 84.7155 	 Test images 10000
Round 097 	 FL_loss 0.5550 	 FL_acc 84.7756 	 Test images 10000
Round 098 	 FL_loss 0.5532 	 FL_acc 84.7356 	 Test images 10000
Round 099 	 FL_loss 0.5517 	 FL_acc 84.7756 	 Test images 10000
Saving round 100 aggregated_parameters...
Round 100 	 FL_loss 0.5501 	 FL_acc 84.8057 	 Test images 10000
Round 101 	 FL_loss 0.5481 	 FL_acc 84.8558 	 Test images 10000
Round 102 	 FL_loss 0.5463 	 FL_acc 84.9059 	 Test images 10000
Round 103 	 FL_loss 0.5447 	 FL_acc 84.9259 	 Test images 10000
Round 104 	 FL_loss 0.5431 	 FL_acc 85.0861 	 Test images 10000
Round 105 	 FL_loss 0.5416 	 FL_acc 85.1763 	 Test images 10000
Round 106 	 FL_loss 0.5401 	 FL_acc 85.2464 	 Test images 10000
Round 107 	 FL_loss 0.5385 	 FL_acc 85.1963 	 Test images 10000
Round 108 	 FL_loss 0.5370 	 FL_acc 85.1963 	 Test images 10000
Round 109 	 FL_loss 0.5356 	 FL_acc 85.2264 	 Test images 10000
Round 110 	 FL_loss 0.5341 	 FL_acc 85.2764 	 Test images 10000
Round 111 	 FL_loss 0.5327 	 FL_acc 85.3466 	 Test images 10000
Round 112 	 FL_loss 0.5315 	 FL_acc 85.3866 	 Test images 10000
Round 113 	 FL_loss 0.5302 	 FL_acc 85.3466 	 Test images 10000
Round 114 	 FL_loss 0.5289 	 FL_acc 85.4367 	 Test images 10000
Round 115 	 FL_loss 0.5274 	 FL_acc 85.5769 	 Test images 10000
