Namespace(seed=40, output_dir='./logs', demo=False, pretrained=False, train_lr=0.01, root='/home/lgd/Desktop/SNNFL/datasets', dataset='MNIST', num_workers=2, batch_size=64, num_sen=64, defense='cp', attack='gs', percent_num=70, layer_num=6, noise_name='Gaussian', loc=0.0, scale=0.01, per_adv=1, dcs_iter=1000, dcs_lr=0.1, lambda_xsim=0.01, lambda_zsim=0.01, epsilon=0.01, early_stop=True, xsim_thr=150.0, lambda_y=0.7, project=True, startpoint='none', mixup=True, precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', method='non-iid', TotalDevNum=10, DevNum=1, n_data=200, Pro_dev=5, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
<class 'torchvision.datasets.mnist.MNIST'>
Device  1 	 Train loss 1.0595 	 LR 0.0099 	 Train images 400 	 Round   1
Device  1 	 Train loss 1.2624 	 LR 0.0098 	 Train images 400 	 Round   2
Device  1 	 Train loss 1.5706 	 LR 0.0097 	 Train images 400 	 Round   3
Device  1 	 Train loss 0.6367 	 LR 0.0096 	 Train images 400 	 Round   4
Device  1 	 Train loss 0.4140 	 LR 0.0095 	 Train images 400 	 Round   5
Device  1 	 Train loss 0.4375 	 LR 0.0094 	 Train images 400 	 Round   6
Device  1 	 Train loss 0.5518 	 LR 0.0093 	 Train images 400 	 Round   7
Device  1 	 Train loss 0.3954 	 LR 0.0092 	 Train images 400 	 Round   8
Device  1 	 Train loss 0.3438 	 LR 0.0091 	 Train images 400 	 Round   9
Device  1 	 Train loss 0.3475 	 LR 0.0090 	 Train images 400 	 Round  10
Device  1 	 Train loss 0.3266 	 LR 0.0090 	 Train images 400 	 Round  11
Device  1 	 Train loss 0.2922 	 LR 0.0089 	 Train images 400 	 Round  12
Device  1 	 Train loss 0.2935 	 LR 0.0088 	 Train images 400 	 Round  13
Device  1 	 Train loss 0.2818 	 LR 0.0087 	 Train images 400 	 Round  14
Device  1 	 Train loss 0.2666 	 LR 0.0086 	 Train images 400 	 Round  15
Device  1 	 Train loss 0.2662 	 LR 0.0085 	 Train images 400 	 Round  16
Device  1 	 Train loss 0.2452 	 LR 0.0084 	 Train images 400 	 Round  17
Device  1 	 Train loss 0.2456 	 LR 0.0083 	 Train images 400 	 Round  18
Device  1 	 Train loss 0.2284 	 LR 0.0083 	 Train images 400 	 Round  19
Device  1 	 Train loss 0.2502 	 LR 0.0082 	 Train images 400 	 Round  20
Device  1 	 Train loss 0.2389 	 LR 0.0081 	 Train images 400 	 Round  21
Device  1 	 Train loss 0.2252 	 LR 0.0080 	 Train images 400 	 Round  22
Device  1 	 Train loss 0.2172 	 LR 0.0079 	 Train images 400 	 Round  23
Device  1 	 Train loss 0.2205 	 LR 0.0079 	 Train images 400 	 Round  24
Device  1 	 Train loss 0.2173 	 LR 0.0078 	 Train images 400 	 Round  25
Device  1 	 Train loss 0.2205 	 LR 0.0077 	 Train images 400 	 Round  26
Device  1 	 Train loss 0.2065 	 LR 0.0076 	 Train images 400 	 Round  27
Device  1 	 Train loss 0.2008 	 LR 0.0075 	 Train images 400 	 Round  28
Device  1 	 Train loss 0.2006 	 LR 0.0075 	 Train images 400 	 Round  29
Device  1 	 Train loss 0.2080 	 LR 0.0074 	 Train images 400 	 Round  30
Device  1 	 Train loss 0.2081 	 LR 0.0073 	 Train images 400 	 Round  31
Device  1 	 Train loss 0.1935 	 LR 0.0072 	 Train images 400 	 Round  32
Device  1 	 Train loss 0.1990 	 LR 0.0072 	 Train images 400 	 Round  33
Device  1 	 Train loss 0.1807 	 LR 0.0071 	 Train images 400 	 Round  34
Device  1 	 Train loss 0.1905 	 LR 0.0070 	 Train images 400 	 Round  35
Device  1 	 Train loss 0.1712 	 LR 0.0070 	 Train images 400 	 Round  36
Device  1 	 Train loss 0.1843 	 LR 0.0069 	 Train images 400 	 Round  37
Device  1 	 Train loss 0.1992 	 LR 0.0068 	 Train images 400 	 Round  38
Device  1 	 Train loss 0.1873 	 LR 0.0068 	 Train images 400 	 Round  39
Device  1 	 Train loss 0.1831 	 LR 0.0067 	 Train images 400 	 Round  40
Device  1 	 Train loss 0.1860 	 LR 0.0066 	 Train images 400 	 Round  41
Device  1 	 Train loss 0.1727 	 LR 0.0066 	 Train images 400 	 Round  42
Device  1 	 Train loss 0.1791 	 LR 0.0065 	 Train images 400 	 Round  43
Device  1 	 Train loss 0.1807 	 LR 0.0064 	 Train images 400 	 Round  44
Device  1 	 Train loss 0.1800 	 LR 0.0064 	 Train images 400 	 Round  45
Device  1 	 Train loss 0.1557 	 LR 0.0063 	 Train images 400 	 Round  46
Device  1 	 Train loss 0.1806 	 LR 0.0062 	 Train images 400 	 Round  47
Device  1 	 Train loss 0.1854 	 LR 0.0062 	 Train images 400 	 Round  48
Device  1 	 Train loss 0.1702 	 LR 0.0061 	 Train images 400 	 Round  49
Device  1 	 Train loss 0.1682 	 LR 0.0061 	 Train images 400 	 Round  50
Device  1 	 Train loss 0.1784 	 LR 0.0060 	 Train images 400 	 Round  51
Device  1 	 Train loss 0.1750 	 LR 0.0059 	 Train images 400 	 Round  52
Device  1 	 Train loss 0.1599 	 LR 0.0059 	 Train images 400 	 Round  53
Device  1 	 Train loss 0.1816 	 LR 0.0058 	 Train images 400 	 Round  54
Device  1 	 Train loss 0.1693 	 LR 0.0058 	 Train images 400 	 Round  55
Device  1 	 Train loss 0.1710 	 LR 0.0057 	 Train images 400 	 Round  56
Device  1 	 Train loss 0.1669 	 LR 0.0056 	 Train images 400 	 Round  57
Device  1 	 Train loss 0.1703 	 LR 0.0056 	 Train images 400 	 Round  58
Device  1 	 Train loss 0.1484 	 LR 0.0055 	 Train images 400 	 Round  59
Device  1 	 Train loss 0.1578 	 LR 0.0055 	 Train images 400 	 Round  60
Device  1 	 Train loss 0.1648 	 LR 0.0054 	 Train images 400 	 Round  61
Device  1 	 Train loss 0.1738 	 LR 0.0054 	 Train images 400 	 Round  62
Device  1 	 Train loss 0.1669 	 LR 0.0053 	 Train images 400 	 Round  63
Device  1 	 Train loss 0.1777 	 LR 0.0053 	 Train images 400 	 Round  64
Device  1 	 Train loss 0.1710 	 LR 0.0052 	 Train images 400 	 Round  65
Device  1 	 Train loss 0.1720 	 LR 0.0052 	 Train images 400 	 Round  66
Device  1 	 Train loss 0.1614 	 LR 0.0051 	 Train images 400 	 Round  67
Device  1 	 Train loss 0.1553 	 LR 0.0050 	 Train images 400 	 Round  68
Device  1 	 Train loss 0.1701 	 LR 0.0050 	 Train images 400 	 Round  69
Device  1 	 Train loss 0.1702 	 LR 0.0049 	 Train images 400 	 Round  70
Device  1 	 Train loss 0.1603 	 LR 0.0049 	 Train images 400 	 Round  71
Device  1 	 Train loss 0.1693 	 LR 0.0048 	 Train images 400 	 Round  72
Device  1 	 Train loss 0.1644 	 LR 0.0048 	 Train images 400 	 Round  73
Device  1 	 Train loss 0.1588 	 LR 0.0048 	 Train images 400 	 Round  74
Device  1 	 Train loss 0.1623 	 LR 0.0047 	 Train images 400 	 Round  75
Device  1 	 Train loss 0.1703 	 LR 0.0047 	 Train images 400 	 Round  76
Device  1 	 Train loss 0.1622 	 LR 0.0046 	 Train images 400 	 Round  77
Device  1 	 Train loss 0.1550 	 LR 0.0046 	 Train images 400 	 Round  78
Device  1 	 Train loss 0.1567 	 LR 0.0045 	 Train images 400 	 Round  79
Device  1 	 Train loss 0.1621 	 LR 0.0045 	 Train images 400 	 Round  80
Device  1 	 Train loss 0.1605 	 LR 0.0044 	 Train images 400 	 Round  81
Device  1 	 Train loss 0.1612 	 LR 0.0044 	 Train images 400 	 Round  82
Device  1 	 Train loss 0.1648 	 LR 0.0043 	 Train images 400 	 Round  83
Device  1 	 Train loss 0.1669 	 LR 0.0043 	 Train images 400 	 Round  84
Device  1 	 Train loss 0.1514 	 LR 0.0043 	 Train images 400 	 Round  85
Device  1 	 Train loss 0.1599 	 LR 0.0042 	 Train images 400 	 Round  86
Device  1 	 Train loss 0.1702 	 LR 0.0042 	 Train images 400 	 Round  87
Device  1 	 Train loss 0.1542 	 LR 0.0041 	 Train images 400 	 Round  88
Device  1 	 Train loss 0.1610 	 LR 0.0041 	 Train images 400 	 Round  89
Device  1 	 Train loss 0.1499 	 LR 0.0040 	 Train images 400 	 Round  90
Device  1 	 Train loss 0.1518 	 LR 0.0040 	 Train images 400 	 Round  91
Device  1 	 Train loss 0.1436 	 LR 0.0040 	 Train images 400 	 Round  92
Device  1 	 Train loss 0.1572 	 LR 0.0039 	 Train images 400 	 Round  93
Device  1 	 Train loss 0.1626 	 LR 0.0039 	 Train images 400 	 Round  94
Device  1 	 Train loss 0.1591 	 LR 0.0038 	 Train images 400 	 Round  95
Device  1 	 Train loss 0.1539 	 LR 0.0038 	 Train images 400 	 Round  96
Device  1 	 Train loss 0.1609 	 LR 0.0038 	 Train images 400 	 Round  97
Device  1 	 Train loss 0.1693 	 LR 0.0037 	 Train images 400 	 Round  98
Device  1 	 Train loss 0.1452 	 LR 0.0037 	 Train images 400 	 Round  99
Device  1 	 Train loss 0.1453 	 LR 0.0037 	 Train images 400 	 Round 100
Device  1 	 Train loss 0.1515 	 LR 0.0036 	 Train images 400 	 Round 101
Device  1 	 Train loss 0.1523 	 LR 0.0036 	 Train images 400 	 Round 102
Device  1 	 Train loss 0.1627 	 LR 0.0036 	 Train images 400 	 Round 103
Device  1 	 Train loss 0.1595 	 LR 0.0035 	 Train images 400 	 Round 104
Device  1 	 Train loss 0.1606 	 LR 0.0035 	 Train images 400 	 Round 105
Device  1 	 Train loss 0.1627 	 LR 0.0034 	 Train images 400 	 Round 106
Device  1 	 Train loss 0.1495 	 LR 0.0034 	 Train images 400 	 Round 107
Device  1 	 Train loss 0.1539 	 LR 0.0034 	 Train images 400 	 Round 108
Device  1 	 Train loss 0.1618 	 LR 0.0033 	 Train images 400 	 Round 109
Device  1 	 Train loss 0.1577 	 LR 0.0033 	 Train images 400 	 Round 110
Device  1 	 Train loss 0.1578 	 LR 0.0033 	 Train images 400 	 Round 111
Device  1 	 Train loss 0.1569 	 LR 0.0032 	 Train images 400 	 Round 112
Device  1 	 Train loss 0.1579 	 LR 0.0032 	 Train images 400 	 Round 113
Device  1 	 Train loss 0.1544 	 LR 0.0032 	 Train images 400 	 Round 114
Device  1 	 Train loss 0.1629 	 LR 0.0031 	 Train images 400 	 Round 115
Device  1 	 Train loss 0.1600 	 LR 0.0031 	 Train images 400 	 Round 116
Device  1 	 Train loss 0.1644 	 LR 0.0031 	 Train images 400 	 Round 117
Device  1 	 Train loss 0.1555 	 LR 0.0031 	 Train images 400 	 Round 118
Device  1 	 Train loss 0.1524 	 LR 0.0030 	 Train images 400 	 Round 119
Device  1 	 Train loss 0.1575 	 LR 0.0030 	 Train images 400 	 Round 120
Device  1 	 Train loss 0.1569 	 LR 0.0030 	 Train images 400 	 Round 121
Device  1 	 Train loss 0.1620 	 LR 0.0029 	 Train images 400 	 Round 122
Device  1 	 Train loss 0.1612 	 LR 0.0029 	 Train images 400 	 Round 123
Device  1 	 Train loss 0.1644 	 LR 0.0029 	 Train images 400 	 Round 124
Device  1 	 Train loss 0.1655 	 LR 0.0028 	 Train images 400 	 Round 125
Device  1 	 Train loss 0.1531 	 LR 0.0028 	 Train images 400 	 Round 126
Device  1 	 Train loss 0.1614 	 LR 0.0028 	 Train images 400 	 Round 127
Device  1 	 Train loss 0.1593 	 LR 0.0028 	 Train images 400 	 Round 128
Device  1 	 Train loss 0.1639 	 LR 0.0027 	 Train images 400 	 Round 129
Device  1 	 Train loss 0.1635 	 LR 0.0027 	 Train images 400 	 Round 130
Device  1 	 Train loss 0.1570 	 LR 0.0027 	 Train images 400 	 Round 131
Device  1 	 Train loss 0.1615 	 LR 0.0027 	 Train images 400 	 Round 132
Device  1 	 Train loss 0.1644 	 LR 0.0026 	 Train images 400 	 Round 133
Device  1 	 Train loss 0.1588 	 LR 0.0026 	 Train images 400 	 Round 134
Device  1 	 Train loss 0.1644 	 LR 0.0026 	 Train images 400 	 Round 135
Device  1 	 Train loss 0.1616 	 LR 0.0025 	 Train images 400 	 Round 136
Device  1 	 Train loss 0.1505 	 LR 0.0025 	 Train images 400 	 Round 137
Device  1 	 Train loss 0.1576 	 LR 0.0025 	 Train images 400 	 Round 138
Device  1 	 Train loss 0.1524 	 LR 0.0025 	 Train images 400 	 Round 139
Device  1 	 Train loss 0.1647 	 LR 0.0024 	 Train images 400 	 Round 140
Device  1 	 Train loss 0.1596 	 LR 0.0024 	 Train images 400 	 Round 141
