Namespace(seed=40, output_dir='./logs', demo=False, pretrained=False, train_lr=0.01, root='/home/lgd/Desktop/SNNFL/datasets', dataset='MNIST', num_workers=2, batch_size=64, num_sen=64, defense='cp', attack='gs', percent_num=70, layer_num=6, noise_name='Gaussian', loc=0.0, scale=0.01, per_adv=1, dcs_iter=1000, dcs_lr=0.1, lambda_xsim=0.01, lambda_zsim=0.01, epsilon=0.01, early_stop=True, xsim_thr=150.0, lambda_y=0.7, project=True, startpoint='none', mixup=True, precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', method='non-iid', TotalDevNum=10, DevNum=9, n_data=200, Pro_dev=5, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
<class 'torchvision.datasets.mnist.MNIST'>
Device  9 	 Train loss 0.2572 	 LR 0.0062 	 Train images 400 	 Round  47
Device  9 	 Train loss 0.2099 	 LR 0.0062 	 Train images 400 	 Round  48
Device  9 	 Train loss 0.2275 	 LR 0.0061 	 Train images 400 	 Round  49
Device  9 	 Train loss 0.2266 	 LR 0.0061 	 Train images 400 	 Round  50
Device  9 	 Train loss 0.2098 	 LR 0.0060 	 Train images 400 	 Round  51
Device  9 	 Train loss 0.2306 	 LR 0.0059 	 Train images 400 	 Round  52
Device  9 	 Train loss 0.2129 	 LR 0.0059 	 Train images 400 	 Round  53
Device  9 	 Train loss 0.2198 	 LR 0.0058 	 Train images 400 	 Round  54
Device  9 	 Train loss 0.2310 	 LR 0.0058 	 Train images 400 	 Round  55
Device  9 	 Train loss 0.2039 	 LR 0.0057 	 Train images 400 	 Round  56
Device  9 	 Train loss 0.2042 	 LR 0.0056 	 Train images 400 	 Round  57
Device  9 	 Train loss 0.1942 	 LR 0.0056 	 Train images 400 	 Round  58
Device  9 	 Train loss 0.1989 	 LR 0.0055 	 Train images 400 	 Round  59
Device  9 	 Train loss 0.2157 	 LR 0.0055 	 Train images 400 	 Round  60
Device  9 	 Train loss 0.2204 	 LR 0.0054 	 Train images 400 	 Round  61
Device  9 	 Train loss 0.2157 	 LR 0.0054 	 Train images 400 	 Round  62
Device  9 	 Train loss 0.2040 	 LR 0.0053 	 Train images 400 	 Round  63
Device  9 	 Train loss 0.2155 	 LR 0.0053 	 Train images 400 	 Round  64
Device  9 	 Train loss 0.2111 	 LR 0.0052 	 Train images 400 	 Round  65
Device  9 	 Train loss 0.2042 	 LR 0.0052 	 Train images 400 	 Round  66
Device  9 	 Train loss 0.2053 	 LR 0.0051 	 Train images 400 	 Round  67
Device  9 	 Train loss 0.2207 	 LR 0.0050 	 Train images 400 	 Round  68
Device  9 	 Train loss 0.1727 	 LR 0.0050 	 Train images 400 	 Round  69
Device  9 	 Train loss 0.2121 	 LR 0.0049 	 Train images 400 	 Round  70
Device  9 	 Train loss 0.1968 	 LR 0.0049 	 Train images 400 	 Round  71
Device  9 	 Train loss 0.2142 	 LR 0.0048 	 Train images 400 	 Round  72
Device  9 	 Train loss 0.1936 	 LR 0.0048 	 Train images 400 	 Round  73
Device  9 	 Train loss 0.1957 	 LR 0.0048 	 Train images 400 	 Round  74
Device  9 	 Train loss 0.1862 	 LR 0.0047 	 Train images 400 	 Round  75
Device  9 	 Train loss 0.2224 	 LR 0.0047 	 Train images 400 	 Round  76
Device  9 	 Train loss 0.2096 	 LR 0.0046 	 Train images 400 	 Round  77
Device  9 	 Train loss 0.1933 	 LR 0.0046 	 Train images 400 	 Round  78
Device  9 	 Train loss 0.1928 	 LR 0.0045 	 Train images 400 	 Round  79
Device  9 	 Train loss 0.2063 	 LR 0.0045 	 Train images 400 	 Round  80
Device  9 	 Train loss 0.1959 	 LR 0.0044 	 Train images 400 	 Round  81
Device  9 	 Train loss 0.1793 	 LR 0.0044 	 Train images 400 	 Round  82
Device  9 	 Train loss 0.2181 	 LR 0.0043 	 Train images 400 	 Round  83
Device  9 	 Train loss 0.2069 	 LR 0.0043 	 Train images 400 	 Round  84
Device  9 	 Train loss 0.2006 	 LR 0.0043 	 Train images 400 	 Round  85
Device  9 	 Train loss 0.1947 	 LR 0.0042 	 Train images 400 	 Round  86
Device  9 	 Train loss 0.1952 	 LR 0.0042 	 Train images 400 	 Round  87
Device  9 	 Train loss 0.2029 	 LR 0.0041 	 Train images 400 	 Round  88
Device  9 	 Train loss 0.2037 	 LR 0.0041 	 Train images 400 	 Round  89
Device  9 	 Train loss 0.1891 	 LR 0.0040 	 Train images 400 	 Round  90
Device  9 	 Train loss 0.1837 	 LR 0.0040 	 Train images 400 	 Round  91
Device  9 	 Train loss 0.2031 	 LR 0.0040 	 Train images 400 	 Round  92
Device  9 	 Train loss 0.1928 	 LR 0.0039 	 Train images 400 	 Round  93
Device  9 	 Train loss 0.1955 	 LR 0.0039 	 Train images 400 	 Round  94
Device  9 	 Train loss 0.1953 	 LR 0.0038 	 Train images 400 	 Round  95
Device  9 	 Train loss 0.1960 	 LR 0.0038 	 Train images 400 	 Round  96
Device  9 	 Train loss 0.1918 	 LR 0.0038 	 Train images 400 	 Round  97
Device  9 	 Train loss 0.2036 	 LR 0.0037 	 Train images 400 	 Round  98
Device  9 	 Train loss 0.2022 	 LR 0.0037 	 Train images 400 	 Round  99
Device  9 	 Train loss 0.1871 	 LR 0.0037 	 Train images 400 	 Round 100
Device  9 	 Train loss 0.2023 	 LR 0.0036 	 Train images 400 	 Round 101
Device  9 	 Train loss 0.2097 	 LR 0.0036 	 Train images 400 	 Round 102
Device  9 	 Train loss 0.1811 	 LR 0.0036 	 Train images 400 	 Round 103
Device  9 	 Train loss 0.2062 	 LR 0.0035 	 Train images 400 	 Round 104
Device  9 	 Train loss 0.2028 	 LR 0.0035 	 Train images 400 	 Round 105
Device  9 	 Train loss 0.2169 	 LR 0.0034 	 Train images 400 	 Round 106
Device  9 	 Train loss 0.1995 	 LR 0.0034 	 Train images 400 	 Round 107
Device  9 	 Train loss 0.2057 	 LR 0.0034 	 Train images 400 	 Round 108
Device  9 	 Train loss 0.1882 	 LR 0.0033 	 Train images 400 	 Round 109
Device  9 	 Train loss 0.2009 	 LR 0.0033 	 Train images 400 	 Round 110
Device  9 	 Train loss 0.1967 	 LR 0.0033 	 Train images 400 	 Round 111
Device  9 	 Train loss 0.1938 	 LR 0.0032 	 Train images 400 	 Round 112
Device  9 	 Train loss 0.1989 	 LR 0.0032 	 Train images 400 	 Round 113
Device  9 	 Train loss 0.1778 	 LR 0.0032 	 Train images 400 	 Round 114
Device  9 	 Train loss 0.2067 	 LR 0.0031 	 Train images 400 	 Round 115
Device  9 	 Train loss 0.1963 	 LR 0.0031 	 Train images 400 	 Round 116
Device  9 	 Train loss 0.1884 	 LR 0.0031 	 Train images 400 	 Round 117
Device  9 	 Train loss 0.1872 	 LR 0.0031 	 Train images 400 	 Round 118
Device  9 	 Train loss 0.1907 	 LR 0.0030 	 Train images 400 	 Round 119
Device  9 	 Train loss 0.1929 	 LR 0.0030 	 Train images 400 	 Round 120
Device  9 	 Train loss 0.2075 	 LR 0.0030 	 Train images 400 	 Round 121
Device  9 	 Train loss 0.1944 	 LR 0.0029 	 Train images 400 	 Round 122
Device  9 	 Train loss 0.2047 	 LR 0.0029 	 Train images 400 	 Round 123
Device  9 	 Train loss 0.1987 	 LR 0.0029 	 Train images 400 	 Round 124
Device  9 	 Train loss 0.1935 	 LR 0.0028 	 Train images 400 	 Round 125
Device  9 	 Train loss 0.1919 	 LR 0.0028 	 Train images 400 	 Round 126
Device  9 	 Train loss 0.1917 	 LR 0.0028 	 Train images 400 	 Round 127
Device  9 	 Train loss 0.1941 	 LR 0.0028 	 Train images 400 	 Round 128
Device  9 	 Train loss 0.1951 	 LR 0.0027 	 Train images 400 	 Round 129
Device  9 	 Train loss 0.1889 	 LR 0.0027 	 Train images 400 	 Round 130
Device  9 	 Train loss 0.2015 	 LR 0.0027 	 Train images 400 	 Round 131
Device  9 	 Train loss 0.1950 	 LR 0.0027 	 Train images 400 	 Round 132
Device  9 	 Train loss 0.1964 	 LR 0.0026 	 Train images 400 	 Round 133
Device  9 	 Train loss 0.1994 	 LR 0.0026 	 Train images 400 	 Round 134
Device  9 	 Train loss 0.1964 	 LR 0.0026 	 Train images 400 	 Round 135
