Namespace(seed=40, output_dir='./logs', demo=False, pretrained=False, train_lr=0.01, root='/home/lgd/Desktop/SNNFL/datasets', dataset='MNIST', num_workers=2, batch_size=64, num_sen=64, defense='dp', attack='gs', percent_num=70, layer_num=6, noise_name='Gaussian', loc=0.0, scale=0.01, per_adv=1, dcs_iter=1000, dcs_lr=0.1, lambda_xsim=0.01, lambda_zsim=0.01, epsilon=0.01, early_stop=True, xsim_thr=150.0, lambda_y=0.7, project=True, startpoint='none', mixup=True, precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', method='non-iid', TotalDevNum=10, DevNum=4, n_data=200, Pro_dev=5, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
<class 'torchvision.datasets.mnist.MNIST'>
Device  4 	 Train loss 2.3186 	 LR 0.0099 	 Train images 400 	 Round   1
Device  4 	 Train loss 1.2740 	 LR 0.0098 	 Train images 400 	 Round   2
Device  4 	 Train loss 0.9399 	 LR 0.0097 	 Train images 400 	 Round   3
Device  4 	 Train loss 0.7680 	 LR 0.0096 	 Train images 400 	 Round   4
Device  4 	 Train loss 0.7892 	 LR 0.0095 	 Train images 400 	 Round   5
Device  4 	 Train loss 0.7835 	 LR 0.0094 	 Train images 400 	 Round   6
Device  4 	 Train loss 0.7963 	 LR 0.0093 	 Train images 400 	 Round   7
Device  4 	 Train loss 0.6748 	 LR 0.0092 	 Train images 400 	 Round   8
Device  4 	 Train loss 0.6211 	 LR 0.0091 	 Train images 400 	 Round   9
Device  4 	 Train loss 0.6219 	 LR 0.0090 	 Train images 400 	 Round  10
Device  4 	 Train loss 0.6362 	 LR 0.0090 	 Train images 400 	 Round  11
Device  4 	 Train loss 0.5914 	 LR 0.0089 	 Train images 400 	 Round  12
Device  4 	 Train loss 0.5693 	 LR 0.0088 	 Train images 400 	 Round  13
Device  4 	 Train loss 0.5472 	 LR 0.0087 	 Train images 400 	 Round  14
Device  4 	 Train loss 0.5071 	 LR 0.0086 	 Train images 400 	 Round  15
Device  4 	 Train loss 0.5303 	 LR 0.0085 	 Train images 400 	 Round  16
Device  4 	 Train loss 0.4929 	 LR 0.0084 	 Train images 400 	 Round  17
Device  4 	 Train loss 0.5300 	 LR 0.0083 	 Train images 400 	 Round  18
Device  4 	 Train loss 0.5083 	 LR 0.0083 	 Train images 400 	 Round  19
Device  4 	 Train loss 0.4655 	 LR 0.0082 	 Train images 400 	 Round  20
Device  4 	 Train loss 0.4450 	 LR 0.0081 	 Train images 400 	 Round  21
Device  4 	 Train loss 0.4538 	 LR 0.0080 	 Train images 400 	 Round  22
Device  4 	 Train loss 0.4314 	 LR 0.0079 	 Train images 400 	 Round  23
Device  4 	 Train loss 0.4555 	 LR 0.0079 	 Train images 400 	 Round  24
Device  4 	 Train loss 0.4086 	 LR 0.0078 	 Train images 400 	 Round  25
Device  4 	 Train loss 0.3918 	 LR 0.0077 	 Train images 400 	 Round  26
Device  4 	 Train loss 0.4526 	 LR 0.0076 	 Train images 400 	 Round  27
Device  4 	 Train loss 0.4016 	 LR 0.0075 	 Train images 400 	 Round  28
Device  4 	 Train loss 0.4254 	 LR 0.0075 	 Train images 400 	 Round  29
Device  4 	 Train loss 0.4335 	 LR 0.0074 	 Train images 400 	 Round  30
Device  4 	 Train loss 0.3970 	 LR 0.0073 	 Train images 400 	 Round  31
Device  4 	 Train loss 0.3957 	 LR 0.0072 	 Train images 400 	 Round  32
Device  4 	 Train loss 0.3957 	 LR 0.0072 	 Train images 400 	 Round  33
Device  4 	 Train loss 0.3838 	 LR 0.0071 	 Train images 400 	 Round  34
Device  4 	 Train loss 0.3832 	 LR 0.0070 	 Train images 400 	 Round  35
Device  4 	 Train loss 0.3780 	 LR 0.0070 	 Train images 400 	 Round  36
Device  4 	 Train loss 0.3779 	 LR 0.0069 	 Train images 400 	 Round  37
Device  4 	 Train loss 0.3587 	 LR 0.0068 	 Train images 400 	 Round  38
Device  4 	 Train loss 0.3763 	 LR 0.0068 	 Train images 400 	 Round  39
Device  4 	 Train loss 0.3406 	 LR 0.0067 	 Train images 400 	 Round  40
Device  4 	 Train loss 0.3750 	 LR 0.0066 	 Train images 400 	 Round  41
Device  4 	 Train loss 0.3602 	 LR 0.0066 	 Train images 400 	 Round  42
Device  4 	 Train loss 0.3444 	 LR 0.0065 	 Train images 400 	 Round  43
Device  4 	 Train loss 0.3575 	 LR 0.0064 	 Train images 400 	 Round  44
Device  4 	 Train loss 0.3541 	 LR 0.0064 	 Train images 400 	 Round  45
Device  4 	 Train loss 0.3468 	 LR 0.0063 	 Train images 400 	 Round  46
Device  4 	 Train loss 0.3548 	 LR 0.0062 	 Train images 400 	 Round  47
Device  4 	 Train loss 0.3401 	 LR 0.0062 	 Train images 400 	 Round  48
Device  4 	 Train loss 0.3749 	 LR 0.0061 	 Train images 400 	 Round  49
Device  4 	 Train loss 0.3367 	 LR 0.0061 	 Train images 400 	 Round  50
Device  4 	 Train loss 0.3393 	 LR 0.0060 	 Train images 400 	 Round  51
Device  4 	 Train loss 0.3513 	 LR 0.0059 	 Train images 400 	 Round  52
Device  4 	 Train loss 0.3344 	 LR 0.0059 	 Train images 400 	 Round  53
Device  4 	 Train loss 0.3686 	 LR 0.0058 	 Train images 400 	 Round  54
Device  4 	 Train loss 0.3499 	 LR 0.0058 	 Train images 400 	 Round  55
Device  4 	 Train loss 0.3274 	 LR 0.0057 	 Train images 400 	 Round  56
Device  4 	 Train loss 0.3409 	 LR 0.0056 	 Train images 400 	 Round  57
Device  4 	 Train loss 0.3397 	 LR 0.0056 	 Train images 400 	 Round  58
Device  4 	 Train loss 0.3295 	 LR 0.0055 	 Train images 400 	 Round  59
Device  4 	 Train loss 0.3488 	 LR 0.0055 	 Train images 400 	 Round  60
Device  4 	 Train loss 0.3347 	 LR 0.0054 	 Train images 400 	 Round  61
Device  4 	 Train loss 0.3280 	 LR 0.0054 	 Train images 400 	 Round  62
Device  4 	 Train loss 0.3439 	 LR 0.0053 	 Train images 400 	 Round  63
Device  4 	 Train loss 0.3216 	 LR 0.0053 	 Train images 400 	 Round  64
Device  4 	 Train loss 0.3347 	 LR 0.0052 	 Train images 400 	 Round  65
Device  4 	 Train loss 0.3092 	 LR 0.0052 	 Train images 400 	 Round  66
Device  4 	 Train loss 0.2969 	 LR 0.0051 	 Train images 400 	 Round  67
Device  4 	 Train loss 0.3240 	 LR 0.0050 	 Train images 400 	 Round  68
Device  4 	 Train loss 0.3067 	 LR 0.0050 	 Train images 400 	 Round  69
Device  4 	 Train loss 0.3129 	 LR 0.0049 	 Train images 400 	 Round  70
Device  4 	 Train loss 0.3246 	 LR 0.0049 	 Train images 400 	 Round  71
Device  4 	 Train loss 0.3059 	 LR 0.0048 	 Train images 400 	 Round  72
Device  4 	 Train loss 0.3164 	 LR 0.0048 	 Train images 400 	 Round  73
Device  4 	 Train loss 0.3254 	 LR 0.0048 	 Train images 400 	 Round  74
Device  4 	 Train loss 0.3050 	 LR 0.0047 	 Train images 400 	 Round  75
Device  4 	 Train loss 0.3012 	 LR 0.0047 	 Train images 400 	 Round  76
Device  4 	 Train loss 0.3190 	 LR 0.0046 	 Train images 400 	 Round  77
Device  4 	 Train loss 0.3110 	 LR 0.0046 	 Train images 400 	 Round  78
Device  4 	 Train loss 0.2943 	 LR 0.0045 	 Train images 400 	 Round  79
Device  4 	 Train loss 0.2975 	 LR 0.0045 	 Train images 400 	 Round  80
Device  4 	 Train loss 0.3041 	 LR 0.0044 	 Train images 400 	 Round  81
Device  4 	 Train loss 0.3027 	 LR 0.0044 	 Train images 400 	 Round  82
Device  4 	 Train loss 0.3152 	 LR 0.0043 	 Train images 400 	 Round  83
Device  4 	 Train loss 0.3088 	 LR 0.0043 	 Train images 400 	 Round  84
Device  4 	 Train loss 0.2952 	 LR 0.0043 	 Train images 400 	 Round  85
Device  4 	 Train loss 0.3032 	 LR 0.0042 	 Train images 400 	 Round  86
Device  4 	 Train loss 0.3176 	 LR 0.0042 	 Train images 400 	 Round  87
Device  4 	 Train loss 0.3044 	 LR 0.0041 	 Train images 400 	 Round  88
Device  4 	 Train loss 0.3135 	 LR 0.0041 	 Train images 400 	 Round  89
Device  4 	 Train loss 0.3094 	 LR 0.0040 	 Train images 400 	 Round  90
Device  4 	 Train loss 0.3025 	 LR 0.0040 	 Train images 400 	 Round  91
Device  4 	 Train loss 0.2956 	 LR 0.0040 	 Train images 400 	 Round  92
Device  4 	 Train loss 0.3053 	 LR 0.0039 	 Train images 400 	 Round  93
Device  4 	 Train loss 0.3169 	 LR 0.0039 	 Train images 400 	 Round  94
Device  4 	 Train loss 0.3131 	 LR 0.0038 	 Train images 400 	 Round  95
Device  4 	 Train loss 0.3132 	 LR 0.0038 	 Train images 400 	 Round  96
Device  4 	 Train loss 0.3153 	 LR 0.0038 	 Train images 400 	 Round  97
Device  4 	 Train loss 0.3237 	 LR 0.0037 	 Train images 400 	 Round  98
Device  4 	 Train loss 0.3049 	 LR 0.0037 	 Train images 400 	 Round  99
Device  4 	 Train loss 0.2919 	 LR 0.0037 	 Train images 400 	 Round 100
Device  4 	 Train loss 0.3140 	 LR 0.0036 	 Train images 400 	 Round 101
Device  4 	 Train loss 0.2963 	 LR 0.0036 	 Train images 400 	 Round 102
Device  4 	 Train loss 0.3002 	 LR 0.0036 	 Train images 400 	 Round 103
Device  4 	 Train loss 0.2912 	 LR 0.0035 	 Train images 400 	 Round 104
Device  4 	 Train loss 0.2971 	 LR 0.0035 	 Train images 400 	 Round 105
Device  4 	 Train loss 0.2843 	 LR 0.0034 	 Train images 400 	 Round 106
Device  4 	 Train loss 0.3140 	 LR 0.0034 	 Train images 400 	 Round 107
Device  4 	 Train loss 0.2924 	 LR 0.0034 	 Train images 400 	 Round 108
Device  4 	 Train loss 0.2900 	 LR 0.0033 	 Train images 400 	 Round 109
Device  4 	 Train loss 0.2919 	 LR 0.0033 	 Train images 400 	 Round 110
Device  4 	 Train loss 0.3032 	 LR 0.0033 	 Train images 400 	 Round 111
Device  4 	 Train loss 0.2980 	 LR 0.0032 	 Train images 400 	 Round 112
Device  4 	 Train loss 0.2850 	 LR 0.0032 	 Train images 400 	 Round 113
Device  4 	 Train loss 0.2844 	 LR 0.0032 	 Train images 400 	 Round 114
Device  4 	 Train loss 0.2996 	 LR 0.0031 	 Train images 400 	 Round 115
Device  4 	 Train loss 0.2741 	 LR 0.0031 	 Train images 400 	 Round 116
Device  4 	 Train loss 0.2950 	 LR 0.0031 	 Train images 400 	 Round 117
Device  4 	 Train loss 0.2927 	 LR 0.0031 	 Train images 400 	 Round 118
Device  4 	 Train loss 0.2910 	 LR 0.0030 	 Train images 400 	 Round 119
Device  4 	 Train loss 0.2892 	 LR 0.0030 	 Train images 400 	 Round 120
Device  4 	 Train loss 0.2911 	 LR 0.0030 	 Train images 400 	 Round 121
Device  4 	 Train loss 0.2871 	 LR 0.0029 	 Train images 400 	 Round 122
Device  4 	 Train loss 0.2845 	 LR 0.0029 	 Train images 400 	 Round 123
Device  4 	 Train loss 0.3214 	 LR 0.0029 	 Train images 400 	 Round 124
Device  4 	 Train loss 0.2873 	 LR 0.0028 	 Train images 400 	 Round 125
Device  4 	 Train loss 0.2741 	 LR 0.0028 	 Train images 400 	 Round 126
Device  4 	 Train loss 0.2782 	 LR 0.0028 	 Train images 400 	 Round 127
Device  4 	 Train loss 0.2968 	 LR 0.0028 	 Train images 400 	 Round 128
Device  4 	 Train loss 0.2844 	 LR 0.0027 	 Train images 400 	 Round 129
Device  4 	 Train loss 0.2909 	 LR 0.0027 	 Train images 400 	 Round 130
Device  4 	 Train loss 0.2769 	 LR 0.0027 	 Train images 400 	 Round 131
Device  4 	 Train loss 0.2818 	 LR 0.0027 	 Train images 400 	 Round 132
