Namespace(seed=42, output_dir='./logs', demo=False, pretrained=False, train_lr=0.01, root='/home/lgd/Desktop/SNNFL/datasets', dataset='MNIST', num_workers=2, batch_size=64, num_sen=64, defense='cp', attack='gs', percent_num=70, layer_num=6, noise_name='Gaussian', loc=0.0, scale=0.01, per_adv=1, dcs_iter=1000, dcs_lr=0.1, lambda_xsim=0.01, lambda_zsim=0.01, epsilon=0.01, early_stop=True, xsim_thr=150.0, lambda_y=0.7, project=True, startpoint='none', mixup=True, precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', method='iid', TotalDevNum=10, DevNum=10, n_data=200, Pro_dev=5, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
Device 10 	 Train loss 0.7033 	 LR 0.0051 	 Train images 200 	 Round  67
Device 10 	 Train loss 0.6944 	 LR 0.0050 	 Train images 200 	 Round  68
Device 10 	 Train loss 0.6885 	 LR 0.0050 	 Train images 200 	 Round  69
Device 10 	 Train loss 0.6797 	 LR 0.0049 	 Train images 200 	 Round  70
Device 10 	 Train loss 0.6638 	 LR 0.0049 	 Train images 200 	 Round  71
Device 10 	 Train loss 0.6360 	 LR 0.0048 	 Train images 200 	 Round  72
Device 10 	 Train loss 0.6616 	 LR 0.0048 	 Train images 200 	 Round  73
Device 10 	 Train loss 0.6713 	 LR 0.0048 	 Train images 200 	 Round  74
Device 10 	 Train loss 0.6523 	 LR 0.0047 	 Train images 200 	 Round  75
Device 10 	 Train loss 0.6362 	 LR 0.0047 	 Train images 200 	 Round  76
Device 10 	 Train loss 0.6387 	 LR 0.0046 	 Train images 200 	 Round  77
Device 10 	 Train loss 0.6491 	 LR 0.0046 	 Train images 200 	 Round  78
Device 10 	 Train loss 0.6422 	 LR 0.0045 	 Train images 200 	 Round  79
Device 10 	 Train loss 0.6308 	 LR 0.0045 	 Train images 200 	 Round  80
Device 10 	 Train loss 0.6410 	 LR 0.0044 	 Train images 200 	 Round  81
Device 10 	 Train loss 0.6186 	 LR 0.0044 	 Train images 200 	 Round  82
Device 10 	 Train loss 0.6130 	 LR 0.0043 	 Train images 200 	 Round  83
Device 10 	 Train loss 0.6259 	 LR 0.0043 	 Train images 200 	 Round  84
Device 10 	 Train loss 0.6052 	 LR 0.0043 	 Train images 200 	 Round  85
Device 10 	 Train loss 0.6142 	 LR 0.0042 	 Train images 200 	 Round  86
Device 10 	 Train loss 0.6075 	 LR 0.0042 	 Train images 200 	 Round  87
Device 10 	 Train loss 0.6088 	 LR 0.0041 	 Train images 200 	 Round  88
Device 10 	 Train loss 0.6105 	 LR 0.0041 	 Train images 200 	 Round  89
Device 10 	 Train loss 0.6033 	 LR 0.0040 	 Train images 200 	 Round  90
Device 10 	 Train loss 0.5865 	 LR 0.0040 	 Train images 200 	 Round  91
Device 10 	 Train loss 0.5857 	 LR 0.0040 	 Train images 200 	 Round  92
Device 10 	 Train loss 0.5996 	 LR 0.0039 	 Train images 200 	 Round  93
Device 10 	 Train loss 0.5980 	 LR 0.0039 	 Train images 200 	 Round  94
Device 10 	 Train loss 0.5692 	 LR 0.0038 	 Train images 200 	 Round  95
Device 10 	 Train loss 0.5997 	 LR 0.0038 	 Train images 200 	 Round  96
Device 10 	 Train loss 0.5865 	 LR 0.0038 	 Train images 200 	 Round  97
Device 10 	 Train loss 0.5837 	 LR 0.0037 	 Train images 200 	 Round  98
Device 10 	 Train loss 0.5665 	 LR 0.0037 	 Train images 200 	 Round  99
Device 10 	 Train loss 0.5778 	 LR 0.0037 	 Train images 200 	 Round 100
Device 10 	 Train loss 0.5673 	 LR 0.0036 	 Train images 200 	 Round 101
Device 10 	 Train loss 0.5765 	 LR 0.0036 	 Train images 200 	 Round 102
Device 10 	 Train loss 0.5746 	 LR 0.0036 	 Train images 200 	 Round 103
Device 10 	 Train loss 0.5822 	 LR 0.0035 	 Train images 200 	 Round 104
Device 10 	 Train loss 0.5852 	 LR 0.0035 	 Train images 200 	 Round 105
Device 10 	 Train loss 0.5617 	 LR 0.0034 	 Train images 200 	 Round 106
Device 10 	 Train loss 0.5791 	 LR 0.0034 	 Train images 200 	 Round 107
Device 10 	 Train loss 0.5720 	 LR 0.0034 	 Train images 200 	 Round 108
Device 10 	 Train loss 0.5723 	 LR 0.0033 	 Train images 200 	 Round 109
Device 10 	 Train loss 0.5583 	 LR 0.0033 	 Train images 200 	 Round 110
Device 10 	 Train loss 0.5720 	 LR 0.0033 	 Train images 200 	 Round 111
Device 10 	 Train loss 0.5546 	 LR 0.0032 	 Train images 200 	 Round 112
Device 10 	 Train loss 0.5544 	 LR 0.0032 	 Train images 200 	 Round 113
Device 10 	 Train loss 0.5433 	 LR 0.0032 	 Train images 200 	 Round 114
Device 10 	 Train loss 0.5614 	 LR 0.0031 	 Train images 200 	 Round 115
Device 10 	 Train loss 0.5499 	 LR 0.0031 	 Train images 200 	 Round 116
Device 10 	 Train loss 0.5636 	 LR 0.0031 	 Train images 200 	 Round 117
Device 10 	 Train loss 0.5334 	 LR 0.0031 	 Train images 200 	 Round 118
Device 10 	 Train loss 0.5526 	 LR 0.0030 	 Train images 200 	 Round 119
Device 10 	 Train loss 0.5310 	 LR 0.0030 	 Train images 200 	 Round 120
Device 10 	 Train loss 0.5531 	 LR 0.0030 	 Train images 200 	 Round 121
Device 10 	 Train loss 0.5376 	 LR 0.0029 	 Train images 200 	 Round 122
Device 10 	 Train loss 0.5390 	 LR 0.0029 	 Train images 200 	 Round 123
Device 10 	 Train loss 0.5493 	 LR 0.0029 	 Train images 200 	 Round 124
Device 10 	 Train loss 0.5144 	 LR 0.0028 	 Train images 200 	 Round 125
Device 10 	 Train loss 0.5554 	 LR 0.0028 	 Train images 200 	 Round 126
Device 10 	 Train loss 0.5444 	 LR 0.0028 	 Train images 200 	 Round 127
Device 10 	 Train loss 0.5375 	 LR 0.0028 	 Train images 200 	 Round 128
Device 10 	 Train loss 0.5331 	 LR 0.0027 	 Train images 200 	 Round 129
Device 10 	 Train loss 0.5345 	 LR 0.0027 	 Train images 200 	 Round 130
Device 10 	 Train loss 0.5416 	 LR 0.0027 	 Train images 200 	 Round 131
Device 10 	 Train loss 0.5339 	 LR 0.0027 	 Train images 200 	 Round 132
Device 10 	 Train loss 0.5150 	 LR 0.0026 	 Train images 200 	 Round 133
Device 10 	 Train loss 0.5397 	 LR 0.0026 	 Train images 200 	 Round 134
Device 10 	 Train loss 0.5413 	 LR 0.0026 	 Train images 200 	 Round 135
Device 10 	 Train loss 0.5328 	 LR 0.0025 	 Train images 200 	 Round 136
Device 10 	 Train loss 0.5277 	 LR 0.0025 	 Train images 200 	 Round 137
