Namespace(seed=42, output_dir='./logs', demo=False, pretrained=False, train_lr=0.01, root='/home/lgd/Desktop/SNNFL/datasets', dataset='MNIST', num_workers=2, batch_size=64, num_sen=64, defense='cp', attack='gs', percent_num=70, layer_num=6, noise_name='Gaussian', loc=0.0, scale=0.01, per_adv=1, dcs_iter=1000, dcs_lr=0.1, lambda_xsim=0.01, lambda_zsim=0.01, epsilon=0.01, early_stop=True, xsim_thr=150.0, lambda_y=0.7, project=True, startpoint='none', mixup=True, precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', method='iid', TotalDevNum=10, DevNum=6, n_data=200, Pro_dev=5, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
Device  6 	 Train loss 6.1022 	 LR 0.0099 	 Train images 200 	 Round   1
Device  6 	 Train loss 3.8423 	 LR 0.0098 	 Train images 200 	 Round   2
Device  6 	 Train loss 3.0502 	 LR 0.0097 	 Train images 200 	 Round   3
Device  6 	 Train loss 3.3114 	 LR 0.0096 	 Train images 200 	 Round   4
Device  6 	 Train loss 2.4287 	 LR 0.0095 	 Train images 200 	 Round   5
Device  6 	 Train loss 2.4179 	 LR 0.0094 	 Train images 200 	 Round   6
Device  6 	 Train loss 2.4098 	 LR 0.0093 	 Train images 200 	 Round   7
Device  6 	 Train loss 2.0149 	 LR 0.0092 	 Train images 200 	 Round   8
Device  6 	 Train loss 2.0532 	 LR 0.0091 	 Train images 200 	 Round   9
Device  6 	 Train loss 1.8971 	 LR 0.0090 	 Train images 200 	 Round  10
Device  6 	 Train loss 1.8099 	 LR 0.0090 	 Train images 200 	 Round  11
Device  6 	 Train loss 1.7772 	 LR 0.0089 	 Train images 200 	 Round  12
Device  6 	 Train loss 1.7044 	 LR 0.0088 	 Train images 200 	 Round  13
Device  6 	 Train loss 1.6290 	 LR 0.0087 	 Train images 200 	 Round  14
Device  6 	 Train loss 1.6156 	 LR 0.0086 	 Train images 200 	 Round  15
Device  6 	 Train loss 1.5129 	 LR 0.0085 	 Train images 200 	 Round  16
Device  6 	 Train loss 1.5067 	 LR 0.0084 	 Train images 200 	 Round  17
Device  6 	 Train loss 1.4453 	 LR 0.0083 	 Train images 200 	 Round  18
Device  6 	 Train loss 1.3855 	 LR 0.0083 	 Train images 200 	 Round  19
Device  6 	 Train loss 1.3483 	 LR 0.0082 	 Train images 200 	 Round  20
Device  6 	 Train loss 1.3196 	 LR 0.0081 	 Train images 200 	 Round  21
Device  6 	 Train loss 1.3000 	 LR 0.0080 	 Train images 200 	 Round  22
Device  6 	 Train loss 1.2594 	 LR 0.0079 	 Train images 200 	 Round  23
Device  6 	 Train loss 1.2237 	 LR 0.0079 	 Train images 200 	 Round  24
Device  6 	 Train loss 1.1985 	 LR 0.0078 	 Train images 200 	 Round  25
Device  6 	 Train loss 1.1549 	 LR 0.0077 	 Train images 200 	 Round  26
Device  6 	 Train loss 1.1446 	 LR 0.0076 	 Train images 200 	 Round  27
Device  6 	 Train loss 1.1042 	 LR 0.0075 	 Train images 200 	 Round  28
Device  6 	 Train loss 1.0904 	 LR 0.0075 	 Train images 200 	 Round  29
Device  6 	 Train loss 1.0480 	 LR 0.0074 	 Train images 200 	 Round  30
Device  6 	 Train loss 1.0385 	 LR 0.0073 	 Train images 200 	 Round  31
Device  6 	 Train loss 1.0267 	 LR 0.0072 	 Train images 200 	 Round  32
Device  6 	 Train loss 0.9979 	 LR 0.0072 	 Train images 200 	 Round  33
Device  6 	 Train loss 0.9876 	 LR 0.0071 	 Train images 200 	 Round  34
Device  6 	 Train loss 0.9827 	 LR 0.0070 	 Train images 200 	 Round  35
Device  6 	 Train loss 0.9392 	 LR 0.0070 	 Train images 200 	 Round  36
Device  6 	 Train loss 0.9282 	 LR 0.0069 	 Train images 200 	 Round  37
Device  6 	 Train loss 0.9033 	 LR 0.0068 	 Train images 200 	 Round  38
Device  6 	 Train loss 0.9105 	 LR 0.0068 	 Train images 200 	 Round  39
Device  6 	 Train loss 0.8842 	 LR 0.0067 	 Train images 200 	 Round  40
Device  6 	 Train loss 0.8862 	 LR 0.0066 	 Train images 200 	 Round  41
Device  6 	 Train loss 0.8831 	 LR 0.0066 	 Train images 200 	 Round  42
Device  6 	 Train loss 0.8544 	 LR 0.0065 	 Train images 200 	 Round  43
Device  6 	 Train loss 0.8627 	 LR 0.0064 	 Train images 200 	 Round  44
Device  6 	 Train loss 0.8094 	 LR 0.0064 	 Train images 200 	 Round  45
Device  6 	 Train loss 0.8210 	 LR 0.0063 	 Train images 200 	 Round  46
Device  6 	 Train loss 0.8079 	 LR 0.0062 	 Train images 200 	 Round  47
Device  6 	 Train loss 0.7952 	 LR 0.0062 	 Train images 200 	 Round  48
Device  6 	 Train loss 0.7994 	 LR 0.0061 	 Train images 200 	 Round  49
Device  6 	 Train loss 0.7779 	 LR 0.0061 	 Train images 200 	 Round  50
Device  6 	 Train loss 0.7951 	 LR 0.0060 	 Train images 200 	 Round  51
Device  6 	 Train loss 0.7627 	 LR 0.0059 	 Train images 200 	 Round  52
Device  6 	 Train loss 0.7781 	 LR 0.0059 	 Train images 200 	 Round  53
Device  6 	 Train loss 0.7453 	 LR 0.0058 	 Train images 200 	 Round  54
Device  6 	 Train loss 0.7506 	 LR 0.0058 	 Train images 200 	 Round  55
Device  6 	 Train loss 0.7413 	 LR 0.0057 	 Train images 200 	 Round  56
Device  6 	 Train loss 0.7427 	 LR 0.0056 	 Train images 200 	 Round  57
Device  6 	 Train loss 0.7451 	 LR 0.0056 	 Train images 200 	 Round  58
Device  6 	 Train loss 0.7309 	 LR 0.0055 	 Train images 200 	 Round  59
Device  6 	 Train loss 0.7170 	 LR 0.0055 	 Train images 200 	 Round  60
Device  6 	 Train loss 0.6842 	 LR 0.0054 	 Train images 200 	 Round  61
Device  6 	 Train loss 0.7048 	 LR 0.0054 	 Train images 200 	 Round  62
Device  6 	 Train loss 0.7140 	 LR 0.0053 	 Train images 200 	 Round  63
Device  6 	 Train loss 0.6953 	 LR 0.0053 	 Train images 200 	 Round  64
Device  6 	 Train loss 0.6865 	 LR 0.0052 	 Train images 200 	 Round  65
Device  6 	 Train loss 0.6883 	 LR 0.0052 	 Train images 200 	 Round  66
Device  6 	 Train loss 0.6810 	 LR 0.0051 	 Train images 200 	 Round  67
Device  6 	 Train loss 0.6783 	 LR 0.0050 	 Train images 200 	 Round  68
Device  6 	 Train loss 0.6803 	 LR 0.0050 	 Train images 200 	 Round  69
Device  6 	 Train loss 0.6669 	 LR 0.0049 	 Train images 200 	 Round  70
Device  6 	 Train loss 0.6761 	 LR 0.0049 	 Train images 200 	 Round  71
Device  6 	 Train loss 0.6705 	 LR 0.0048 	 Train images 200 	 Round  72
Device  6 	 Train loss 0.6617 	 LR 0.0048 	 Train images 200 	 Round  73
Device  6 	 Train loss 0.6622 	 LR 0.0048 	 Train images 200 	 Round  74
Device  6 	 Train loss 0.6582 	 LR 0.0047 	 Train images 200 	 Round  75
Device  6 	 Train loss 0.6494 	 LR 0.0047 	 Train images 200 	 Round  76
Device  6 	 Train loss 0.6438 	 LR 0.0046 	 Train images 200 	 Round  77
Device  6 	 Train loss 0.5946 	 LR 0.0046 	 Train images 200 	 Round  78
Device  6 	 Train loss 0.6503 	 LR 0.0045 	 Train images 200 	 Round  79
Device  6 	 Train loss 0.6416 	 LR 0.0045 	 Train images 200 	 Round  80
Device  6 	 Train loss 0.6350 	 LR 0.0044 	 Train images 200 	 Round  81
Device  6 	 Train loss 0.6443 	 LR 0.0044 	 Train images 200 	 Round  82
Device  6 	 Train loss 0.6365 	 LR 0.0043 	 Train images 200 	 Round  83
Device  6 	 Train loss 0.6296 	 LR 0.0043 	 Train images 200 	 Round  84
Device  6 	 Train loss 0.6321 	 LR 0.0043 	 Train images 200 	 Round  85
Device  6 	 Train loss 0.6122 	 LR 0.0042 	 Train images 200 	 Round  86
Device  6 	 Train loss 0.5972 	 LR 0.0042 	 Train images 200 	 Round  87
Device  6 	 Train loss 0.6198 	 LR 0.0041 	 Train images 200 	 Round  88
Device  6 	 Train loss 0.5971 	 LR 0.0041 	 Train images 200 	 Round  89
Device  6 	 Train loss 0.6181 	 LR 0.0040 	 Train images 200 	 Round  90
Device  6 	 Train loss 0.6131 	 LR 0.0040 	 Train images 200 	 Round  91
Device  6 	 Train loss 0.6165 	 LR 0.0040 	 Train images 200 	 Round  92
Device  6 	 Train loss 0.6137 	 LR 0.0039 	 Train images 200 	 Round  93
Device  6 	 Train loss 0.6087 	 LR 0.0039 	 Train images 200 	 Round  94
Device  6 	 Train loss 0.6158 	 LR 0.0038 	 Train images 200 	 Round  95
Device  6 	 Train loss 0.6162 	 LR 0.0038 	 Train images 200 	 Round  96
Device  6 	 Train loss 0.6091 	 LR 0.0038 	 Train images 200 	 Round  97
Device  6 	 Train loss 0.5682 	 LR 0.0037 	 Train images 200 	 Round  98
Device  6 	 Train loss 0.6144 	 LR 0.0037 	 Train images 200 	 Round  99
Device  6 	 Train loss 0.6071 	 LR 0.0037 	 Train images 200 	 Round 100
Device  6 	 Train loss 0.5973 	 LR 0.0036 	 Train images 200 	 Round 101
Device  6 	 Train loss 0.6113 	 LR 0.0036 	 Train images 200 	 Round 102
Device  6 	 Train loss 0.5918 	 LR 0.0036 	 Train images 200 	 Round 103
Device  6 	 Train loss 0.5985 	 LR 0.0035 	 Train images 200 	 Round 104
Device  6 	 Train loss 0.5993 	 LR 0.0035 	 Train images 200 	 Round 105
Device  6 	 Train loss 0.5892 	 LR 0.0034 	 Train images 200 	 Round 106
Device  6 	 Train loss 0.5903 	 LR 0.0034 	 Train images 200 	 Round 107
Device  6 	 Train loss 0.5926 	 LR 0.0034 	 Train images 200 	 Round 108
Device  6 	 Train loss 0.5650 	 LR 0.0033 	 Train images 200 	 Round 109
Device  6 	 Train loss 0.5457 	 LR 0.0033 	 Train images 200 	 Round 110
Device  6 	 Train loss 0.5561 	 LR 0.0033 	 Train images 200 	 Round 111
Device  6 	 Train loss 0.5665 	 LR 0.0032 	 Train images 200 	 Round 112
Device  6 	 Train loss 0.5658 	 LR 0.0032 	 Train images 200 	 Round 113
Device  6 	 Train loss 0.5765 	 LR 0.0032 	 Train images 200 	 Round 114
Device  6 	 Train loss 0.5598 	 LR 0.0031 	 Train images 200 	 Round 115
Device  6 	 Train loss 0.5630 	 LR 0.0031 	 Train images 200 	 Round 116
Device  6 	 Train loss 0.5901 	 LR 0.0031 	 Train images 200 	 Round 117
Device  6 	 Train loss 0.5641 	 LR 0.0031 	 Train images 200 	 Round 118
Device  6 	 Train loss 0.5622 	 LR 0.0030 	 Train images 200 	 Round 119
Device  6 	 Train loss 0.5680 	 LR 0.0030 	 Train images 200 	 Round 120
Device  6 	 Train loss 0.5758 	 LR 0.0030 	 Train images 200 	 Round 121
Device  6 	 Train loss 0.5535 	 LR 0.0029 	 Train images 200 	 Round 122
Device  6 	 Train loss 0.5739 	 LR 0.0029 	 Train images 200 	 Round 123
Device  6 	 Train loss 0.5812 	 LR 0.0029 	 Train images 200 	 Round 124
Device  6 	 Train loss 0.5655 	 LR 0.0028 	 Train images 200 	 Round 125
Device  6 	 Train loss 0.5662 	 LR 0.0028 	 Train images 200 	 Round 126
Device  6 	 Train loss 0.5416 	 LR 0.0028 	 Train images 200 	 Round 127
Device  6 	 Train loss 0.5655 	 LR 0.0028 	 Train images 200 	 Round 128
Device  6 	 Train loss 0.5567 	 LR 0.0027 	 Train images 200 	 Round 129
Device  6 	 Train loss 0.5634 	 LR 0.0027 	 Train images 200 	 Round 130
Device  6 	 Train loss 0.5604 	 LR 0.0027 	 Train images 200 	 Round 131
Device  6 	 Train loss 0.5597 	 LR 0.0027 	 Train images 200 	 Round 132
Device  6 	 Train loss 0.5363 	 LR 0.0026 	 Train images 200 	 Round 133
Device  6 	 Train loss 0.5529 	 LR 0.0026 	 Train images 200 	 Round 134
Device  6 	 Train loss 0.5493 	 LR 0.0026 	 Train images 200 	 Round 135
Device  6 	 Train loss 0.5573 	 LR 0.0025 	 Train images 200 	 Round 136
Device  6 	 Train loss 0.5492 	 LR 0.0025 	 Train images 200 	 Round 137
Device  6 	 Train loss 0.5572 	 LR 0.0025 	 Train images 200 	 Round 138
Device  6 	 Train loss 0.5556 	 LR 0.0025 	 Train images 200 	 Round 139
Device  6 	 Train loss 0.5419 	 LR 0.0024 	 Train images 200 	 Round 140
Device  6 	 Train loss 0.5441 	 LR 0.0024 	 Train images 200 	 Round 141
Device  6 	 Train loss 0.5367 	 LR 0.0024 	 Train images 200 	 Round 142
Device  6 	 Train loss 0.5316 	 LR 0.0024 	 Train images 200 	 Round 143
Device  6 	 Train loss 0.5562 	 LR 0.0024 	 Train images 200 	 Round 144
Device  6 	 Train loss 0.5043 	 LR 0.0023 	 Train images 200 	 Round 145
Device  6 	 Train loss 0.4562 	 LR 0.0023 	 Train images 200 	 Round 146
Device  6 	 Train loss 0.5497 	 LR 0.0023 	 Train images 200 	 Round 147
Device  6 	 Train loss 0.5554 	 LR 0.0023 	 Train images 200 	 Round 148
Device  6 	 Train loss 0.5177 	 LR 0.0022 	 Train images 200 	 Round 149
Device  6 	 Train loss 0.5428 	 LR 0.0022 	 Train images 200 	 Round 150
Device  6 	 Train loss 0.5481 	 LR 0.0022 	 Train images 200 	 Round 151
Device  6 	 Train loss 0.5155 	 LR 0.0022 	 Train images 200 	 Round 152
Device  6 	 Train loss 0.5471 	 LR 0.0021 	 Train images 200 	 Round 153
Device  6 	 Train loss 0.5286 	 LR 0.0021 	 Train images 200 	 Round 154
Device  6 	 Train loss 0.4958 	 LR 0.0021 	 Train images 200 	 Round 155
Device  6 	 Train loss 0.5377 	 LR 0.0021 	 Train images 200 	 Round 156
Device  6 	 Train loss 0.5379 	 LR 0.0021 	 Train images 200 	 Round 157
Device  6 	 Train loss 0.5114 	 LR 0.0020 	 Train images 200 	 Round 158
Device  6 	 Train loss 0.5392 	 LR 0.0020 	 Train images 200 	 Round 159
Device  6 	 Train loss 0.5448 	 LR 0.0020 	 Train images 200 	 Round 160
Device  6 	 Train loss 0.5418 	 LR 0.0020 	 Train images 200 	 Round 161
Device  6 	 Train loss 0.5224 	 LR 0.0020 	 Train images 200 	 Round 162
Device  6 	 Train loss 0.5186 	 LR 0.0019 	 Train images 200 	 Round 163
Device  6 	 Train loss 0.5299 	 LR 0.0019 	 Train images 200 	 Round 164
