Namespace(seed=40, output_dir='./logs', demo=False, pretrained=False, train_lr=0.01, root='/home/lgd/Desktop/SNNFL/datasets', dataset='MNIST', num_workers=2, batch_size=64, num_sen=64, defense='soteria', attack='gs', percent_num=20, layer_num=6, noise_name='Gaussian', loc=0.0, scale=0.01, per_adv=1, dcs_iter=1000, dcs_lr=0.1, lambda_xsim=0.01, lambda_zsim=0.01, epsilon=0.01, early_stop=True, xsim_thr=150.0, lambda_y=0.7, project=True, startpoint='none', mixup=True, precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', method='non-iid', TotalDevNum=10, DevNum=2, n_data=200, Pro_dev=5, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
<class 'torchvision.datasets.mnist.MNIST'>
Device  2 	 Train loss 3.5253 	 LR 0.0099 	 Train images 400 	 Round   1
Device  2 	 Train loss 1.3194 	 LR 0.0098 	 Train images 400 	 Round   2
Device  2 	 Train loss 1.7177 	 LR 0.0097 	 Train images 400 	 Round   3
Device  2 	 Train loss 0.9169 	 LR 0.0096 	 Train images 400 	 Round   4
Device  2 	 Train loss 0.5483 	 LR 0.0095 	 Train images 400 	 Round   5
Device  2 	 Train loss 0.7768 	 LR 0.0094 	 Train images 400 	 Round   6
Device  2 	 Train loss 0.4224 	 LR 0.0093 	 Train images 400 	 Round   7
Device  2 	 Train loss 0.5059 	 LR 0.0092 	 Train images 400 	 Round   8
Device  2 	 Train loss 0.5338 	 LR 0.0091 	 Train images 400 	 Round   9
Device  2 	 Train loss 0.4334 	 LR 0.0090 	 Train images 400 	 Round  10
Device  2 	 Train loss 0.4331 	 LR 0.0090 	 Train images 400 	 Round  11
Device  2 	 Train loss 0.4629 	 LR 0.0089 	 Train images 400 	 Round  12
Device  2 	 Train loss 0.4879 	 LR 0.0088 	 Train images 400 	 Round  13
Device  2 	 Train loss 0.4918 	 LR 0.0087 	 Train images 400 	 Round  14
Device  2 	 Train loss 0.4146 	 LR 0.0086 	 Train images 400 	 Round  15
Device  2 	 Train loss 0.3903 	 LR 0.0085 	 Train images 400 	 Round  16
Device  2 	 Train loss 0.3751 	 LR 0.0084 	 Train images 400 	 Round  17
Device  2 	 Train loss 0.3490 	 LR 0.0083 	 Train images 400 	 Round  18
Device  2 	 Train loss 0.3539 	 LR 0.0083 	 Train images 400 	 Round  19
Device  2 	 Train loss 0.3426 	 LR 0.0082 	 Train images 400 	 Round  20
Device  2 	 Train loss 0.3068 	 LR 0.0081 	 Train images 400 	 Round  21
Device  2 	 Train loss 0.2882 	 LR 0.0080 	 Train images 400 	 Round  22
Device  2 	 Train loss 0.2922 	 LR 0.0079 	 Train images 400 	 Round  23
Device  2 	 Train loss 0.2752 	 LR 0.0079 	 Train images 400 	 Round  24
Device  2 	 Train loss 0.2731 	 LR 0.0078 	 Train images 400 	 Round  25
Device  2 	 Train loss 0.2774 	 LR 0.0077 	 Train images 400 	 Round  26
Device  2 	 Train loss 0.2341 	 LR 0.0076 	 Train images 400 	 Round  27
Device  2 	 Train loss 0.2273 	 LR 0.0075 	 Train images 400 	 Round  28
Device  2 	 Train loss 0.2499 	 LR 0.0075 	 Train images 400 	 Round  29
Device  2 	 Train loss 0.2406 	 LR 0.0074 	 Train images 400 	 Round  30
Device  2 	 Train loss 0.2168 	 LR 0.0073 	 Train images 400 	 Round  31
Device  2 	 Train loss 0.2266 	 LR 0.0072 	 Train images 400 	 Round  32
Device  2 	 Train loss 0.2232 	 LR 0.0072 	 Train images 400 	 Round  33
Device  2 	 Train loss 0.2414 	 LR 0.0071 	 Train images 400 	 Round  34
Device  2 	 Train loss 0.2161 	 LR 0.0070 	 Train images 400 	 Round  35
Device  2 	 Train loss 0.2108 	 LR 0.0070 	 Train images 400 	 Round  36
Device  2 	 Train loss 0.2215 	 LR 0.0069 	 Train images 400 	 Round  37
Device  2 	 Train loss 0.2115 	 LR 0.0068 	 Train images 400 	 Round  38
Device  2 	 Train loss 0.1973 	 LR 0.0068 	 Train images 400 	 Round  39
Device  2 	 Train loss 0.2038 	 LR 0.0067 	 Train images 400 	 Round  40
Device  2 	 Train loss 0.1976 	 LR 0.0066 	 Train images 400 	 Round  41
Device  2 	 Train loss 0.2021 	 LR 0.0066 	 Train images 400 	 Round  42
Device  2 	 Train loss 0.1962 	 LR 0.0065 	 Train images 400 	 Round  43
Device  2 	 Train loss 0.2012 	 LR 0.0064 	 Train images 400 	 Round  44
Device  2 	 Train loss 0.1988 	 LR 0.0064 	 Train images 400 	 Round  45
Device  2 	 Train loss 0.1971 	 LR 0.0063 	 Train images 400 	 Round  46
Device  2 	 Train loss 0.1909 	 LR 0.0062 	 Train images 400 	 Round  47
Device  2 	 Train loss 0.1799 	 LR 0.0062 	 Train images 400 	 Round  48
Device  2 	 Train loss 0.1888 	 LR 0.0061 	 Train images 400 	 Round  49
Device  2 	 Train loss 0.1906 	 LR 0.0061 	 Train images 400 	 Round  50
Device  2 	 Train loss 0.1753 	 LR 0.0060 	 Train images 400 	 Round  51
Device  2 	 Train loss 0.1800 	 LR 0.0059 	 Train images 400 	 Round  52
Device  2 	 Train loss 0.1892 	 LR 0.0059 	 Train images 400 	 Round  53
Device  2 	 Train loss 0.1800 	 LR 0.0058 	 Train images 400 	 Round  54
Device  2 	 Train loss 0.1799 	 LR 0.0058 	 Train images 400 	 Round  55
Device  2 	 Train loss 0.1778 	 LR 0.0057 	 Train images 400 	 Round  56
Device  2 	 Train loss 0.1752 	 LR 0.0056 	 Train images 400 	 Round  57
Device  2 	 Train loss 0.1624 	 LR 0.0056 	 Train images 400 	 Round  58
Device  2 	 Train loss 0.1697 	 LR 0.0055 	 Train images 400 	 Round  59
Device  2 	 Train loss 0.1729 	 LR 0.0055 	 Train images 400 	 Round  60
Device  2 	 Train loss 0.1762 	 LR 0.0054 	 Train images 400 	 Round  61
Device  2 	 Train loss 0.1686 	 LR 0.0054 	 Train images 400 	 Round  62
Device  2 	 Train loss 0.1636 	 LR 0.0053 	 Train images 400 	 Round  63
Device  2 	 Train loss 0.1637 	 LR 0.0053 	 Train images 400 	 Round  64
Device  2 	 Train loss 0.1649 	 LR 0.0052 	 Train images 400 	 Round  65
Device  2 	 Train loss 0.1686 	 LR 0.0052 	 Train images 400 	 Round  66
Device  2 	 Train loss 0.1679 	 LR 0.0051 	 Train images 400 	 Round  67
Device  2 	 Train loss 0.1679 	 LR 0.0050 	 Train images 400 	 Round  68
Device  2 	 Train loss 0.1622 	 LR 0.0050 	 Train images 400 	 Round  69
Device  2 	 Train loss 0.1630 	 LR 0.0049 	 Train images 400 	 Round  70
Device  2 	 Train loss 0.1532 	 LR 0.0049 	 Train images 400 	 Round  71
Device  2 	 Train loss 0.1675 	 LR 0.0048 	 Train images 400 	 Round  72
Device  2 	 Train loss 0.1585 	 LR 0.0048 	 Train images 400 	 Round  73
Device  2 	 Train loss 0.1600 	 LR 0.0048 	 Train images 400 	 Round  74
Device  2 	 Train loss 0.1566 	 LR 0.0047 	 Train images 400 	 Round  75
Device  2 	 Train loss 0.1559 	 LR 0.0047 	 Train images 400 	 Round  76
Device  2 	 Train loss 0.1542 	 LR 0.0046 	 Train images 400 	 Round  77
Device  2 	 Train loss 0.1543 	 LR 0.0046 	 Train images 400 	 Round  78
Device  2 	 Train loss 0.1553 	 LR 0.0045 	 Train images 400 	 Round  79
Device  2 	 Train loss 0.1466 	 LR 0.0045 	 Train images 400 	 Round  80
Device  2 	 Train loss 0.1529 	 LR 0.0044 	 Train images 400 	 Round  81
Device  2 	 Train loss 0.1516 	 LR 0.0044 	 Train images 400 	 Round  82
Device  2 	 Train loss 0.1473 	 LR 0.0043 	 Train images 400 	 Round  83
Device  2 	 Train loss 0.1528 	 LR 0.0043 	 Train images 400 	 Round  84
Device  2 	 Train loss 0.1501 	 LR 0.0043 	 Train images 400 	 Round  85
Device  2 	 Train loss 0.1563 	 LR 0.0042 	 Train images 400 	 Round  86
Device  2 	 Train loss 0.1470 	 LR 0.0042 	 Train images 400 	 Round  87
Device  2 	 Train loss 0.1569 	 LR 0.0041 	 Train images 400 	 Round  88
Device  2 	 Train loss 0.1500 	 LR 0.0041 	 Train images 400 	 Round  89
Device  2 	 Train loss 0.1498 	 LR 0.0040 	 Train images 400 	 Round  90
Device  2 	 Train loss 0.1493 	 LR 0.0040 	 Train images 400 	 Round  91
Device  2 	 Train loss 0.1512 	 LR 0.0040 	 Train images 400 	 Round  92
Device  2 	 Train loss 0.1493 	 LR 0.0039 	 Train images 400 	 Round  93
Device  2 	 Train loss 0.1506 	 LR 0.0039 	 Train images 400 	 Round  94
Device  2 	 Train loss 0.1436 	 LR 0.0038 	 Train images 400 	 Round  95
Device  2 	 Train loss 0.1468 	 LR 0.0038 	 Train images 400 	 Round  96
Device  2 	 Train loss 0.1451 	 LR 0.0038 	 Train images 400 	 Round  97
Device  2 	 Train loss 0.1446 	 LR 0.0037 	 Train images 400 	 Round  98
Device  2 	 Train loss 0.1479 	 LR 0.0037 	 Train images 400 	 Round  99
Device  2 	 Train loss 0.1415 	 LR 0.0037 	 Train images 400 	 Round 100
Device  2 	 Train loss 0.1499 	 LR 0.0036 	 Train images 400 	 Round 101
Device  2 	 Train loss 0.1407 	 LR 0.0036 	 Train images 400 	 Round 102
Device  2 	 Train loss 0.1359 	 LR 0.0036 	 Train images 400 	 Round 103
Device  2 	 Train loss 0.1403 	 LR 0.0035 	 Train images 400 	 Round 104
Device  2 	 Train loss 0.1480 	 LR 0.0035 	 Train images 400 	 Round 105
Device  2 	 Train loss 0.1489 	 LR 0.0034 	 Train images 400 	 Round 106
Device  2 	 Train loss 0.1463 	 LR 0.0034 	 Train images 400 	 Round 107
Device  2 	 Train loss 0.1405 	 LR 0.0034 	 Train images 400 	 Round 108
Device  2 	 Train loss 0.1418 	 LR 0.0033 	 Train images 400 	 Round 109
Device  2 	 Train loss 0.1464 	 LR 0.0033 	 Train images 400 	 Round 110
Device  2 	 Train loss 0.1391 	 LR 0.0033 	 Train images 400 	 Round 111
Device  2 	 Train loss 0.1411 	 LR 0.0032 	 Train images 400 	 Round 112
Device  2 	 Train loss 0.1384 	 LR 0.0032 	 Train images 400 	 Round 113
Device  2 	 Train loss 0.1405 	 LR 0.0032 	 Train images 400 	 Round 114
Device  2 	 Train loss 0.1449 	 LR 0.0031 	 Train images 400 	 Round 115
Device  2 	 Train loss 0.1468 	 LR 0.0031 	 Train images 400 	 Round 116
Device  2 	 Train loss 0.1430 	 LR 0.0031 	 Train images 400 	 Round 117
Device  2 	 Train loss 0.1443 	 LR 0.0031 	 Train images 400 	 Round 118
Device  2 	 Train loss 0.1395 	 LR 0.0030 	 Train images 400 	 Round 119
Device  2 	 Train loss 0.1419 	 LR 0.0030 	 Train images 400 	 Round 120
Device  2 	 Train loss 0.1461 	 LR 0.0030 	 Train images 400 	 Round 121
Device  2 	 Train loss 0.1345 	 LR 0.0029 	 Train images 400 	 Round 122
Device  2 	 Train loss 0.1376 	 LR 0.0029 	 Train images 400 	 Round 123
Device  2 	 Train loss 0.1392 	 LR 0.0029 	 Train images 400 	 Round 124
Device  2 	 Train loss 0.1440 	 LR 0.0028 	 Train images 400 	 Round 125
Device  2 	 Train loss 0.1398 	 LR 0.0028 	 Train images 400 	 Round 126
Device  2 	 Train loss 0.1346 	 LR 0.0028 	 Train images 400 	 Round 127
Device  2 	 Train loss 0.1413 	 LR 0.0028 	 Train images 400 	 Round 128
Device  2 	 Train loss 0.1404 	 LR 0.0027 	 Train images 400 	 Round 129
Device  2 	 Train loss 0.1431 	 LR 0.0027 	 Train images 400 	 Round 130
Device  2 	 Train loss 0.1411 	 LR 0.0027 	 Train images 400 	 Round 131
Device  2 	 Train loss 0.1384 	 LR 0.0027 	 Train images 400 	 Round 132
Device  2 	 Train loss 0.1418 	 LR 0.0026 	 Train images 400 	 Round 133
