Namespace(seed=40, output_dir='./logs', demo=False, pretrained=False, train_lr=0.01, root='/home/lgd/Desktop/SNNFL/datasets', dataset='MNIST', num_workers=2, batch_size=64, num_sen=64, defense='soteria', attack='gs', percent_num=20, layer_num=6, noise_name='Gaussian', loc=0.0, scale=0.01, per_adv=1, dcs_iter=1000, dcs_lr=0.1, lambda_xsim=0.01, lambda_zsim=0.01, epsilon=0.01, early_stop=True, xsim_thr=150.0, lambda_y=0.7, project=True, startpoint='none', mixup=True, precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', method='non-iid', TotalDevNum=10, DevNum=9, n_data=200, Pro_dev=5, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
<class 'torchvision.datasets.mnist.MNIST'>
Device  9 	 Train loss 0.1346 	 LR 0.0051 	 Train images 400 	 Round  67
Device  9 	 Train loss 0.1303 	 LR 0.0050 	 Train images 400 	 Round  68
Device  9 	 Train loss 0.1378 	 LR 0.0050 	 Train images 400 	 Round  69
Device  9 	 Train loss 0.1359 	 LR 0.0049 	 Train images 400 	 Round  70
Device  9 	 Train loss 0.1314 	 LR 0.0049 	 Train images 400 	 Round  71
Device  9 	 Train loss 0.1280 	 LR 0.0048 	 Train images 400 	 Round  72
Device  9 	 Train loss 0.1197 	 LR 0.0048 	 Train images 400 	 Round  73
Device  9 	 Train loss 0.1355 	 LR 0.0048 	 Train images 400 	 Round  74
Device  9 	 Train loss 0.1345 	 LR 0.0047 	 Train images 400 	 Round  75
Device  9 	 Train loss 0.1358 	 LR 0.0047 	 Train images 400 	 Round  76
Device  9 	 Train loss 0.1301 	 LR 0.0046 	 Train images 400 	 Round  77
Device  9 	 Train loss 0.1191 	 LR 0.0046 	 Train images 400 	 Round  78
Device  9 	 Train loss 0.1310 	 LR 0.0045 	 Train images 400 	 Round  79
Device  9 	 Train loss 0.1263 	 LR 0.0045 	 Train images 400 	 Round  80
Device  9 	 Train loss 0.1238 	 LR 0.0044 	 Train images 400 	 Round  81
