Namespace(seed=40, output_dir='./logs', demo=False, pretrained=False, train_lr=0.01, root='/home/lgd/Desktop/SNNFL/datasets', dataset='MNIST', num_workers=2, batch_size=64, num_sen=64, defense='soteria', attack='gs', percent_num=20, layer_num=6, noise_name='Gaussian', loc=0.0, scale=0.01, per_adv=1, dcs_iter=1000, dcs_lr=0.1, lambda_xsim=0.01, lambda_zsim=0.01, epsilon=0.01, early_stop=True, xsim_thr=150.0, lambda_y=0.7, project=True, startpoint='none', mixup=True, precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', method='non-iid', TotalDevNum=10, DevNum=7, n_data=200, Pro_dev=5, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
<class 'torchvision.datasets.mnist.MNIST'>
Device  7 	 Train loss 3.6958 	 LR 0.0099 	 Train images 400 	 Round   1
Device  7 	 Train loss 1.0704 	 LR 0.0098 	 Train images 400 	 Round   2
Device  7 	 Train loss 0.7543 	 LR 0.0097 	 Train images 400 	 Round   3
Device  7 	 Train loss 0.7198 	 LR 0.0096 	 Train images 400 	 Round   4
Device  7 	 Train loss 0.6871 	 LR 0.0095 	 Train images 400 	 Round   5
Device  7 	 Train loss 0.6899 	 LR 0.0094 	 Train images 400 	 Round   6
Device  7 	 Train loss 0.5024 	 LR 0.0093 	 Train images 400 	 Round   7
Device  7 	 Train loss 0.5754 	 LR 0.0092 	 Train images 400 	 Round   8
Device  7 	 Train loss 0.5039 	 LR 0.0091 	 Train images 400 	 Round   9
Device  7 	 Train loss 0.4348 	 LR 0.0090 	 Train images 400 	 Round  10
Device  7 	 Train loss 0.4510 	 LR 0.0090 	 Train images 400 	 Round  11
Device  7 	 Train loss 0.4331 	 LR 0.0089 	 Train images 400 	 Round  12
Device  7 	 Train loss 0.4719 	 LR 0.0088 	 Train images 400 	 Round  13
Device  7 	 Train loss 0.3950 	 LR 0.0087 	 Train images 400 	 Round  14
Device  7 	 Train loss 0.4070 	 LR 0.0086 	 Train images 400 	 Round  15
Device  7 	 Train loss 0.4231 	 LR 0.0085 	 Train images 400 	 Round  16
Device  7 	 Train loss 0.3965 	 LR 0.0084 	 Train images 400 	 Round  17
Device  7 	 Train loss 0.4534 	 LR 0.0083 	 Train images 400 	 Round  18
Device  7 	 Train loss 0.4076 	 LR 0.0083 	 Train images 400 	 Round  19
Device  7 	 Train loss 0.3774 	 LR 0.0082 	 Train images 400 	 Round  20
Device  7 	 Train loss 0.3726 	 LR 0.0081 	 Train images 400 	 Round  21
Device  7 	 Train loss 0.3546 	 LR 0.0080 	 Train images 400 	 Round  22
Device  7 	 Train loss 0.3417 	 LR 0.0079 	 Train images 400 	 Round  23
Device  7 	 Train loss 0.3185 	 LR 0.0079 	 Train images 400 	 Round  24
Device  7 	 Train loss 0.2845 	 LR 0.0078 	 Train images 400 	 Round  25
Device  7 	 Train loss 0.2764 	 LR 0.0077 	 Train images 400 	 Round  26
Device  7 	 Train loss 0.2805 	 LR 0.0076 	 Train images 400 	 Round  27
Device  7 	 Train loss 0.2502 	 LR 0.0075 	 Train images 400 	 Round  28
Device  7 	 Train loss 0.2595 	 LR 0.0075 	 Train images 400 	 Round  29
Device  7 	 Train loss 0.2531 	 LR 0.0074 	 Train images 400 	 Round  30
Device  7 	 Train loss 0.2405 	 LR 0.0073 	 Train images 400 	 Round  31
Device  7 	 Train loss 0.2492 	 LR 0.0072 	 Train images 400 	 Round  32
Device  7 	 Train loss 0.2426 	 LR 0.0072 	 Train images 400 	 Round  33
Device  7 	 Train loss 0.2542 	 LR 0.0071 	 Train images 400 	 Round  34
Device  7 	 Train loss 0.2474 	 LR 0.0070 	 Train images 400 	 Round  35
Device  7 	 Train loss 0.2266 	 LR 0.0070 	 Train images 400 	 Round  36
Device  7 	 Train loss 0.2439 	 LR 0.0069 	 Train images 400 	 Round  37
Device  7 	 Train loss 0.2338 	 LR 0.0068 	 Train images 400 	 Round  38
Device  7 	 Train loss 0.2259 	 LR 0.0068 	 Train images 400 	 Round  39
Device  7 	 Train loss 0.2262 	 LR 0.0067 	 Train images 400 	 Round  40
Device  7 	 Train loss 0.2205 	 LR 0.0066 	 Train images 400 	 Round  41
Device  7 	 Train loss 0.2194 	 LR 0.0066 	 Train images 400 	 Round  42
Device  7 	 Train loss 0.2271 	 LR 0.0065 	 Train images 400 	 Round  43
Device  7 	 Train loss 0.2094 	 LR 0.0064 	 Train images 400 	 Round  44
Device  7 	 Train loss 0.2161 	 LR 0.0064 	 Train images 400 	 Round  45
Device  7 	 Train loss 0.2217 	 LR 0.0063 	 Train images 400 	 Round  46
Device  7 	 Train loss 0.2135 	 LR 0.0062 	 Train images 400 	 Round  47
Device  7 	 Train loss 0.2041 	 LR 0.0062 	 Train images 400 	 Round  48
Device  7 	 Train loss 0.2079 	 LR 0.0061 	 Train images 400 	 Round  49
Device  7 	 Train loss 0.2151 	 LR 0.0061 	 Train images 400 	 Round  50
Device  7 	 Train loss 0.1989 	 LR 0.0060 	 Train images 400 	 Round  51
Device  7 	 Train loss 0.1906 	 LR 0.0059 	 Train images 400 	 Round  52
Device  7 	 Train loss 0.1969 	 LR 0.0059 	 Train images 400 	 Round  53
Device  7 	 Train loss 0.1908 	 LR 0.0058 	 Train images 400 	 Round  54
Device  7 	 Train loss 0.1884 	 LR 0.0058 	 Train images 400 	 Round  55
Device  7 	 Train loss 0.1866 	 LR 0.0057 	 Train images 400 	 Round  56
Device  7 	 Train loss 0.1973 	 LR 0.0056 	 Train images 400 	 Round  57
Device  7 	 Train loss 0.1836 	 LR 0.0056 	 Train images 400 	 Round  58
