Namespace(seed=40, output_dir='./logs', demo=False, pretrained=False, train_lr=0.01, root='/home/lgd/Desktop/SNNFL/datasets', dataset='MNIST', num_workers=2, batch_size=64, num_sen=64, defense='soteria', attack='gs', percent_num=20, layer_num=6, noise_name='Gaussian', loc=0.0, scale=0.01, per_adv=1, dcs_iter=1000, dcs_lr=0.1, lambda_xsim=0.01, lambda_zsim=0.01, epsilon=0.01, early_stop=True, xsim_thr=150.0, lambda_y=0.7, project=True, startpoint='none', mixup=True, precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', method='non-iid', TotalDevNum=10, DevNum=1, n_data=200, Pro_dev=5, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
<class 'torchvision.datasets.mnist.MNIST'>
Device  1 	 Train loss 0.8599 	 LR 0.0099 	 Train images 400 	 Round   1
Device  1 	 Train loss 1.4364 	 LR 0.0098 	 Train images 400 	 Round   2
Device  1 	 Train loss 0.6711 	 LR 0.0097 	 Train images 400 	 Round   3
Device  1 	 Train loss 0.6147 	 LR 0.0096 	 Train images 400 	 Round   4
Device  1 	 Train loss 0.4175 	 LR 0.0095 	 Train images 400 	 Round   5
Device  1 	 Train loss 0.1914 	 LR 0.0094 	 Train images 400 	 Round   6
Device  1 	 Train loss 0.2629 	 LR 0.0093 	 Train images 400 	 Round   7
Device  1 	 Train loss 0.1958 	 LR 0.0092 	 Train images 400 	 Round   8
Device  1 	 Train loss 0.1932 	 LR 0.0091 	 Train images 400 	 Round   9
Device  1 	 Train loss 0.1793 	 LR 0.0090 	 Train images 400 	 Round  10
Device  1 	 Train loss 0.1729 	 LR 0.0090 	 Train images 400 	 Round  11
Device  1 	 Train loss 0.1752 	 LR 0.0089 	 Train images 400 	 Round  12
Device  1 	 Train loss 0.1644 	 LR 0.0088 	 Train images 400 	 Round  13
Device  1 	 Train loss 0.1621 	 LR 0.0087 	 Train images 400 	 Round  14
Device  1 	 Train loss 0.1637 	 LR 0.0086 	 Train images 400 	 Round  15
Device  1 	 Train loss 0.1586 	 LR 0.0085 	 Train images 400 	 Round  16
Device  1 	 Train loss 0.1574 	 LR 0.0084 	 Train images 400 	 Round  17
Device  1 	 Train loss 0.1549 	 LR 0.0083 	 Train images 400 	 Round  18
Device  1 	 Train loss 0.1588 	 LR 0.0083 	 Train images 400 	 Round  19
Device  1 	 Train loss 0.1565 	 LR 0.0082 	 Train images 400 	 Round  20
Device  1 	 Train loss 0.1498 	 LR 0.0081 	 Train images 400 	 Round  21
Device  1 	 Train loss 0.1456 	 LR 0.0080 	 Train images 400 	 Round  22
Device  1 	 Train loss 0.1483 	 LR 0.0079 	 Train images 400 	 Round  23
Device  1 	 Train loss 0.1524 	 LR 0.0079 	 Train images 400 	 Round  24
Device  1 	 Train loss 0.1454 	 LR 0.0078 	 Train images 400 	 Round  25
Device  1 	 Train loss 0.1388 	 LR 0.0077 	 Train images 400 	 Round  26
Device  1 	 Train loss 0.1396 	 LR 0.0076 	 Train images 400 	 Round  27
Device  1 	 Train loss 0.1430 	 LR 0.0075 	 Train images 400 	 Round  28
Device  1 	 Train loss 0.1411 	 LR 0.0075 	 Train images 400 	 Round  29
Device  1 	 Train loss 0.1340 	 LR 0.0074 	 Train images 400 	 Round  30
Device  1 	 Train loss 0.1326 	 LR 0.0073 	 Train images 400 	 Round  31
Device  1 	 Train loss 0.1342 	 LR 0.0072 	 Train images 400 	 Round  32
Device  1 	 Train loss 0.1394 	 LR 0.0072 	 Train images 400 	 Round  33
Device  1 	 Train loss 0.1354 	 LR 0.0071 	 Train images 400 	 Round  34
Device  1 	 Train loss 0.1291 	 LR 0.0070 	 Train images 400 	 Round  35
Device  1 	 Train loss 0.1341 	 LR 0.0070 	 Train images 400 	 Round  36
Device  1 	 Train loss 0.1305 	 LR 0.0069 	 Train images 400 	 Round  37
Device  1 	 Train loss 0.1260 	 LR 0.0068 	 Train images 400 	 Round  38
Device  1 	 Train loss 0.1312 	 LR 0.0068 	 Train images 400 	 Round  39
Device  1 	 Train loss 0.1288 	 LR 0.0067 	 Train images 400 	 Round  40
Device  1 	 Train loss 0.1352 	 LR 0.0066 	 Train images 400 	 Round  41
Device  1 	 Train loss 0.1261 	 LR 0.0066 	 Train images 400 	 Round  42
Device  1 	 Train loss 0.1302 	 LR 0.0065 	 Train images 400 	 Round  43
Device  1 	 Train loss 0.1167 	 LR 0.0064 	 Train images 400 	 Round  44
Device  1 	 Train loss 0.1271 	 LR 0.0064 	 Train images 400 	 Round  45
Device  1 	 Train loss 0.1292 	 LR 0.0063 	 Train images 400 	 Round  46
Device  1 	 Train loss 0.1224 	 LR 0.0062 	 Train images 400 	 Round  47
Device  1 	 Train loss 0.1219 	 LR 0.0062 	 Train images 400 	 Round  48
Device  1 	 Train loss 0.1266 	 LR 0.0061 	 Train images 400 	 Round  49
Device  1 	 Train loss 0.1222 	 LR 0.0061 	 Train images 400 	 Round  50
Device  1 	 Train loss 0.1244 	 LR 0.0060 	 Train images 400 	 Round  51
Device  1 	 Train loss 0.1232 	 LR 0.0059 	 Train images 400 	 Round  52
Device  1 	 Train loss 0.1168 	 LR 0.0059 	 Train images 400 	 Round  53
Device  1 	 Train loss 0.1271 	 LR 0.0058 	 Train images 400 	 Round  54
Device  1 	 Train loss 0.1214 	 LR 0.0058 	 Train images 400 	 Round  55
Device  1 	 Train loss 0.1147 	 LR 0.0057 	 Train images 400 	 Round  56
Device  1 	 Train loss 0.1215 	 LR 0.0056 	 Train images 400 	 Round  57
Device  1 	 Train loss 0.1232 	 LR 0.0056 	 Train images 400 	 Round  58
Device  1 	 Train loss 0.1162 	 LR 0.0055 	 Train images 400 	 Round  59
Device  1 	 Train loss 0.1184 	 LR 0.0055 	 Train images 400 	 Round  60
Device  1 	 Train loss 0.1147 	 LR 0.0054 	 Train images 400 	 Round  61
