Namespace(seed=40, output_dir='./logs', demo=False, pretrained=False, train_lr=0.01, root='/home/lgd/Desktop/SNNFL/datasets', dataset='MNIST', num_workers=2, batch_size=64, num_sen=64, defense='soteria', attack='gs', percent_num=20, layer_num=6, noise_name='Gaussian', loc=0.0, scale=0.01, per_adv=1, dcs_iter=1000, dcs_lr=0.1, lambda_xsim=0.01, lambda_zsim=0.01, epsilon=0.01, early_stop=True, xsim_thr=150.0, lambda_y=0.7, project=True, startpoint='none', mixup=True, precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', method='non-iid', TotalDevNum=10, DevNum=10, n_data=200, Pro_dev=5, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
<class 'torchvision.datasets.mnist.MNIST'>
Device 10 	 Train loss 0.1119 	 LR 0.0063 	 Train images 400 	 Round  46
Device 10 	 Train loss 0.1077 	 LR 0.0062 	 Train images 400 	 Round  47
Device 10 	 Train loss 0.1076 	 LR 0.0062 	 Train images 400 	 Round  48
Device 10 	 Train loss 0.1061 	 LR 0.0061 	 Train images 400 	 Round  49
Device 10 	 Train loss 0.1080 	 LR 0.0061 	 Train images 400 	 Round  50
Device 10 	 Train loss 0.1064 	 LR 0.0060 	 Train images 400 	 Round  51
Device 10 	 Train loss 0.1046 	 LR 0.0059 	 Train images 400 	 Round  52
Device 10 	 Train loss 0.1029 	 LR 0.0059 	 Train images 400 	 Round  53
Device 10 	 Train loss 0.1066 	 LR 0.0058 	 Train images 400 	 Round  54
Device 10 	 Train loss 0.1040 	 LR 0.0058 	 Train images 400 	 Round  55
Device 10 	 Train loss 0.1008 	 LR 0.0057 	 Train images 400 	 Round  56
Device 10 	 Train loss 0.1036 	 LR 0.0056 	 Train images 400 	 Round  57
Device 10 	 Train loss 0.1014 	 LR 0.0056 	 Train images 400 	 Round  58
Device 10 	 Train loss 0.1027 	 LR 0.0055 	 Train images 400 	 Round  59
Device 10 	 Train loss 0.1018 	 LR 0.0055 	 Train images 400 	 Round  60
Device 10 	 Train loss 0.1006 	 LR 0.0054 	 Train images 400 	 Round  61
Device 10 	 Train loss 0.1019 	 LR 0.0054 	 Train images 400 	 Round  62
Device 10 	 Train loss 0.0937 	 LR 0.0053 	 Train images 400 	 Round  63
Device 10 	 Train loss 0.1011 	 LR 0.0053 	 Train images 400 	 Round  64
Device 10 	 Train loss 0.0980 	 LR 0.0052 	 Train images 400 	 Round  65
Device 10 	 Train loss 0.0942 	 LR 0.0052 	 Train images 400 	 Round  66
Device 10 	 Train loss 0.0981 	 LR 0.0051 	 Train images 400 	 Round  67
Device 10 	 Train loss 0.0974 	 LR 0.0050 	 Train images 400 	 Round  68
Device 10 	 Train loss 0.0962 	 LR 0.0050 	 Train images 400 	 Round  69
Device 10 	 Train loss 0.0967 	 LR 0.0049 	 Train images 400 	 Round  70
Device 10 	 Train loss 0.0915 	 LR 0.0049 	 Train images 400 	 Round  71
Device 10 	 Train loss 0.0943 	 LR 0.0048 	 Train images 400 	 Round  72
Device 10 	 Train loss 0.0943 	 LR 0.0048 	 Train images 400 	 Round  73
Device 10 	 Train loss 0.0898 	 LR 0.0048 	 Train images 400 	 Round  74
Device 10 	 Train loss 0.0943 	 LR 0.0047 	 Train images 400 	 Round  75
Device 10 	 Train loss 0.0947 	 LR 0.0047 	 Train images 400 	 Round  76
Device 10 	 Train loss 0.0888 	 LR 0.0046 	 Train images 400 	 Round  77
Device 10 	 Train loss 0.0936 	 LR 0.0046 	 Train images 400 	 Round  78
Device 10 	 Train loss 0.0949 	 LR 0.0045 	 Train images 400 	 Round  79
Device 10 	 Train loss 0.0938 	 LR 0.0045 	 Train images 400 	 Round  80
