S_acc,S_loss,C1_acc,C1_loss,C2_acc,C2_loss,C3_acc,C3_loss,C4_acc,C4_loss,C5_acc,C5_loss,C6_acc,C6_loss,C7_acc,C7_loss,C8_acc,C8_loss,C9_acc,C9_loss,C10_acc,C10_loss
34.7656,2.0793,43.4211,2.0251,42.4342,2.0347,39.3914,2.0471,40.0493,2.0527,36.3487,2.0634,41.4474,2.0398,41.2829,2.0275,42.1053,2.0329,44.5724,2.0156,42.6809,2.0307
56.7208,1.258,82.5658,0.6085,79.0296,0.6518,79.4408,0.671,79.1118,0.6698,57.2368,1.2053,79.2763,0.6577,80.0987,0.6471,80.5099,0.645,79.2763,0.6513,80.0164,0.6306
57.5621,1.2726,85.8553,0.5041,81.6612,0.5498,81.25,0.5656,81.0855,0.5758,58.5526,1.1864,81.25,0.56,81.8257,0.5562,82.5658,0.5504,82.3191,0.5338,84.7039,0.5339
57.7724,1.2852,87.3355,0.4603,83.5526,0.5021,82.977,0.528,83.5526,0.5329,59.2928,1.1781,83.7171,0.5072,83.8816,0.5075,84.2105,0.5012,83.8816,0.499,84.9507,0.4883
57.7724,1.3034,88.8158,0.4201,85.0329,0.4592,84.0461,0.4907,84.5395,0.4924,59.375,1.1857,86.9243,0.4646,86.4309,0.4629,85.773,0.4574,84.9507,0.4716,86.5132,0.4583
57.3618,1.3046,88.7336,0.4206,86.5132,0.4496,85.3618,0.4724,85.0329,0.4784,59.1283,1.1842,87.0888,0.4581,86.6776,0.4491,86.9243,0.4463,85.773,0.4583,87.0888,0.4406
57.512,1.3257,89.0625,0.4029,86.5954,0.4307,86.8421,0.4446,86.4309,0.4521,59.375,1.2026,87.8289,0.4274,87.2533,0.4282,86.9243,0.4381,86.102,0.4358,87.5,0.4235
56.8109,1.3261,89.1447,0.408,86.2664,0.4368,86.0197,0.4504,85.8553,0.4475,60.3618,1.1853,87.6645,0.4318,86.5132,0.4389,87.6645,0.4358,86.0197,0.4436,86.8421,0.4344
56.5605,1.3274,88.5691,0.4138,87.4178,0.4198,87.4178,0.4417,85.773,0.4589,58.6349,1.1784,87.3355,0.4384,87.4178,0.4314,87.0066,0.4342,86.2664,0.4366,86.8421,0.4322
57.3317,1.3224,90.2138,0.3743,88.898,0.3923,87.3355,0.4177,88.4868,0.4219,60.5263,1.1647,90.1316,0.3976,88.898,0.3975,89.4737,0.3906,88.7336,0.4027,89.3914,0.385
56.8309,1.3341,90.7895,0.3627,89.1447,0.3717,88.8158,0.3889,88.7336,0.4019,59.8684,1.1579,90.625,0.384,90.0493,0.3796,89.0625,0.3832,88.8158,0.393,89.8026,0.3749
56.9812,1.3646,90.7895,0.3525,89.227,0.3666,88.6513,0.3816,88.898,0.3877,58.7993,1.2111,90.2961,0.3722,89.8849,0.3608,90.5428,0.3687,89.3914,0.3767,90.7895,0.3645
56.0597,1.3248,90.5428,0.4054,89.227,0.4103,88.4868,0.4418,89.4737,0.4271,58.6349,1.1868,90.1316,0.4187,88.5691,0.4287,90.2961,0.411,88.4868,0.4298,89.7204,0.4164
57.1114,1.3799,92.7632,0.307,91.2007,0.3172,91.1184,0.3408,90.9539,0.3352,60.9375,1.2041,92.2697,0.3264,91.2007,0.3239,91.6941,0.3253,90.7072,0.3346,92.4342,0.3145
55.5389,1.3898,89.8849,0.3924,86.5954,0.4046,87.9934,0.4073,88.7336,0.4079,58.7171,1.2065,89.6382,0.3995,88.8158,0.393,87.9934,0.4222,88.5691,0.4028,87.6645,0.4048
56.6206,1.3892,93.9145,0.2853,93.3388,0.2912,91.6118,0.3161,92.4342,0.316,61.9243,1.1654,93.75,0.2995,92.8454,0.2985,92.7632,0.3022,92.6809,0.3064,92.6809,0.3044
56.2099,1.3855,92.4342,0.3136,92.5164,0.3066,91.9408,0.3229,91.4474,0.3394,61.0197,1.1634,92.4342,0.3207,92.5164,0.3079,92.2697,0.3289,91.1184,0.3329,92.5164,0.3196
56.3902,1.4095,93.75,0.2864,91.6118,0.3051,91.4474,0.3104,92.4342,0.306,61.4309,1.1991,94.3257,0.3003,92.6809,0.3033,92.7632,0.2981,92.023,0.3032,92.2697,0.3047
56.8409,1.3703,94.1612,0.2824,93.1743,0.2908,92.5987,0.3097,92.6809,0.3131,61.5132,1.1683,94.9836,0.2918,93.5033,0.3023,93.3388,0.3047,92.8454,0.2981,93.0921,0.298
56.1599,1.3749,93.0099,0.3081,92.4342,0.3062,92.352,0.3217,91.3651,0.3353,61.3487,1.1643,93.4211,0.3208,92.1875,0.3207,92.1053,0.3318,91.6941,0.3294,93.2566,0.322
56.6607,1.4194,94.5724,0.2639,94.0789,0.2664,93.2566,0.2836,91.7763,0.2986,61.5132,1.1968,95.148,0.2767,93.5033,0.2809,93.1743,0.2809,93.5855,0.2767,94.9013,0.2644
56.1498,1.3096,94.9836,0.3638,94.4079,0.3577,93.75,0.3874,93.2566,0.3852,61.2664,1.1261,94.1612,0.374,93.0099,0.3781,94.0789,0.3765,93.1743,0.3855,95.0658,0.3618
